Gene Symbol	Gene Description	Average FC to Cells in SR Medium	Unigene ID
IGFBP3	insulin-like growth factor binding protein 3	4.4	Hs.450230
EOMES	eomesodermin homologue (Xenopus laevis)	4.3	Hs.147279
POSTN	periostin, osteoblast-specific factor	4.2	Hs.136348
ANXA1	annexin A1	4.1	Hs.287558
ACTA2	actin, alpha 2, smooth muscle, aorta	3.7	Hs.208641
SULF1	sulfatase 1	3.6	Hs.409602
ANXA3	annexin A3	3.5	Hs.442733
CTGF	connective tissue growth factor	3.5	Hs.410037
SPP1	secreted phosphoprotein 1 (osteopontin)	3.4	Hs.313
KIAA1199	KIAA1199	3.4	Hs.212584
GREM1	gremlin 1 homologue, cysteine knot superfamily (Xenopus laevis)	3.3	Hs.40098
COL12A1	collagen, type XII, alpha 1	3.3	Hs.101302
TAGLN	transgelin	3.3	Hs.410977
TGFBI	transforming growth factor, beta-induced, 68 kDa	3.2	Hs.421496
URB	steroid-sensitive gene 1	3	Hs.356289
IGFBP7	insulin-like growth factor binding protein 7	2.9	Hs.435795
FBN2	fibrillin 2 (congenital contractural arachnodactyly)	2.9	Hs.79432
—	Full-length cDNA clone CS0DF022YN12 of fetal brain of Homo sapiens	2.9	Hs.5921
TNC	tenascin C (hexabrachion)	2.8	Hs.98998
—	full-length cDNA clone CS0DN003YO15 of adult brain of Homo sapiens	2.8	Hs.371609
CDH11	cadherin 11, type 2, OB-cadherin (osteoblast)	2.8	Hs.443435
CALD1	caldesmon 1	2.7	Hs.443811
ACTC	actin, alpha, cardiac muscle	2.7	Hs.118127
FST	follistatin	2.7	Hs.9914
COL2A1	collagen, type II, alpha 1	2.6	Hs.408182
COL8A1	collagen, type VIII, alpha 1	2.6	Hs.114599
CD44	CD44 antigen (homing function and Indian blood group system)	2.6	Hs.306278
FER1L3	fer-1-like 3, myoferlin (C. elegans)	2.6	Hs.362731
LUM	lumican	2.6	Hs.406475
TNFAIP6	tumor necrosis factor, alpha-induced protein 6	2.6	Hs.407546
ARK5	AMP-activated protein kinase family member 5	2.5	Hs.200598
NNMT	nicotinamide N-methyltransferase	2.5	Hs.364345
COL5A2	collagen, type V, alpha 2	2.5	Hs.283393
HIC	I-mfa domain–containing protein/I-mfa domain–containing protein	2.5	Hs.132739
LOX	lysyl oxidase	2.5	Hs.102267
PAPPA	pregnancy-associated plasma protein A, pappalysin 1	2.5	Hs.440769
HAK	heart alpha-kinase	2.5	Hs.388674
S100A10	S100 calcium-binding protein A10	2.5	Hs.143873
DKFZp434L142	hypothetical protein DKFZp434L142	2.5	Hs.323583
FLJ23091	putative NFkB-activating protein 373	2.5	Hs.297792
AMIGO2	amphoterin-induced gene 2	2.5	Hs.121520
DUSP6	dual-specificity phosphatase 6	2.5	Hs.298654
LEFTB	left-right determination, factor B	2.5	Hs.278239
SIPA1L2	signal-induced proliferation-associated 1 like 2	2.4	Hs.406879
CYBRD1	cytochrome b reductase 1	2.4	Hs.31297
DDR2	discoidin domain receptor family, member 2	2.4	Hs.440905
IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	2.4	Hs.71968
SLC40A1	solute carrier family 40 (iron-regulated transporter), member 1	2.4	Hs.409875
FLRT3	fibronectin leucine-rich transmembrane protein 3	2.4	Hs.41296
C14orf31	chromosome 14 open reading frame 31	2.3	Hs.439190
MGC4677	hypothetical protein MGC4677	2.3	Hs.432419
RBM24	RNA-binding motif protein 24	2.3	Hs.201619
THBS1	thrombospondin 1	2.3	Hs.164226
PTX3	pentaxin-related gene, rapidly induced by interleukin-1 beta	2.3	Hs.2050
IER3	immediate early response 3	2.3	Hs.76095
NEK7	NIMA (never in mitosis gene a)-related kinase 7	2.3	Hs.24119
WNT5A	wingless-type MMTV integration site family, member 5A	2.2	Hs.152213
TFPI2	tissue factor pathway inhibitor 2	2.2	Hs.438231
TAGLN2	transgelin 2	2.2	Hs.406504
CAV1	caveolin 1, caveolae protein, 22 kDa	2.2	Hs.74034
NRIP1	nuclear receptor–interacting protein 1	2.2	Hs.155017
KIAA0992	paladin	2.2	Hs.194431
—	MRNA; cDNA DKFZp762M127 (from clone DKFZp762M127)	2.2	Hs.12853
FLJ38507	colon carcinoma–related protein	2.2	Hs.435013
CDK6	cyclin-dependent kinase 6	2.2	Hs.38481
RASGRF2	Ras protein–specific guanine nucleotide-releasing factor 2	2.1	Hs.410953
COL15A1	collagen, type XV, alpha 1	2.1	Hs.409034
VEGFC	vascular endothelial growth factor C	2.1	Hs.79141
—	MRNA for hypothetical protein (ORF1), clone 00275	2.1	Hs.152129
PRNP	prion protein (p27–30)	2.1	Hs.438582
AMOTL2	angiomotin-like 2	2.1	Hs.426312
SLC7A5	solute carrier family 7, member 5	2.1	Hs.184601
JAK1	Janus kinase 1 (a protein tyrosine kinase)	2.1	Hs.436004
MYLK	myosin, light polypeptide kinase	2	Hs.386078
CTHRC1	collagen triple helix repeat-containing 1	2	Hs.283713
PDGFC	platelet-derived growth factor C	2	Hs.43080
NQO1	NAD(P)H dehydrogenase, quinone 1	2	Hs.406515
MAFF	v-maf musculoaponeurotic fibrosarcoma oncogene homologue F (avian)	2	Hs.460889
FLNC	filamin C, gamma (actin-binding protein 280)	2	Hs.58414
CAMK2D	calcium/calmodulin-dependent protein kinase (CaM kinase) II delta	2	Hs.111460
DKFZP434B044	hypothetical protein DKFZp434B044	2	Hs.262958
CYR61	cysteine-rich, angiogenic inducer, 61	2	Hs.8867
