Symbol	Description	FC	Expression
IL11RA	Interleukin-11 receptor, ?	17.1	Up-regulation
SLC23A1	Nucleobase transporter-like 1 protein	16	Up-regulation
VGF	VGF nerve growth factor inducible	16	Up-regulation
LMCD1	LIM and cysteine-rich domains 1	14.9	Up-regulation
STC1	Stanniocalcin 1	13.9	Up-regulation
MBD2	Methyl CpG–binding domain protein 2	13.9	Up-regulation
p55	Phosphoinositide 3-kinase, regulatory subunit, polypeptide 3	13	Up-regulation
NILR	Novel interleukin receptor	12.1	Up-regulation
THBS2	Thrombospondin 2	11.3	Up-regulation
H3FK	Histone H3 family, member K	10.6	Up-regulation
FLJ22408	Hypothetical protein FLJ22408	9.85	Up-regulation
CRLF1	Cytokine receptor-like factor 1	5.66	Up-regulation
SBF1	Nuclear dual-specificity phosphatase	4	Up-regulation
MBD4	Methyl CpG–binding domain protein 4	3.48	Up-regulation
ZNF277	Zinc finger protein 277	2.64	Up-regulation
TCFL5	Transcription factor-like 5 (basic helix-loop-helix)	2.64	Up-regulation
CCNA1	Cyclin A1	2.46	Up-regulation
PCTP	Phosphatidylcholine transfer protein	2.3	Up-regulation
KBRAS2	I?B-interacting Ras-like protein 2	2.14	Up-regulation
cPLA2	Phosphatidylcholine 2-acylhydrolase	2.14	Up-regulation
SURF1	Surfeit 1	2.14	Up-regulation
PAWR	PRKC, apoptosis, WT1, regulator	2.14	Up-regulation
SIRT2	Sirtuin (silent mating type information regulation 2,Saccharomyces cerevisiae, homologue) 2	2	Up-regulation
PHAP1	Putative human HLA class II associated protein I	17.1	Down-regulation
IL7R	Interleukin-7 receptor	11.3	Down-regulation
FGF5	Fibroblast growth factor 5	10.6	Down-regulation
G0S2	Putative lymphocyte G0G1switch gene	9.85	Down-regulation
STK6	Serine/threonine kinase 6	9.19	Down-regulation
SNRPF	Small nuclear ribonucleoprotein polypeptide F	7.46	Down-regulation
CCNA2	Cyclin A2	7.46	Down-regulation
CUL4A	Cullin 4A	6.96	Down-regulation
NASP	Nuclear autoantigenic sperm protein (histone-binding) interleukin-7 receptor	6.5	Down-regulation
TGF-?	Transforming growth factor-?	5.66	Down-regulation
PGAR	PPAR(?) angiopoietin-related protein	4.59	Down-regulation
TYMS	Thymidylate synthetase	4.59	Down-regulation
ANX3	1,2-Cyclic-inositol phosphate phosphodiesterase	3.73	Down-regulation
INHBC	Inhibin, ? C	3.48	Down-regulation
Cyclin B1	Cyclin B1	3.25	Down-regulation
NORPEG	Novel retinal pigment epithelial gene	2.83	Down-regulation
TFDP1	Transcription factor Dp-1	2.64	Down-regulation
HSP90	Heat shock protein 1, ?, 90 kDa	2.3	Down-regulation
CHC1	Chromosome condensation 1	2.14	Down-regulation
H2AFZ	H2A histone family, member Z	1.62	Down-regulation
