Gene name	Gene bank Nr.	Signal intensity	Regulation factor	s.d.	P-value
Prostaglandin-endoperoxide synthase 2 (prostaglandin GH synthase and cyclooxygenase) (PTGS2)	gb:NM_000963.1	135.6	-18.53	12.65	P<0.001
GRO3 oncogene (GRO3)	gb:NM_002090.1	589.23	-13.22	2.24	P<0.001
Pentaxin-related gene, rapidly induced by IL-1 beta (PTX3)	gb:NM_002852.1	250.1	-8.83	1.79	P<0.001
Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49p100)	gb:BC002844.1	70.8	-8.75	5.06	P<0.001
Interleukin 1-alpha (IL1A)	gb:M15329.1	320	-7.84	2.67	P<0.001
Small inducible cytokine subfamily B (Cys-X-Cys), member 5 (epithelial-derived neutrophil-activating peptide 78)	gb:BG166705	2639.33	-6.92	2.41	P<0.001
Follistatin (FST)	gb:NM_013409.1	1767.43	-6.79	0.99	P<0.001
GRO2 oncogene	gb:M57731.1	2725.37	-6.07	1.05	P<0.001
Nef-associated factor 1 (NAF1)	gb:NM_006058.1	866.03	-6.01	0.95	P<0.001
Superoxide dismutase 2, mitochondrial	gb:W46388	1213.9	-5.73	1.51	P<0.001
Novel MAFF (v-maf musculoaponeurotic fibrosarcoma (avian) oncogene family, protein F like protein	gb:AL021977	240.9	-5.55	0.78	P<0.001
Cell adhesion molecule with homology to L1CAM	gb:NM_006614.1	214.87	-5.54	1	P<0.001
Interleukin 6	gb:NM_000600.1	4064.93	-5.27	0.92	P<0.001
Manganese containing superoxide dismutase	gb:X15132.1	2363.97	-5.21	2.27	P<0.001
Insulin-like growth factor binding protein 3	gb:NM_000598.1	1710.77	-5.18	0.82	P<0.001
Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	gb:NM_020529.1	228.9	-5.17	1.43	P<0.001
Catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein)	gb:NM_001332.1	224.2	-5.09	1.88	P<0.001
Lipase, endothelial (LIPG)	gb:NM_006033.1	419.2	-5.02	0.87	P<0.001
Glutamine-fructose-6-phosphate transaminase 2 (GFPT2)	gb:NM_005110.1	266.93	-4.86	1.23	P<0.001
Doublecortin and CaM kinase-like 1 (DCAMKL1)	gb:NM_004734.1	201.73	-4.67	1.04	P<0.001
RAB31, member RAS oncogene family	gb:NM_006868.1	567.8	-4.54	1.14	P<0.001
Small inducible cytokine subfamily A (Cys-Cys), member 20 (SCYA20)	gb:NM_004591.1	534.5	-4.54	1.36	P<0.001
Matrix metalloproteinase 1	gb:NM_002421.2	514.4	-4.38	1.13	P<0.001
Butyrylcholinesterase (BCHE)	gb:NM_000055.1	344.07	-4.16	0.74	P<0.001
Dihydropyrimidinase-like 3 (DPYSL3)	gb:NM_001387.1	298.6	-4.14	0.63	P<0.001
