Name	Symbol	Day 7 unsorted	Day 17 unsorted	2.3GFPneg	2.3GFPpos
A disintegrin and metalloprotease domain 23	Adam23	1,907	2,525	3,100	879
Procollagen, type IV, alpha 1	Col4a1	7,725	7,881	6,430	1,209
Epidermal growth factor receptor	Egfr	762	637	578	71
Glutamyl aminopeptidase	Enpep	768	800	899	97
Fibulin 1	Fbln1	2,328	2,200	1,713	456
Fibroblast growth factor 7	Fgf7	1,372	2,206	2,184	384
Frizzled homolog 1 (Drosophila)	Fzd1	1,570	1,911	1,831	435
Intercellular adhesion molecule	Icam1	775	889	744	98
Insulin-like growth factor-binding protein 2	Igfbp2	9,609	7,857	10,157	1,227
Insulin-like growth factor-binding protein 5	Igfbp5	23,386	19,563	11,284	3,424
Mesenchyme homeobox 2	Meox2	946	988	1,180	114
Peg1/MEST protein	Mest	5,726	8,121	9,206	1,190
Matrix gamma-carboxyglutamate (Gla) protein	Mglap	10,152	13,495	15,458	2,359
Nidogen 2	Nid2	2,881	2,580	2,129	489
Osteoglycin, mimecan	Ogn	17,225	18,954	31,399	5,701
Phosphatidylinositol 3-kinase	Pik3rl	795	1,238	751	248
Protein related to DAN and cerberus	Prdc	837	966	860	143
Receptor (calcitonin) activity-modifying protein 2	Ramp2	712	863	896	217
Rbp1 retinol-binding protein 1, cellular	Rbp1	2,207	1,967	2,154	309
Thrombospondin 2	Thbs2	28,107	27,827	28,169	3,289
Tissue inhibitor of metalloproteinase 2	Timp2	12,471	11,232	9,029	2,456
WNT1-inducible signaling pathway protein 2	Wisp2	2,926	2,675	2,939	647
