GenBank ID	Symbol	Gene Name	Gene Information
D16294	ACAA2	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	Known Genes
M12963	ADH1	alcohol dehydrogenase 1 (class I), alpha polypeptide	Known Genes
X04299	ADH3	alcohol dehydrogenase 3 (class I), gamma polypeptide	Known Genes
L22214	ADORA1	adenosine A1 receptor	Known Genes
U04241	AES	amino-terminal enhancer of split	Known Genes
AF044961	AKR1B11	aldo-keto reductase family 1, member B11	Known Genes
U05861	AKR1C1	aldo-keto reductase family 1, member C1	Known Genes
D26125	AKR1C4	aldo-keto reductase family 1, member C4	Known Genes
AI765873	ALDH10	aldehyde dehydrogenase 10 (fatty aldehyde dehydrogenase)	Known Genes
X02747	ALDOB	aldolase B, fructose-bisphosphate	Known Genes
M18786	AMY1A	amylase, alpha 1A; salivary	Known Genes
M28443	AMY2A	amylase, alpha 2A; pancreatic	Known Genes
M22324	ANPEP	alanyl (membrane) aminopeptidase	Known Genes
Z11502	ANXA13	annexin A13	Known Genes
M82809	ANXA4	annexin A4	Known Genes
D00097	APCS	amyloid P component, serum	Known Genes
M30704	AREG	amphiregulin (schwannoma-derived growth factor)	Known Genes
AB007884	ARHGEF9	Cdc42 guanine exchange factor (GEF) 9	Known Genes
AI147612	ARL7	ADP-ribosylation factor-like 7	Known Genes
X83573	ARSE	arylsulfatase E (chondrodysplasia punctata 1)	Known Genes
L19871	ATF3	activating transcription factor 3	Known Genes
Y15724	ATP2A3	ATPase, Ca++ transporting, ubiquitous	Known Genes
AI091372	AXUD1	AXIN1 up-regulated	Known Genes
X83107	BMX	BMX non-receptor tyrosine kinase	Known Genes
AA468538	BRPF3	bromodomain and PHD finger containing, 3	Known Genes
U03274	BTD	biotinidase	Known Genes
D31716	BTEB1	basic transcription element binding protein 1	Known Genes
W45244	C3	complement component 3	Known Genes
J03037	CA2	carbonic anhydrase II	Known Genes
U36448	CADPS	Ca2+-dependent activator protein for secretion	Known Genes
AI085802	CAV2	Caveolin 2	Known Genes
J02988	CD28	CD28 antigen (Tp44)	Known Genes
M55509	CES1	carboxylesterase 1 (monocyte/macrophage serine esterase 1)	Known Genes
U91543	CHD3	chromodomain helicase DNA binding protein 3	Known Genes
AA417345	CHP1	chord domain-containing protein 1	Known Genes
U62431	CHRNA2	cholinergic receptor, nicotinic, alpha polypeptide 2 (neuronal)	Known Genes
U89916	CLDN10	claudin 10	Known Genes
AA885961	CLDN2	Claudin 2	Known Genes
J02883	CLPS	colipase, pancreatic	Known Genes
M64722	CLU	clusterin	Known Genes
X67318	CPA1	carboxypeptidase A1 (pancreatic)	Known Genes
U19977	CPA2	carboxypeptidase A2 (pancreatic)	Known Genes
AA780301	CTSF	cathepsin F	Known Genes
T84490	CUGBP2	CUG triplet repeat, RNA-binding protein 2	Known Genes
M22865	CYB5	cytochrome b-5	Known Genes
Y00498	CYP2C8	cytochrome P450, subfamily IIC (mephenytoin 4-hydroxylase), polypeptide 8	Known Genes
J04813	CYP3A5	cytochrome P450, subfamily IIIA (niphedipine oxidase), polypeptide 5	Known Genes
D00408	CYP3A7	cytochrome P450, subfamily IIIA, polypeptide 7	Known Genes
AA316159	DC11	DC11 protein	Known Genes
AA640753	DDAH1	dimethylarginine dimethylaminohydrolase 1	Known Genes
X96484	DGCR6	DiGeorge syndrome critical region gene 6	Known Genes
W76197	DLC1	Deleted in liver cancer 1	Known Genes
X68277	DUSP1	dual specificity phosphatase 1	Known Genes
M62829	EGR1	early growth response 1	Known Genes
M16652	ELA1	elastase 1, pancreatic	Known Genes
AA845162	ELA3	elastase 3, pancreatic (protease E)	Known Genes
M81635	EPB72	erythrocyte membrane protein band 7.2 (stomatin)	Known Genes
M16967	F5	coagulation factor V (proaccelerin, labile factor)	Known Genes
AA573905	FCGBP	Fc fragment of IgG binding protein	Known Genes
AA033657	FGFR2	fibroblast growth factor receptor 2	Known Genes
U20391	FOLR1	folate receptor 1 (adult)	Known Genes
U50743	FXYD2	FXYD domain-containing ion transport regulator 2	Known Genes
M11321	GC	mRNA for group supecific component (GC)	Known Genes
Y15409	G6PT1	glucose-6-phosphatase, transport (glucose-6-phosphate) protein 1	Known Genes
AA279817	GADD45B	growth arrest and DNA-damage-inducible, beta	Known Genes
L13720	GAS6	growth arrest-specific 6	Known Genes
S68805	GATM	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	Known Genes
M24903	GGT1	gamma-glutamyltransferase 1	Known Genes
AW008481	GLUD1	glutamate dehydrogenase 1	Known Genes
T79836	GPS2	G protein pathway suppressor 2	Known Genes
D86962	GRB10	growth factor receptor-bound protein 10	Known Genes
L76687	GRB14	growth factor receptor-bound protein 14	Known Genes
D49742	HABP2	hyaluronan-binding protein 2	Known Genes
W37916	HCF-2	host cell factor 2	Known Genes
U63008	HGD	homogentisate 1,2-dioxygenase (homogentisate oxidase)	Known Genes
W95267	HIBADH	3-hydroxyisobutyrate dehydrogenase	Known Genes
K01505	HLA-DQA1	DC classII histocompatibility antigen alpha-chain	Known Genes
M81141	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	Known Genes
J03048	HPX	hemopexin	Known Genes
T55714	HS3ST1	heparan sulfate (glucosamine) 3-O-sulfotransferase 1	Known Genes
AA206625	HS6ST	heparan sulfate 6-O-sulfotransferase	Known Genes
U14631	HSD11B2	hydroxysteroid (11-beta) dehydrogenase 2	Known Genes
M11717	HSPA1A	heat shock 70kD protein 1A	Known Genes
D49547	HSPF1	heat shock 40kD protein 1	Known Genes
AA885758	HTATIP	HIV Tat interactive protein, 60 kDa	Known Genes
M27492	IL1R1	interleukin 1 receptor, type I	Known Genes
AF014398	IMPA2	inositol(myo)(or 4)-monophosphatase 2	Known Genes
U84400	INPP5D	inositol polyphosphate-5-phosphatase, 145kD	Known Genes
AA345854	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)	Known Genes
AA845511	KCNJ16	potassium inwardly-rectifying channel, subfamily J, member 16	Known Genes
AI025297	KLF7	Kruppel-like factor 7 (ubiquitous)	Known Genes
X79683	LAMB2	laminin, beta 2 (laminin S)	Known Genes
X77196	LAMP2	lysosomal-associated membrane protein 2	Known Genes
M87842	LGALS2	lectin, galactoside-binding, soluble, 2 (galectin 2)	Known Genes
AI160184	LOC51673	brain specific protein	Known Genes
AI093595	LOC55895	22kDa peroxisomal membrane protein-like	Known Genes
AA347844	LOC56908	Meis (mouse) homolog 2	Known Genes
AK025620	LOC56990	non-kinase Cdc42 effector protein SPEC2	Known Genes
AA461526	LRRFIP2	leucine rich repeat (in FLII) interacting protein 2	Known Genes
H17536	LSM4	U6 snRNA-associated Sm-like protein	Known Genes
AI092885	LSM6	Sm protein F	Known Genes
AA157731	MAP1ALC3	Microtubule-associated proteins 1A and 1B, light chain 3	Known Genes
X69078	MAT1A	methionine  adenosyltransferase 1 alpha	Known Genes
X63380	MEF2B	MADS box transcription enhancer factor 2, polypeptide B (myocyte enhancer factor 2B)	Known Genes
L08895	MEF2C	MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C)	Known Genes
X56741	MEL	mel transforming oncogene (derived from cell line NK14)- RAB8 homolog	Known Genes
AI037890	MMP1	matrix metalloproteinase 1 (interstitial collagenase)	Known Genes
R59292	MS4A8B	Membrane-spanning 4-domains, subfamily A, member 8B	Known Genes
AL022315	MSE55	serum constituent protein	Known Genes
D49441	MSLN	mesothelin	Known Genes
M74178	MST1	macrophage stimulating 1	Known Genes
U35113	MTA1	metastasis associated 1	Known Genes
Y09788	MUC5B	mucin 5, subtype B, tracheobronchial	Known Genes
AI745345	MVP	major vault protein	Known Genes
X69090	MYOM1	myomesin 1 (skelemin) (185kD)	Known Genes
AA497062	NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	Known Genes
AI309212	NLGN1	neuroligin 1	Known Genes
AJ005282	NPR2	natriuretic peptide receptor B/guanylate cyclase B (atrionatriuretic peptide receptor B)	Known Genes
AA340728	NR2F2	nuclear receptor subfamily 2, group F, member 2	Known Genes
L13740	NR4A1	nuclear receptor subfamily 4, group A, member 1	Known Genes
X75918	NR4A2	nuclear receptor subfamily 4, group A, member 2	Known Genes
AB002341	NRCAM	neuronal cell adhesion molecule	Known Genes
AA435678	P28	dynein, axonemal, light intermediate polypeptide	Known Genes
AA576089	p53DINP1	P53-inducible p53DINP1	Known Genes
L15533	PAP	pancreatitis-associated protein	Known Genes
T56982	PDE7A	phosphodiesterase 7A	Known Genes
C05229	PDK4	pyruvate dehydrogenase kinase, isoenzyme 4	Known Genes
N47861	PDP	pyruvate dehydrogenase phosphatase	Known Genes
AF012281	PDZK1	PDZ domain containing 1	Known Genes
AA220941	PHB	prohibitin	Known Genes
D38616	PHKA2	phosphorylase kinase, alpha 2 (liver)	Known Genes
L47738	PIR121	p53 inducible protein	Known Genes
X98654	PITPNM	phosphatidylinositol transfer protein, membrane-associated	Known Genes
W19216	PKIG	protein kinase (cAMP-dependent, catalytic) inhibitor gamma	Known Genes
AF064594	PLA2G6	phospholipase A2, group VI (cytosolic, calcium-independent)	Known Genes
AF038440	PLD2	phospholipase D2	Known Genes
D87810	PMM1	phosphomannomutase 1	Known Genes
J05125	PNLIP	pancreatic lipase	Known Genes
Z11898	POU5F1	POU domain, class 5, transcription factor 1	Known Genes
AI343963	PP2135	PP2135 protein	Known Genes
U57961	13CDNA73	putative gene product	Known Genes
AI094447	PP5395	hypothetical protein PP5395	Known Genes
S74349	PPARA	peroxisome proliferative activated receptor, alpha	Known Genes
AB007851	PRPSAP2	phosphoribosyl pyrophosphate synthetase-associated protein 2	Known Genes
AA845165	PRSS1	protease, serine, 1 (trypsin 1)	Known Genes
D88378	PSMF1	proteasome (prosome, macropain) inhibitor subunit 1 (PI31)	Known Genes
U68142	RAB2L	RAB2, member RAS oncogene family-like	Known Genes
AI277086	RAGB	GTP-binding protein ragB	Known Genes
