Probe set id	MEAN FOLD CHANGE(+recMAGP2/-recMAGP2)	Gene symbol	Description	UnigeneID	LocusLink	Chromosomal location
209459_s_at	-1.6418457	ABAT	4-aminobutyrate aminotransferase (ABAT), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.	Hs.336768	18	16p13.2
221421_s_at	1.423597379	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif, 12 (ADAMTS12), mRNA.	Hs.12680	81792	5q35
239439_at	1.619595551	AFF4	AF4/FMR2 family, member 4 (AFF4), mRNA.	Hs.519313	27125
215535_s_at	1.304500566	AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha) (AGPAT1), transcript variant 2, mRNA.	Hs.409230	10554	6p21.3
201782_s_at	1.38404071	AIP	aryl hydrocarbon receptor interacting protein (AIP), mRNA.	Hs.412433	9049	11q13.3
219437_s_at	1.452086728	ANKRD11	ankyrin repeat domain 11 (ANKRD11), mRNA.	Hs.335003	29123	16q24.3
235903_at	1.896235707	ANKS6	Ankyrin repeat and sterile alpha motif domain containing 6	Hs.406890	203286	9q22.33
225427_s_at	1.27712143	APOA1BP	apolipoprotein A-I binding protein (APOA1BP), mRNA.	Hs.528320	128240	1q22-q21.2
221620_s_at	1.598103754	APOO	apolipoprotein O (APOO), mRNA.	Hs.495851	79135	Xp22.11
201526_at	1.308120788	ARF5	ADP-ribosylation factor 5 (ARF5), mRNA.	Hs.653202	381	7q31.3
207919_at	2.081232589	ART1	ADP-ribosyltransferase 1 (ART1), mRNA.	Hs.382188	417	11p15
218554_s_at	1.858789957	ASH1L	ash1 (absent, small, or homeotic)-like (Drosophila) (ASH1L), mRNA.	Hs.491060	55870	1q22
212984_at	-1.5943094	ATF2	Activating transcription factor 2	Hs.705370	1386	2q32
201171_at	-1.6732395	ATP6V0E1	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1	Hs.484188	8992	5q35.2
214244_s_at	1.697889439	ATP6V0E1	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1	Hs.484188	8992	5q35.2
227905_s_at	-1.4808356	AZI2	5-azacytidine induced 2 (AZI2), transcript variant 1, mRNA.	Hs.444724	64343	3p24.1
218471_s_at	1.398507904	BBS1	Bardet-Biedl syndrome 1 (BBS1), mRNA.	Hs.502915	582	11q13.1
37549_g_at	1.376965705	BBS9	Bardet-Biedl syndrome 9 (BBS9), transcript variant 1, mRNA.	Hs.372360	27241	7p14
227775_at	-1.7170275	BRUNOL6	bruno-like 6, RNA binding protein (Drosophila) (BRUNOL6), mRNA.	Hs.348342	60677	15q24
223703_at	1.495281937	C10orf11	chromosome 10 open reading frame 11 (C10orf11), mRNA.	Hs.118161	83938	10q22.2-q22.3
227701_at	-1.4108751	C10orf118	Chromosome 10 open reading frame 118	Hs.159066	55088	10q25.3
242167_at	1.563745377	C10orf119	Chromosome 10 open reading frame 119			10q26.11
226487_at	-1.4507049	C12orf34	chromosome 12 open reading frame 34 (C12orf34), mRNA.	Hs.661785	84915	12q24.11
225675_at	-1.3153726	C14orf101	chromosome 14 open reading frame 101 (C14orf101), mRNA.	Hs.497253	54916	14q23.1
229520_s_at	1.393507981	C14orf118	Chromosome 14 open reading frame 118	Hs.410231	55668	14q22.1-q24.3
213398_s_at	1.317520626	C14orf124	chromosome 14 open reading frame 124 (C14orf124), mRNA.	Hs.643552	56948	14q12
227351_at	-1.4219864	C16orf52	Chromosome 16 open reading frame 52	Hs.498890	146174	16p12.1
218945_at	1.67673715	C16orf68	chromosome 16 open reading frame 68 (C16orf68), mRNA.	Hs.306380	79091	16p13.2
223352_s_at	1.465056999	C17orf80	chromosome 17 open reading frame 80 (C17orf80), transcript variant 2, mRNA.	Hs.12929	55028	17q25.1
225247_at	1.394627393	C19orf6	chromosome 19 open reading frame 6 (C19orf6), transcript variant 2, mRNA.	Hs.515003	91304	19p13.3
210785_s_at	-1.3909535	C1orf38	chromosome 1 open reading frame 38 (C1orf38), transcript variant 2, mRNA.	Hs.10649	9473	1p35.3
229933_at	1.398921096	C1orf74	Chromosome 1 open reading frame 74	Hs.497642	148304	1q32.2
219961_s_at	1.356294127	C20orf19	chromosome 20 open reading frame 19 (C20orf19), mRNA.	Hs.187635	55857	20pter-q11.23
227160_s_at	1.295476404	C20orf7	chromosome 20 open reading frame 7 (C20orf7), transcript variant 2, mRNA.	Hs.472165	79133	20p12.1
228316_at	1.361583838	C2orf63	chromosome 2 open reading frame 63 (C2orf63), mRNA.	Hs.468590	130162	2p16.1
201310_s_at	1.325904907	C5orf13	chromosome 5 open reading frame 13 (C5orf13), mRNA.	Hs.36053	9315	5q22.1
235223_at	1.453669024	C6orf153	Chromosome 6 open reading frame 153	Hs.309231	88745	6p21.1
204968_at	1.407445669	C6orf47	chromosome 6 open reading frame 47 (C6orf47), mRNA.	Hs.247323	57827	6p21.3
206497_at	-1.5111745	C7orf44	Chromosome 7 open reading frame 44		55744	7p13
236518_at	1.375537956	C9orf86	Chromosome 9 open reading frame 86	Hs.370555	84960	9q34.3
224279_s_at	1.506157246	CABYR	calcium binding tyrosine-(Y)-phosphorylation regulated (CABYR), transcript variant 6, mRNA.	Hs.511983	26256	18q11.2
201382_at	-1.8451944	CACYBP	calcyclin binding protein (CACYBP), transcript variant 2, mRNA.	Hs.508524	27101	1q24-q25
200622_x_at	1.335826698	CALM3	calmodulin 3 (phosphorylase kinase, delta) (CALM3), mRNA.	Hs.515487	808	19q13.2-q13.3
213812_s_at	1.439942863	CAMKK2	calcium/calmodulin-dependent protein kinase kinase 2, beta (CAMKK2), transcript variant 7, mRNA.	Hs.297343	10645	12q24.2
1552682_a_at	1.421921104	CASC5	cancer susceptibility candidate 5 (CASC5), transcript variant 2, mRNA.	Hs.181855	57082	15q14
213644_at	1.880665387	CCDC46	coiled-coil domain containing 46 (CCDC46), transcript variant 2, mRNA.	Hs.408676	201134	17q24.1-q24.2
212886_at	1.577949855	CCDC69	coiled-coil domain containing 69 (CCDC69), mRNA.	Hs.655336	26112	5q33.1
217878_s_at	1.405194414	CDC27	cell division cycle 27 homolog (S. cerevisiae) (CDC27), transcript variant 2, mRNA.	Hs.463295	996	17q12-q23.2
203440_at	-1.6807444	CDH2	cadherin 2, type 1, N-cadherin (neuronal) (CDH2), mRNA.	Hs.464829	1000	18q11.2
226187_at	1.430226405	CDS1	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1	Hs.656883		4q21.23
219472_at	-2.4273969	CENPO	centromere protein O (CENPO), mRNA.	Hs.467898	79172	2p23.3
