AFFYID	SYMBOL	LOCUS	GENENAME	p-value	WT Fold ?	p55-/-p75+/+ Fold ?	p55+/+p75-/- Fold ?	DKO Fold ?
1415948_at	Creg	23850	cellular repressor of E1A-stimulated genes	0.0224	1.06	1.03	1.22	1.01
1415970_at	Cox6c	12864	cytochrome c oxidase, subunit VIc	0.024	1.09	1.07	1.1	0.93
1415984_at	Acadm	11364	acetyl-Coenzyme A dehydrogenase, medium chain	0.0039	1.21	1.01	1.17	0.99
1416007_at	Satb1	20230	special AT-rich sequence binding protein 1	0.0028	0.93	1.82	0.78	1.92
1416056_a_at	Np15	104130	nuclear protein 15.6	0.0152	1.13	1.03	1.17	1.01
1416269_at	Atp5j2	57423	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit f, isoform 2	0.0342	1.12	1.1	1.22	1
1416272_at	Map2k1ip1	56692	mitogen-activated protein kinase kinase 1 interacting protein 1	0.0273	0.96	1.15	1.08	1.33
1416385_a_at	M6pr	17113	mannose-6-phosphate receptor, cation dependent	0.014	1.06	1.19	0.98	1.21
1416457_at	Ddah2	51793	dimethylarginine dimethylaminohydrolase 2	0.0107	0.65	0.96	0.64	1
1416458_at	Arf2	11841	ADP-ribosylation factor 2	0.0041	0.97	1.44	1.08	1.43
1416556_at	Sas	67125	sarcoma amplified sequence	0.0051	1.17	1.08	1.3	0.95
1416635_at	Smpdl3a	57319	sphingomyelin phosphodiesterase, acid-like 3A	0.0168	1.09	0.98	1.26	0.95
1416684_at	Fbl	14113	fibrillarin	0.0124	1.35	0.79	0.88	0.72
1416751_a_at	Ddx20	53975	DEAD (Asp-Glu-Ala-Asp) box polypeptide 20	0.0085	1.08	0.7	0.98	0.71
1416914_s_at	Mtvr2	17826	mammary tumor virus receptor 2	0.0004	1.03	1.46	1.1	1.43
1417293_at	Hs6st1	50785	heparan sulfate 6-O-sulfotransferase 1	0.0038	0.69	1.32	0.73	1.08
1418505_at	Nudt4	71207	nudix (nucleoside diphosphate linked moiety X)-type motif 4	0.0393	0.89	0.97	0.91	1.13
1418585_at	Ccnh	66671	cyclin H	0.035	1.02	0.81	1.4	0.86
