Genbank	Gene name	Gene description	Expression ratios wt GCV	Expression ratios day1	Expression ratios day2	Expression ratios day3	Cluster
X68670	TdT	deoxynucleotidyltransferase. terminal	1	1.5	2	8.6	Cluster 2
D13181	Lmna	lamin A	1.1	1.3	1.3	5.1	Cluster 2
M64796	Rag2	recombination activating gene 2	1	0.9	1.5	3.3	Cluster 2
M34815	Cxcl9	chemokine (C-X-C motif) ligand 9	1.8	1.1	1.3	2.7	Cluster 2
L21203	Madcam1	mucosal vascular addressin cell adhesion molecule 1	1.2	1.1	1.1	1.9	Cluster 2
AA086745	Ppia	hypothetical peptidylprolyl isomerase A. psuedogene	1.1	1	1.8	1.8	Cluster 2
AF089721	Smo	smoothened homolog (Drosophila)	1.8	1.1	1.4	1.8	Cluster 2
X77731	Dck	deoxycytidine kinase	1.4	0.9	1	1.8	Cluster 2
AB010282	G22p1	thyroid autoantigen	1.1	1	1.1	1.7	Cluster 2
X13450	CD79a	CD79A antigen (immunoglobulin-associated alpha)	0.7	1.3	1.1	1.7	Cluster 2
X57349	Trfr	transferrin receptor	1.9	1	1.4	1.6	Cluster 2
M16449	Myb	myeloblastosis oncogene	1.3	1	1	1.6	Cluster 2
U52951	Ezh-2	enhancer of zeste homolog 2 (Drosophila)	0.8	0.9	0.9	1.5	Cluster 2
X16645	Atp1beta2	ATPase. Na+/K+ transporting. beta 2 polypeptide	0.9	3.7	2.3	1.4	Cluster 3
D49949	Il18	interleukin 18	1	6.8	1.9	2.2	Cluster 3
M33212	Npm1	nucleophosmin 1	1.1	2.2	2.6	1.2	Cluster 3
AF031035	Stc2	stanniocalcin 2	1.1	1.9	1.7	1.2	Cluster 3
X00697	Tcrg-V2	T-cell receptor gamma. variable 2	1.2	2.6	1.6	1.3	Cluster 3
AF077330	Ube1c	ubiquitin-activating enzyme E1C	1.4	2.5	1.9	1.2	Cluster 3
U96696	MMP-8	matrix metalloproteinase 8	2	0.2	0.1	0.1	Cluster 4
AA124831	Rnase2	ribonuclease. RNase A family. 2	1	0.3	0.2	0.1	Cluster 4
AJ001378	Tspy-ps	testis specific protein-Y encoded. pseudogene	0.9	0.4	0.7	0.2	Cluster 4
V00727	c-fos	fos oncogene	0.4	0.2	0.2	0.2	Cluster 4
AA086966	Ngp	neutrophilic granule protein	1.1	0.4	0.6	0.2	Cluster 4
AF071180	Fpr-rs2	formyl peptide receptor related sequence 2	0.9	0.4	0.4	0.3	Cluster 4
U43409	Camp	cDNA sequence AF119384	0.9	0.2	0.2	0.3	Cluster 4
M18194	Fn1	fibronectin 1	1.2	0.3	0.3	0.3	Cluster 4
AA125515	Ptger4	prostaglandin E receptor 4 (subtype EP4)	1	0.3	0.4	0.3	Cluster 4
L08115	CD9	CD9 antigen	1.2	0.4	0.3	0.3	Cluster 4
M94584	Chi3l3	chitinase 3-like 3	1.3	0.5	0.4	0.3	Cluster 4
AF099972	Slfn-1	schlafen 1	1	0.4	0.4	0.3	Cluster 4
AF024637	Tyrobp	TYRO protein tyrosine kinase binding protein	1.3	0.4	0.4	0.4	Cluster 4
AF071179	Fpr-rs1	formyl peptide receptor related sequence 1	0.8	0.7	0.5	0.4	Cluster 4
AF071181	Fpr-rs3	formyl peptide receptor related sequence 3	0.9	0.5	0.4	0.4	Cluster 4
AA153752	Itgb2	integrin beta 2	1	0.4	0.4	0.4	Cluster 4
AF041035	Pira10	paired-Ig-like receptor A10	1.4	0.5	0.5	0.4	Cluster 4
AA170204	Anxa1	annexin A1	1	0.5	0.5	0.4	Cluster 4
D10024	Anxa2	annexin A2	1.1	0.4	0.4	0.4	Cluster 4
M55561	CD52	CD52 antigen	1	0.4	0.5	0.4	Cluster 4
AA142529	C3	olfactory receptor 48	0.8	0.5	0.6	0.4	Cluster 4
Z27231	MMP-9	matrix metalloproteinase 9	1.2	0.4	0.1	0.4	Cluster 4
AA164046	Evi2b	ecotropic viral integration site 2B	0.7	0.5	0.6	0.5	Cluster 4
U52461	Lyst	lysosomal trafficking regulator	1.1	0.5	0.4	0.5	Cluster 4
AA106952	Sdc2	syndecan 2	0.9	0.4	0.6	0.5	Cluster 4
AA116472	Irg1	immunoresponsive gene 1	0.8	0.4	0.4	0.5	Cluster 4
X14607	Lcn2	lipocalin 2	0.9	0.4	0.2	0.5	Cluster 4
AA155094	Mpeg1	macrophage expressed gene 1	0.9	0.6	0.7	0.5	Cluster 4
M18466	Ly6c	lymphocyte antigen 6 complex. locus C	1.4	0.5	0.5	0.5	Cluster 4
AA139714	Gsr	glutathione reductase 1	1	0.5	0.6	0.5	Cluster 4
D17630		interleukin 8 receptor. beta	1	0.7	0.6	0.5	Cluster 4
X16834	Lgals3	lectin. galactose binding. soluble 3	0.9	0.5	0.6	0.5	Cluster 4
L46768	Mbp-1	Major basic protein	1.5	0.5	0.4	0.5	Cluster 4
AA170487	Ptprc	protein tyrosine phosphatase. receptor type. C	0.8	0.5	0.5	0.5	Cluster 4
AA145793	Fgls	RIKEN cDNA 1110004C05 gene	1.1	0.7	0.7	0.5	Cluster 4
AF001277	ter-1	C-C chemokine receptor 1	1	0.6	0.8	0.5	Cluster 4
AI893155	Eno2	enolase 2. gamma neuronal	1.1	0.7	0.7	0.5	Cluster 4
AA139232	Iqgap1	IQ motif containing GTPase activating protein 1	1	0.6	0.6	0.5	Cluster 4
U81823	Mapk13	mitogen activated protein kinase 13	1.2	0.6	0.7	0.5	Cluster 4
L10244	Sat1	solute carrier family 26 (sulfate transporter). member 1	1.1	0.7	0.6	0.5	Cluster 4
AA072717	Arhgdib	Rho. GDP dissociation inhibitor (GDI) beta	1	0.5	0.4	0.5	Cluster 4
AA152673	Bcl6	B-cell leukemia/lymphoma 6	0.8	0.6	0.6	0.5	Cluster 4
X97650	Myo1f	myosin IF	1.3	0.6	0.5	0.5	Cluster 4
AA162498	Ptpre	protein tyrosine phosphatase. receptor type. E	0.8	0.5	0.5	0.6	Cluster 4
L23108	CD36	CD36 antigen	1.2	0.6	0.4	0.6	Cluster 4
U06119	Ctsh	cathepsin H	1.2	0.7	0.6	0.6	Cluster 4
U17046	Khdrbs1	KH domain containing. RNA binding. signal transduction associated 1	0.9	0.6	0.8	0.6	Cluster 4
U72680	Fxyd5	FXYD domain-containing ion transport regulator 5	1.2	0.7	0.5	0.6	Cluster 4
