Category	Symbols	Probes	Log2 fold changes	P value
Early kidney epithelial development	WT1	206067_s_at	2.4 (2.9)	0.0027 (<0.001)
Early kidney epithelial development	WT1	216953_s_at	2.2	0.0014
Early kidney epithelial development	PAX8	214528_s_at	2.6	0.00028
Early kidney epithelial development	PAX8	207924_x_at	2.2	0.00056
Early kidney epithelial development	ITGA8	214265_at	1.6	0.0068
Early kidney epithelial development	ITGA8	239092_at	1.3	0.02
Early kidney epithelial development	FGF2R	203639_s_at	1.2  (1.2)	0.0040 (0.019)
Early kidney epithelial development	FGF2R	208228_s_at	1.2	0.0041
Transcription	HOXD1	205975_s_at	2	0.0013
Transcription	HOXB2	205453_at	1.2	0.034
Transcription	POU2AF1	205267_at	1	0.019
Transcription	ID4	209292_at	1.5	0.00031
Transcription	ID4	209291_at	1.1	0.0041
Cell adhesion and ECM	DSC2	226817_at	1.8	0.0023
Cell adhesion and ECM	DSC2	204751_x_at	1.7	0.0037
Cell adhesion and ECM	ADAMT3	214913_at	1.6	0.00064
Cell adhesion and ECM	DSG2	1553105_s_at	1.1	0.0087
Cell adhesion and ECM	DSG2	217901_at	1	0.016
Cell adhesion and ECM	BCAM	40093_at	1.1	0.0048
Signaling and signaling transducer	GABBR2	209990_s_at	2.5	0.0037
Signaling and signaling transducer	GABBR2	211679_x_at	1.2	0.0055
Signaling and signaling transducer	STAT4	206118_at	1.6	0.02
Signaling and signaling transducer	CXXC4	229774_at	1.9	0.0041
Signaling and signaling transducer	CXXC4	220277_at	1.2	0.0076
Signaling and signaling transducer	NLK	218318_s_at	0.56	0.0087
Signaling and signaling transducer	NLK	222589_at	0.49	0.016
Signaling and signaling transducer	NOTCH2	210756_s_at	0.66 (0.54)	0.019 (0.032)
TGF-Beta	BMPER	241986_at	2.7	0.0032
TGF-Beta	BMPER	216259_at	1.7	0.0076
Signaling pathway	SMAD7	204790_at	0.61	0.026
Ca++ signaling	ITTPR1	216944_s_at	1.2	0.0024
Ca++ signaling	ITTPR1	211323_s_at	1.1	0.0051
Ca++ signaling	S100A13	202598_at	0.7	0.013
