Probe set	Gene	Fold difference†
201508_at	Insulin-like growth factor binding protein 4	40.7
202267_at	Laminin,  y2	31.8
209369_at	Annexin A3	22.9
203851_at	Insulin-like growth factor binding protein 6	21.6
204620_s_at	Chondroitin sulfate proteoglycan 2 (versican)	21.5
202546_at	Vesicle-associated membrane protein 8 (endobrevin)	18.3
209270_at	Laminin,  B3	15.9
212464_s_at	Fibronectin 1	15.3
201859_at	Proteoglycan 1	13.9
213524_s_at	Putative lymphocyte G0/G1 switch gene	13.2
201842_s_at	EGF-containing fibulin-like ECM protein 1	12.9
205767_at	Epiregulin	12.9
201325_s_at	Epithelial membrane protein 1	11.5
205428_s_at	Calbindin 2	10
205990_s_at	Wingless-type MMTV integration site family 5A	5.9
200923_at	Lectin, galactoside-binding, soluble, 3 binding protein	5.8
219836_at	Hypothetical protein MGC10796	5.4
211343_s_at	Collagen, type XIII,  a1	5.4
202859_x_at	Interleukin 8	5.4
201012_at	Annexin A1	5.3
