Probe set	Gene Symbol	Gene Title	SCTUB1	SCUTUB2	SCTUB3	SGLOM1	SGLOM2	SGLOM3	MES1	MES2	MES3	RPTEC1	RPTEC2	RPTEC3
1007_s_at	DDR1	discoidin domain receptor tyrosine kinase 1	1810.6	1808.8	2057.9	1235.1	1758.7	1645.2	506.3	841.9	603.3	950.5	819.2	846
121_at	PAX8	paired box 8	6397.8	5704.6	4253.9	5052.3	5575	4255.3	215.1	447.4	278.1	3995.5	4350.7	4196.6
1487_at	ESRRA	estrogen-related receptor alpha	447.6	330.5	450.9	505.3	412.2	329.3	171.5	198	206.4	620.4	682.3	689.4
1598_g_at	GAS6 /// LOC100133684	growth arrest-specific 6 /// similar to growth arrest-specific 6	4997.9	4023.4	3502.9	3120.7	3216.9	2783.4	10024.7	10654.5	8597.4	1537.4	1633	1644.7
200004_at	EIF4G2	eukaryotic translation initiation factor 4 gamma, 2	7572.1	8510.8	6348.5	8622	8650.8	8350.4	10170.7	11414	10889.5	6775.9	7418.9	6882
200005_at	EIF3D	eukaryotic translation initiation factor 3, subunit D	5467.9	4543.7	4996.8	5750.3	4932.7	5853.1	3592.6	3941.1	3748	3206.3	3197.5	3501.1
200009_at	GDI2	GDP dissociation inhibitor 2	10300.4	11115.5	10249.4	10933.8	8201.6	9543.2	6786.9	6086.6	7473.3	7200.9	6157.3	6052.8
200039_s_at	PSMB2	proteasome (prosome, macropain) subunit, beta type, 2	5037.8	4318.7	4875.2	3974.8	4155.1	4903.9	3112	3321.8	2965.1	4365	4338.8	4250.3
200043_at	ERH	enhancer of rudimentary homolog (Drosophila)	1559.9	1262.6	1355.1	1457.5	1260.1	1488.7	818.9	1143.9	991.3	1960.7	1978.1	2037.6
200057_s_at	NONO	non-POU domain containing, octamer-binding	9069.7	6070.6	7363.4	7142.7	6728.8	5971.2	3604.4	2959.4	3336.3	5290	5449.2	5632.8
200066_at	IK	IK cytokine, down-regulator of HLA II	986.6	945.5	1282.8	1105.6	1006.7	1282.6	1201.8	1345.5	1273.7	748.6	680.2	669.2
200074_s_at	RPL14 /// RPL14L	ribosomal protein L14 /// ribosomal protein L14-like	9767	10235.9	8552.6	13063.3	11037.5	11969.3	8338.1	8181.4	8100	8185.4	7463.4	6944.5
200075_s_at	GUK1	guanylate kinase 1	2009.2	1956.7	1521.2	1640.6	1646.8	1574.9	2494.8	2332.3	2473.1	1574.7	1375.9	1351
200076_s_at	C19orf50	chromosome 19 open reading frame 50	1373.4	1137.4	1213.7	1220.8	1121	1294	1343.3	1309.8	1453.4	876.7	786	873.6
200080_s_at	H3F3A /// H3F3B /// LOC440926	H3 histone, family 3A /// H3 histone, family 3B (H3.3B) /// H3 histone, family 3A pseudogene	5358.8	4356	5096.8	6530.5	5325.8	5629	3081.6	4203.9	3673	6494.1	7310.2	6605.2
200086_s_at	COX4I1	cytochrome c oxidase subunit IV isoform 1	6649.6	6169.5	5125.7	6364.6	6149.7	5477	3772.6	3512.9	4205.2	7645.4	7154.6	8183.9
200596_s_at	EIF3A	eukaryotic translation initiation factor 3, subunit A	2280.9	2369.5	2479.2	2494	2409.6	2691.7	3754.6	3587.7	3603.5	1640.6	1354.3	1785.8
200599_s_at	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1	4742.5	4872.1	4240.2	7913.1	5133.5	5316.8	7552.7	7270.8	8129.7	3176.7	3202.9	3159
200608_s_at	RAD21	RAD21 homolog (S. pombe)	782.9	552.8	616.9	842	759	637.5	1310.5	1564.9	1541.6	971.9	885.7	1076.8
200612_s_at	AP2B1	adaptor-related protein complex 2, beta 1 subunit	255.7	278	421.9	275.4	359.1	235.3	35.6	40.6	126.5	734.4	853.9	811.7
200618_at	LASP1	LIM and SH3 protein 1	4444	5240.3	5375.8	5205.3	4172.1	4563	4780.4	5692.4	4487.3	2375.1	2320.2	2630.4
200621_at	CSRP1	cysteine and glycine-rich protein 1	3280.9	2450.8	2599.9	1395.4	2845.1	2008.4	5911.5	6877	6420.1	651.5	669.2	699.2
200625_s_at	CAP1	CAP, adenylate cyclase-associated protein 1 (yeast)	6747.3	7472.4	7792.7	7960.6	7346.2	8013.5	5194	5099.8	5584	5187.6	5355	4565
200628_s_at	WARS	tryptophanyl-tRNA synthetase	1359.9	1465.8	791.4	1073.6	1445	1075.1	3040.6	2422.1	2792.2	895.7	880.5	911.2
200629_at	WARS	tryptophanyl-tRNA synthetase	2976.5	2361.7	2053.7	1861	2157.6	2050.7	3547.3	5633.3	4099.3	1569.1	1365.1	1614.8
200633_at	RPS27A /// UBB /// UBC	ribosomal protein S27a /// ubiquitin B /// ubiquitin C	29891.1	27114.4	27890	26156.5	23698.7	28940.7	22820.5	21884.3	23023.6	19071.6	17927.1	16687.6
200635_s_at	PTPRF	protein tyrosine phosphatase, receptor type, F	1864.7	1430.1	963.7	1419.5	1043.6	1308.4	96.3	244.1	264	836.9	856.8	864.3
200636_s_at	PTPRF	protein tyrosine phosphatase, receptor type, F	2697.4	2172.4	1561.2	2928.9	2368.9	1833.2	409.8	301.9	334.9	1356.3	1528.6	1824.3
200639_s_at	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	3908.7	4077.9	3675.9	4083.7	3593.9	3204	3629.2	3086.4	3380.7	5243.2	6205.1	5448.2
