Affi ID	Gene abbreviation	CB 1 Fold change	CB 2 Fold change	PB 1 Fold change	PB 2 Fold change	Gene name	Function
1553681_a_at	PRF1	0.66	0.51	1.41	1.34	Perforin 1 (pore-forming protein)	Apoptosis
224499_s_at	AICDA	0.06	0.44	1.56	3.47	Activation-induced cytidine deaminase	B-and T-cell development
205495_s_at	GNLY	0.4	0.51	1.49	6.34	Granulysin	B-and T-cell development
217478_s_at	HLA-DMA	0.67	0.39	1.33	1.35	Major histocompatibility complex, class II, DM alpha	B-and T-cell development
203932_at	HLA-DMB	0.64	0.31	2.02	1.36	Major histocompatibility complex, class II, DM beta	B-and T-cell development
211991_s_at	HLA-DPA1	0.5	0.14	1.54	1.5	Major histocompatibility complex, class II, DP alpha 1	B-and T-cell development
212671_s_at	HLA-DQA1	0.44	0.23	1.56	2.56	Major histocompatibility complex, class II, DQ alpha 1	B-and T-cell development
211656_x_at	HLA-DQB1	0.63	0.48	1.37	7.07	Major histocompatibility complex, class II, DQ beta 1	B-and T-cell development
210982_s_at	HLA-DRA	0.58	0.37	1.5	1.42	Major histocompatibility complex, class II, DR alpha	B-and T-cell development
208306_x_at	HLA-DRB1	0.51	0.24	1.49	1.61	Major histocompatibility complex, class II, DR beta 3	B-and T-cell development
204670_x_at	HLA-DRB5	0.63	0.22	1.47	1.37	Major histocompatibility complex, class II, DR beta 5	B-and T-cell development
211634_x_at	IGHV1-69	0.69	0.77	1.23	1.99	Immunoglobulin heavy variable 1–69	B-and T-cell development
211645_x_at	IgK	0.15	0.49	1.51	6.62	Immunoglobulin kappa light chain (IGKV)	B-and T-cell development
221651_x_at	IGKC	0.46	0.68	1.32	5.57	Immunoglobulin kappa constant	B-and T-cell development
215379_x_at	IGLC2	0.62	0.41	1.38	4.26	Immunoglobulin lambda joining 2	B-and T-cell development
209031_at	IGSF4	0.5	0.03	2.33	1.5	Immunoglobulin superfamily, member 4	B-and T-cell development
205686_s_at	CD86	0.7	0.23	1.3	1.39	CD86 antigen (CD28 antigen ligand 2, B7-2 antigen)	B-and T-cell development
204698_at	ISG20	0.68	0.49	1.32	1.64	Interferon stimulated exonuclease gene, 20 kDa	B-and T-cell development
213915_at	NKG7	0.72	0.42	1.28	2.31	Natural killer cell group 7 sequence	B-and T-cell development
201334_s_at	ARHGEF12	0.74	0.5	1.26	1.96	Rho guanine nucleotide exchange factor (GEF) 12	Cell growth and maintenance
230292_at	CHC1L	0.7	0.56	1.3	2.02	Regulator of chromosome condensation (RCC1)	Cell growth and maintenance
205081_at	CRIP1	0.56	0.73	1.27	1.75	Cysteine-rich protein 1 (intestinal)	Cell growth and maintenance
31874_at	GAS2L1	0.77	0.52	1.23	2.35	Growth arrest-specific 2 like 1	Cell growth and maintenance
202364_at	MXI1	0.43	0.73	1.27	1.44	MAX interactor 1	Cell growth and maintenance
219304_s_at	PDGFD	0.65	0.71	1.29	3.68	Platelet-derived growth factor D	Cell growth and maintenance
213397_x_at	RNASE4	0.64	0.46	1.36	2.21	Ribonuclease, RNase A family, 4	Cell growth and maintenance
213566_at	RNASE6	0.69	0.39	1.49	1.31	Ribonuclease, RNase A family, k6	Cell growth and maintenance
219077_s_at	WWOX	0.4	0.78	1.25	1.22	WW domain containing oxidoreductase	Cell growth and maintenance
207861_at	CCL22	0.76	0.52	1.24	2.47	Chemokine (C–C motif) ligand 22	Cytokine and chemokine
238750_at	CCL28	0.74	0.45	1.26	1.41	Chemokine (C–C motif) ligand 28	Cytokine and chemokine
1555759_a_at	CCL5	0.71	0.23	1.29	1.92	Chemokine (C–C motif) ligand 5	Cytokine and chemokine
208304_at	CCR3	0.5	0.12	1.5	2.35	Chemokine (C–C motif) receptor 3	Cytokine and chemokine
205898_at	CX3CR1	0.3	0.2	1.7	4.16	Chemokine (C–X3–C motif) receptor 1	Cytokine and chemokine
204533_at	CXCL10	0.8	0.16	1.2	2.53	Chemokine (C–X–C motif) ligand 10	Cytokine and chemokine
219255_x_at	IL-17RB	0.73	0.04	1.27	1.29	Interleukin 17 receptor B	Cytokine and chemokine
206148_at	IL-3RA	0.6	0.54	2.46	1.4	Interleukin 3 receptor, alpha (low affnity)	Cytokine and chemokine
226333_at	IL-6R	0.22	0.79	1.21	2.43	Interleukin-6 receptor	Cytokine and chemokine
206693_at	IL-7	0.09	0.54	1.46	5.86	Interleukin-7	Cytokine and chemokine
204497_at	ADCY9	0.76	0.4	1.24	2.4	Adenylate cyclase 9	Signal transduction
206170_at	ADRB2	0.58	0.35	1.42	3.97	Adrenergic, beta-2-, receptor, surface	Signal transduction
202096_s_at	BZRP	0.5	0.54	1.59	1.46	Benzodiazapine receptor (peripheral)	Signal transduction
230464_at	EDG8	0.04	0.09	1.91	2.42	Endothelial differentiation, sphingolipid G-protein-coupled receptor 8	Signal transduction
223423_at	GPR160	0.54	0.68	1.4	1.32	G protein-coupled receptor 160	Signal transduction
227769_at	GPR27	0.07	0.08	1.92	244	G protein in-coupled receptor 27	Signal transduction
210095_s_at	IGFBP3	0.27	0.2	1.73	5.25	Insulin-like growth factor binding protein 3	Signal transduction
38671_at	PLXND1	0.08	0.65	1.35	2.57	Plexin D1	Signal transduction
226101_at	PRKCE	0.56	0.43	1.72	1.44	Protein kinase C. epsilon	Signal transduction
232629_at	PROK2	0.01	0.13	1.87	2.09	Prokineticin 2	Signal transduction
203329_at	PTPRM	0.36	0.62	1.38	1.93	Protein tyrosine phosphatase, receptor type, M	Signal transduction
204731_at	TGFBR3	0.78	0.55	1.22	2.04	Transforming growth factor, beta receptor III (betaglycan, 300 kDa)	Signal transduction
203129_s_at	KIF5C	0.67	0.09	1.33	3.43	Kinesin family member 5C	Transcription
213906_at	MYBL1	0.75	0.51	1.25	3.63	V-myb myeloblastosis viral oncogene homologue (avian)-like 1	Transcription
209815_at	PTCH	0.59	0.27	1.41	4.17	Patched homologue (Drosophila)	Transcription
213891_s_at	TCF4	0.74	0.65	2.06	1.26	Transcription factor 4	Transcription
238520_at	TRERFI	0.7	0.77	1.23	2.3	Transcriptional regulating factor 1	Transcription
203603_s_at	ZFHX1B	0.74	0.61	1.26	3.63	Zinc finger homobox 1b	Transcription
213218_at	ZNF187	0.74	0.69	1.26	1.76	Zinc finger protein 187	Transcription
221123_x_at	ZNF395	0.38	0.71	1.63	1.29	Zinc finger protein 395	Transcription
