Cate a	Access num.	Symbol	P-value 	Change (%)b
1	AA598508	CRABP2	6.00E-13	235.7
1	AA404709	EEG1	7.00E-10	89.3
1	N76193	EEG1	4.00E-12	93.3
1	AA453831	HDGF	2.00E-08	79.3
1	N67876	IGF1	3.00E-12	126
1	N54596	IGF2	1.00E-10	163.1
1	AA426311	MEOX1	6.00E-13	589.1
1	R52824	MYCN	1.00E-07	91.2
1	R66447	MYCN	4.00E-08	166.6
1	AI214500	NCAM1	2.00E-05	56.9
1	AA709271	NCAM2	2.00E-13	114.1
1	R55303	NGFR	7.00E-07	116.2
1	AA608548	SET	4.00E-09	64.6
1	N52911	SET	3.00E-09	84.7
1	AI359985	AGT	2.00E-17	-72.3
1	W73473	BMP7	3.00E-06	-34.2
1	AI671174	CDH1	5.00E-17	-78.9
1	H97778	CDH1	4.00E-13	-54.9
1	AA421819	CDH6	5.00E-05	-42
1	AA150402	COL4A1	1.00E-12	-57.4
1	AA430540	COL4A2	7.00E-09	-43.2
1	AA488444	COL5A1	2.00E-13	-53
1	R75635	COL5A1	7.00E-08	-44.2
1	AA857098	COL5A2	5.00E-04	-34.3
1	AA243828	DDR2	3.00E-06	-43.5
1	N74203	DLL1	4.00E-13	-53.1
1	AA417654	FGFR3	6.00E-13	-61.1
1	AA454111	FRZB	3.00E-09	-53.3
1	W58032	FRZB	4.00E-08	-49.3
1	N70776	FZD1	2.00E-18	-65.6
1	AA025380	GATA3	7.00E-10	-52.3
1	AA256532	IGF1R	3.00E-09	-38.6
1	AA463610	ITGA2	4.00E-16	-71.1
1	AA463257	ITGA2	3.00E-13	-68.2
1	AI360476	Lim-1	5.00E-07	-68.7
1	AA464600	MYC	5.00E-11	-60.5
1	W87741	MYC	3.00E-11	-55.4
1	AA701502	PDGFA	9.00E-07	-31.8
1	AA496438	RARG	1.00E-09	-41.2
1	AI015641	SDC1	1.00E-12	-67.6
1	AA933077	TGFA	2.00E-05	-38.7
1	AA487034	TGFBR2	1.00E-12	-39.7
1	AA464630	THBS1	5.00E-23	-84.9
1	AA099153	TIMP3	3.00E-11	-48.7
1	AA479202	TIMP3	4.00E-08	-39.5
1	R19956	VEGF	2.00E-11	-47.3
2	AA460685	BIRC5	6.00E-08	102.2
2	AA101875	CSPG2	2.00E-03	63.1
2	AA485795	EFNB3	1.00E-06	65.2
2	AA430744	EZH2	9.00E-12	127.1
2	AA173290	HOXA1	1.00E-09	54.8
2	AA497085	HOXA9	2.00E-08	98.4
2	AA424747	HOXD9	6.00E-07	54.4
2	AA159311	WHSC1	2.00E-08	71.5
2	W69960	WHSC1	4.00E-10	81.2
2	AA478589	APOE	4.00E-08	-40.4
2	W95636	GPC4	5.00E-06	-43.1
2	N27159	INHBA	2.00E-04	-37.8
2	N67778	RUNX3	1.00E-06	-34.2
2	H62473	TGFBR3	1.00E-21	-77.2
2	NM_005655	TIEG	3.00E-08	-41
3	H38804	BUB3	5.00E-08	107.2
3	AA278384	CDC2	7.00E-10	108
3	AA873060	STMN1	5.00E-08	88
3	R13558	ALCAM	1.00E-10	-68
3	H26022	CX3CL1	1.00E-14	-60.2
3	H54686	DAB2	5.00E-14	-68.8
3	AA863424	DPEP1	1.00E-07	-43.5
