Probe set	Gene	Fold difference
216405_at	Lectin, galactoside-binding, soluble, 1 (galectin 1)	8.83
201852_x_at	Collagen, type III, ?1 (Ehlers-Danlos syndrome type IV) autosomal dominant	8.04
214416_at	Transcribed locus, strongly similar to NP_033799.1 amylase 2, pancreatic [Mus musculus]	6.55
215076_s_at	Collagen, type III, ?1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	6.45
217683_at	ESTs moderately similar to B chain B, crystal structure of deoxy-human hemoglobin ?6	6.26
222108_at	Adhesion molecule with Ig-like domain 2	4.84
216442_x_at	Fibronectin 1	4.39
204619_s_at	Chondroitin sulfate proteoglycan 2 (versican)	4.34
209312_x_at	MHC, class II, DR?1	4.29
212233_at	Microtubule-associated protein 1B	4.28
211719_x_at	Fibronectin 1	4.26
226084_at	Microtubule-associated protein 1B	4.1
239176_at	Nebulin-related anchoring protein	4.1
210926_at	Similar to FKSG30	4.07
210495_x_at	Fibronectin 1	3.8
224833_at	v-ets erythroblastosis virus E26 oncogene homolog (avian)	3.78
226535_at	FLJ23083 fis, cl. LNG06541, highly similar to IR2005735 Homo sapiens mRNA full-length insert cDNA clone EUROIMAGE 2005735	3.7
239430_at	Insulin growth factor-like family member 1	3.63
233149_at	cDNA clone IMAGE:4750272, containing Frame-shift errors	3.57
1552411_at	Defensin, ?106	3.55
212977_at	Chemokine orphan receptor 1	13.7
209395_at	Chitinase 3-like 1 (cartilage glycoprotein-39)	9.75
209396_s_at	Chitinase 3-like 1 (cartilage glycoprotein-39)	8.14
206392_s_at	Retinoic acid receptor responder (tazarotene-induced) 1	7.86
212143_s_at	Insulin-like growth factor binding protein 3	6.84
202917_s_at	S100 calcium binding protein A8 (calgranulin A)	6.08
223278_at	Gap junction protein, ?2, 26-kDa (connexin 26)	5.98
206697_s_at	Haptoglobin	5.83
218960_at	Transmembrane protease, serine 4	5.75
217109_at	Mucin 4, tracheobronchial	5.74
205476_at	Chemokine (C-C motif) ligand 20	5.61
209821_at	Chromosome 9 open reading frame 26 (NF-HEV)	5.53
221872_at	Retinoic acid receptor responder (tazarotene-induced) 1	5.34
206391_at	Retinoic acid receptor responder (tazarotene-induced) 1	5.26
203921_at	Carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2	4.64
202948_at	Interleukin-1 receptor, type 1	4.6
213432_at	Mucin 5, subtype B, tracheobronchial	4.28
204637_at	Glycoprotein hormones, ? polypeptide	4.23
222830_at	Transcription factor CP2-like 2	4.13
213693_s_at	Mucin 1, transmembrane	4.06
242868_at	Hypoxia-inducible factor 2?	2.06
202986_at	Aryl-hydrocarbon receptor nuclear translocator 2	1.82
202221_s_at	E1A binding protein p300	1.42
