Gene	Accession	Description	Fold up
GJA1	NM_000165	Gap junction protein, alpha 1, (connexin 43)	83.7
TWIST1	NM_000474	Twist homolog 1	70
HAPLN1	U43328	Hyaluronan and proteoglycan link protein 1	33.2
COL11A1	NM_080629	Collagen, type XI, alpha 1, transcript variant B,	30.4
CYP1B1	NM_000104	Cytochrome P450, family 1, subfamily B, polypeptide 1	12.2
TMEM16C	NM_031418	Transmembrane protein 16C	11.9
COL11A1	AK022035	Collagen, type XI, alpha 1, transcript variant B,	9.5
ZBTB20	BC010934	Zinc finger and BTB domain containing 20	9.2
AF131741	AF131741	Hypothetical gene AF131741	7.7
TFPI2	NM_006528	Tissue factor pathway inhibitor 2	7.2
KIAA0960	AB023177	KIAA0960 protein	7.1
EGLN3	NM_022073	egl nine homolog 3	6.8
ITM2A	NM_004867	Integral membrane protein 2A	6.8
PEG10	AB049150	Paternally expressed 10	6.3
LPHN2	NM_012302	Latrophilin 2	5.8
EPHA3	NM_005233	Ephrin receptor A3	5
CKLF	NM_016951	Chemokine-like factor, transcript variant 1,	4.9
KYNU	NM_003937	Kynureninase	4.5
TFPI2	AK129833	Tissue factor pathway inhibitor 2	4.5
CKLF	NM_181641	Chemokine-like factor, transcript variant 4,	4.5
C21orf34	AF486622	Chromosome 21 open reading frame 34	4.2
MGST1	NM_145791	Microsomal glutathione S-transferase 1	3.9
NEBL	NM_006393	Nebulette	3.8
FLJ14712	AK027618	cDNA FLJ14712	3.8
CDH2	NM_001792	Cadherin 2, type 1, N-cadherin (neuronal)	3.6
IGF1R	BC010607	Insulin-like growth factor 1 receptor	3.6
SMARCA2	NM_003070	SWI/SNF-related, actin dependent regulator of chromatin	3.2
C9orf93	NM_173550	Chromosome 9 open reading frame 93	3.2
UACA	NM_018003	Uveal autoantigen with coiled-coil domains and ankyrin repeats	3.1
IRX3	BC034328	Iroquois homeobox protein 3	3.1
TMEM2	NM_013390	Transmembrane protein 2	3.1
