Name	Gene ID	Symbol	Human Fibroblast Median Intensity	hESC Median Intensity
integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	3688	ITGB1	11001.81	3498.81
follistatin-like 1	11167	FSTL1	16664.8	3806.42
pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)	5764	PTN	318.55	944.59
epithelial membrane protein 1	2012	EMP1	752.55	108.68
insulin-like growth factor binding protein 7	3490	IGFBP7	12719.08	151.54
endothelial differentiation-related factor 1	8721	EDF1	3115.61	2843.78
secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)	6696	SPP1	207.59	243.05
EGF-containing fibulin-like extracellular matrix protein 2	30008	EFEMP2	1547.4	134.92
chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	6387	CXCL12	1753.63	586.06
insulin-like growth factor 2 mRNA binding protein 2	10644	IGF2BP2	737.68	1129.61
transforming growth factor, beta-induced, 68kDa	7045	TGFBI	18887.05	913.88
insulin-like growth factor binding protein 4	3487	IGFBP4	10103.98	1443.68
growth factor, augmenter of liver regeneration (ERV1 homolog, S. cerevisiae)	2671	GFER	0.21	0.49
chemokine (C-X-C motif) ligand 6 (granulocyte chemotactic protein 2)	6372	CXCL6	44.36	30.95
connective tissue growth factor	1490	CTGF	21455.5	2595.65
thrombospondin 2	7058	THBS2	1435.65	108.45
delta-like 1 homolog (Drosophila)	8788	DLK1	16.73	280.23
hepatoma-derived growth factor (high-mobility group protein 1-like)	3068	HDGF	1396.47	2115.57
tenascin C (hexabrachion)	3371	TNC	982.61	155.23
growth arrest-specific 6	2621	GAS6	1412.16	168.73
granulin	2896	GRN	1076.74	407.93
neuron derived neurotrophic factor	29937	NENF	370.63	298.97
milk fat globule-EGF factor 8 protein	4240	MFGE8	6093.07	6587.87
rhomboid 5 homolog 1 (Drosophila)	64285	RHBDF1	933.08	581.18
Indian hedgehog homolog (Drosophila)	84717	HDGF2	39.15	40.75
stromal cell-derived factor 2	6388	SDF2	840.78	423.94
chemokine (C-C motif) ligand 7	6354	CCL7	80.22	59.17
thrombospondin 1	7057	THBS1	13043.68	214.38
insulin-like growth factor binding protein 5	3488	IGFBP5	123.56	15.35
integrin, alpha 11	22801	ITGA11	2000.66	29.22
vascular endothelial growth factor	7422	VEGF	0.65	0.36
CKLF-like MARVEL transmembrane domain containing 3	123920	CMTM3	1020.99	693.53
insulin-like growth factor 2 mRNA binding protein 3	10643	IGF2BP3	809.94	1758.78
osteoglycin (osteoinductive factor, mimecan)	4969	OGN	1.49	0.83
follistatin	10468	FST	367.97	632.51
laminin, beta 2 (laminin S)	3913	LAMB2	373.71	100.19
insulin-like growth factor binding protein 3	3486	IGFBP3	8854.51	332.27
transforming growth factor, beta 2	7042	TGFB2	195.08	29.84
ephrin-B1	1947	EFNB1	63.5	59.12
bone morphogenetic protein 4	652	BMP4	259.75	162.58
bone morphogenetic protein 1	649	BMP1	1627.02	180.77
plasminogen activator, tissue	5327	PLAT	589.2	134.6
transforming growth factor, beta 3	7043	TGFB3	80.95	50.45
CKLF-like MARVEL transmembrane domain containing 7	112616	CMTM7	1234.5	1503.12
colony stimulating factor 1 (macrophage)	1435	CSF1	41.01	30.61
midkine (neurite growth-promoting factor 2)	4192	MDK	1732.05	4381.89
vascular endothelial growth factor B	7423	VEGFB	150.35	80.95
neogenin homolog 1 (chicken)	4756	NEO1	30.75	120.31
c-fos induced growth factor (vascular endothelial growth factor D)	2277	FIGF	0.39	0.43
growth hormone inducible transmembrane protein	27069	GHITM	1011.62	895.96
heparin-binding EGF-like growth factor	1839	HBEGF	432.11	51.25
chemokine (C-X-C motif) ligand 14	9547	CXCL14	70.95	106.94
chemokine (C-X-C motif) ligand 5	6374	CXCL5	25.12	124.77
insulin-like growth factor binding protein 2, 36kDa	3485	IGFBP2	1362.66	613.83
chemokine (C-C motif) ligand 13	6357	CCL13	1.71	0.38
platelet-derived growth factor alpha polypeptide	5154	PDGFA	577.85	448.09
CKLF-like MARVEL transmembrane domain containing 6	54918	CMTM6	835.86	482.52
insulin-like growth factor 2 mRNA binding protein 1	10642	IGF2BP1	6.81	14.95
laminin, beta 1	3912	LAMB1	612.72	138.76
growth differentiation factor 10	2662	GDF10	1.56	3.21
wingless-type MMTV integration site family, member 5A	7474	WNT5A	835.61	167.84
chemokine (C-X3-C motif) ligand 1	6376	CX3CL1	0.65	0.35
deltex homolog 2 (Drosophila)	113878	DTX2	189.35	286.75
angiopoietin-like 2	23452	ANGPTL2	212.74	95.85
gremlin 1, cysteine knot superfamily, homolog (Xenopus laevis)	26585	GREM1	1619.91	62.6
CKLF-like MARVEL transmembrane domain containing 4	146223	CMTM4	274.51	593.21
insulin-like growth factor 1 (somatomedin C)	3479	IGF1	4.55	0.46
transmembrane protein with EGF-like and two follistatin-like domains 1	8577	TMEFF1	36.93	199.63
vascular endothelial growth factor C	7424	VEGFC	690.34	8.59
fibroblast growth factor 10	2255	FGF10	0.21	0.35
interleukin 11	3589	IL11	614.55	65.41
chemokine-like factor	51192	CKLF	235.05	125
delta/notch-like EGF repeat containing	92737	DNER	122.9	22.23
nerve growth factor, beta polypeptide	4803	NGFB	421.84	29.84
