Gene	Accession #	TB 72 h	MPA 72 h
S100 calcium binding protein A8 (calgranulin A)	NM_002964	21.8	6.2
keratin, hair, acidic, 4	NM_021013	10.3	3.6
complement component 3	NM_000064	9.2	5.3
L1 cell adhesion molecule	AI653981	9.1	5.8
cytokeratin type II	NM_004693	7.3	11.4
zinc finger protein 83 (HPF1)	M27877	6.2	3.5
normal mucosa of esophagus specific 1	AF228422	5.3	6.4
protease, serine, 22	NM_022119	5	3.5
tubulin, alpha 3	AF141347	5	2.1
tumor protein p53 inducible nuclear protein 1	AW341649	4.9	3.9
kinesin family member 5C	NM_004522	4.9	4.5
collagen, type VI, alpha 1	AI141603	4.9	2.2
spermidine/spermine N1-acetyltransferase	BE326919	4.7	4.4
serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	AL574210	4.7	3
tumor necrosis factor, alpha-induced protein 2	NM_006291	4.5	2.1
interferon induced transmembrane protein 1 (9-27)	AA749101	4.2	2.1
2,5-oligoadenylate synthetase 1, 40/46kDa	NM_002534	4	2.6
RAB3B, member RAS oncogene family	AU156710	3.9	5
heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa) binding protein 1	NM_017870	3.8	2.4
growth differentiation factor 15	AF003934	3.8	4.2
E74-like factor 3 (ets domain transcription factor, epithelial-specific )	U73844	3.8	3.8
N-myc downstream regulated gene 1	NM_006096	3.8	2.9
trophoblast-derived noncoding RNA	AI042152	3.8	4.2
golgi SNAP receptor complex member 2	AW205003	3.6	4.7
major vault protein	NM_017458	3.5	2.2
calcium/calmodulin-dependent protein kinase II	NM_018584	3.4	2.3
pleckstrin homology domain containing, family B (evectins) member 1	AF081583	3.4	2.3
molecule possessing ankyrin repeats induced by lipopolysaccharide (MAIL), homolog of mouse	AB037925	3.2	3.8
netrin 4	AF278532	3.2	2.5
trophoblast-derived noncoding RNA	AV699657	3.2	2.3
keratin associated protein 2-1	BC012486	3.1	6.3
lipocalin 2 (oncogene 24p3)	NM_005564	3.1	2.7
trophoblast-derived noncoding RNA	BE675516	3.1	3.4
interferon, alpha-inducible protein 27	NM_005532	3.1	2.3
microtubule-associated protein 1B	AA554833	3	2.4
sterile alpha motif domain containing 4	BF697247	3	3.3
NEDD9 interacting protein with calponin homology and LIM domains	NM_022765	2.9	2.4
