GeneBank Acc. No.	Gene Description	Fold Change	Mann–Whitney U-test P Value
X72755	monokine induced by gamma interferon		0.05
L35594	phosphodiesterase I/nucleotide pyrophosphatase 2 (autotaxin)	7.4	0.05
M59979	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	7.2	0.05
M12824	CD8 antigen, alpha polypeptide (p32)	6.4	0.05
D11086	interleukin 2 receptor, gamma (severe combined immunodeficiency)	4.3	0.05
AF198052	FYN-binding protein (FYB-120/130)	3.8	0.05
U53209	transformer-2 alpha (htra-2 alpha)	3.5	0.05
L32832	AT-binding transcription factor 1	3.5	0.05
X64643	T cell receptor alpha locus	3.3	0.05
U00944	Human clone A9A2BRB6 (CAC)n/(GTG)n repeat-containing mRNA	3.1	0.05
AB002342	KIAA0344 gene product	2.9	0.05
AB000115	hypothetical protein, expressed in osteoblast	2.9	0.05
U29926	adenosine monophosphate deaminase (isoform E)	2.9	0.05
X16354	carcinoembryonic antigen-related cell adhesion molecule 1 (CEACAM1, biliary glycoprotein)	2.8	0.05
NM_015998	CGI-43 protein	2.7	0.05
U37518	tumor necrosis factor (ligand) superfamily, member 10 (TRAIL)	2.7	0.05
U12897	imprinted in Prader-Willi syndrome	2.7	0.05
NM_016294	serine/threonine protein phosphatase catalytic subunit	2.5	0.05
Z82188	HSPC022 protein	2.4	0.05
M87503	interferon-stimulated transcription factor 3, gamma (48kD)	2.2	0.05
Y12653	diubiquitin	2.2	0.05
