Genbank ID	Gene Title	Gene symbol	5 h FC ± SEM	8 d FC ± SEM	1.5 mos FC ± SEM	6 mos FC ± SEM	Gene sequence
D38146	ephrin A1	Efna1	-1.6 ± 0.4	N.C.	N.C.	N.C.	3
NM_008843	prolactin induced protein	Pip	N.C.	-4.0 ± 0.4	N.C.	N.C.	4
BB254922	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2	B3galt2	N.C.	-6.0 ± 0.4	N.C.	N.C.	6
AI853240	UDP-GalNAc:betaGlcNAc beta 1,3-galactosaminyltransferase, polypeptide 2	B3galnt2	-1.6 ± 0.4	N.C.	N.C.	N.C.	7
AK019995	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 /// hypothetical protein LOC620893	Galnt3 /// LOC620893	N.C.	-3.1 ± 0.5	N.C.	N.C.	8
AA572504	UDP glucuronosyltransferase 2 family, polypeptide B35	Ugt2b35	N.C.	-4.6 ± 0.4	N.C.	N.C.	9
BB632261	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 13	Galnt13	N.C.	-2.0 ± 0.4	N.C.	N.C.	10
BF583094	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 4	Galnt4	-1.6 ± 0.4	N.C.	N.C.	N.C.	11
BF681886	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)	Ogt	-3.0 ± 0.3	N.C.	N.C.	N.C.	12
AV302406	UDP-N-acetyl-alpha-D-galactosamine: polypeptide N-acetylgalactosaminyltransferase 7	Galnt7	-1.8 ± 0.4	N.C.	N.C.	N.C.	13
BC025206	UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 7	B3galt7	N.C.	N.C.	-1.5 ± 0.4	N.C.	14
BG064057	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2	Galnt2	-1.5 ± 0.4	N.C.	N.C.	N.C.	15
AJ300674	defensin beta 8	Defb8	N.C.	-7.6 ± 0.8	N.C.	N.C.	16
U03065	defensin related cryptdin 15	Defcr15	N.C.	-2.4 ± 0.4	N.C.	N.C.	17
BE368859	ribosomal protein S14	Rps14	N.C.	-1.7 ± 0.4	N.C.	N.C.	18
AW548239	ribosomal protein S14 /// similar to ribosomal protein S14	Rps14 /// LOC672818	N.C.	-1.7 ± 0.4	N.C.	N.C.	19
AK006197	coiled-coil domain containing 18	Ccdc18	N.C.	-5.6 ± 0.6	N.C.	N.C.	20
NM_009921	cathelicidin antimicrobial peptide	Camp	N.C.	N.C.	-5.9 ± 0.6	N.C.	24
NM_007845	defensin related cryptdin, related sequence 10	Defcr-rs10	N.C.	-3.9 ± 0.6	N.C.	N.C.	25
AW208566	lysozyme	Lyzs	N.C.	-1.9 ± 0.4	N.C.	N.C.	26
U83174	gene trap ROSA 26, Philippe Soriano	GtROSA26	N.C.	-1.7 ± 0.4	N.C.	N.C.	35
BE948928	spastic paraplegia 3A homolog (human)	Spg3a	N.C.	N.C.	-1.5 ± 0.4	N.C.	36
NM_008187	gene trap locus 3	Gtl3	-1.5 ± 0.4	N.C.	N.C.	N.C.	37
NM_025294	gene trap locus F3b	Gtlf3b	-1.5 ± 0.4	N.C.	N.C.	N.C.	38
AV156392	RUN and FYVE domain containing 1	Rufy1	-1.6 ± 0.4	N.C.	N.C.	N.C.	40
AK018316	Rap1 interacting factor 1 homolog (yeast)	Rif1	-1.7 ± 0.4	N.C.	N.C.	N.C.	41
NM_025539	nudix (nucleoside diphosphate linked moiety X)-type motif 2	Nudt2	-1.7 ± 0.4	N.C.	-1.5 ± 0.4	N.C.	42
NM_022565	N-deacetylase/N-sulfotransferase (heparin glucosaminyl) 4	Ndst4	N.C.	-2.3 ± 0.4	N.C.	N.C.	44
AB046929	carbohydrate (N-acetylglucosamino) sulfotransferase 7	Chst7	-2.6 ± 0.4	N.C.	N.C.	N.C.	45
NM_013837	protein-tyrosine sulfotransferase 1	Tpst1	-1.9 ± 0.4	N.C.	N.C.	N.C.	46
AI451467	Heparan sulfate 2-O-sulfotransferase 1	Hs2st1	-1.8 ± 0.4	N.C.	N.C.	N.C.	47
AK011230	dermatan 4 sulfotransferase 1	D4st1	-1.7 ± 0.4	N.C.	N.C.	N.C.	48
AK002650	NHL repeat containing 2	Nhlrc2	-1.5 ± 0.3	N.C.	N.C.	N.C.	49
BB251922	cyclic nucleotide phosphodiesterase 1	Cnp1	-1.6 ± 0.4	N.C.	N.C.	N.C.	50
NM_008961	phosphotriesterase related	Pter	-1.8 ± 0.4	N.C.	N.C.	N.C.	52
AW060409	thioesterase, adipose associated	Thea	-1.6 ± 0.4	N.C.	N.C.	N.C.	53
BI648107	metallophosphoesterase 1	Mppe1	-1.7 ± 0.4	N.C.	N.C.	N.C.	54
BB312125	phosphodiesterase 8B	Pde8b	-2.0 ± 0.3	N.C.	N.C.	N.C.	55
NM_009687	apurinic/apyrimidinic endonuclease 1	Apex1	N.C.	N.C.	-1.5 ± 0.4	N.C.	57
NM_031385	testis expressed gene 18	Tex18	N.C.	-2.9 ± 0.4	N.C.	N.C.	59
BE199719	Serine/arginine repetitive matrix 1	Srrm1	N.C.	-6.5 ± 1.1	N.C.	N.C.	60
BQ175902	unc-13 homolog C (C. elegans)	Unc13c	N.C.	-2.8 ± 0.4	N.C.	N.C.	62
BF018652	SoxLZ/Sox6 leucine zipper binding protein in testis	Solt	N.C.	-2.9 ± 0.4	N.C.	N.C.	63
BB328287	EST AI256396	AI256396	N.C.	-2.4 ± 0.4	N.C.	N.C.	64
AV373997	gene regulated by estrogen in breast cancer protein		-1.7 ± 0.4	N.C.	N.C.	N.C.	66
AW742720	REST corepressor 3	Rcor3	-2.0 ± 0.4	N.C.	N.C.	N.C.	67
BB029606	Testis derived transcript 3	Tes3	-1.5 ± 0.4	N.C.	N.C.	N.C.	68
BB084936	RIKEN cDNA 9330196J05 gene	9330196J05Rik	-3.0 ± 0.4	N.C.	-1.7 ± 0.4	-2.0 ± 0.4	69
BB145092	EST AA175286	AA175286	-2.2 ± 0.4	N.C.	N.C.	N.C.	70
BB428851	Testis expressed gene 9	Tex9	-1.8 ± 0.4	N.C.	N.C.	N.C.	71
NM_007970	enhancer of zeste homolog 1 (Drosophila)	Ezh1	-1.8 ± 0.4	N.C.	N.C.	N.C.	72
NM_008511	lymphoid-restricted membrane protein	Lrmp	N.C.	N.C.	-2.2 ± 0.4	N.C.	73
NM_019457	leucine rich repeat containing 6 (testis)	Lrrc6	-1.9 ± 0.4	N.C.	N.C.	N.C.	74
NM_025275	EST X83328	X83328	-1.6 ± 0.4	N.C.	N.C.	N.C.	75
NM_031384	testis expressed gene 11	Tex11	-2.3 ± 0.4	N.C.	-1.6 ± 0.4	-1.9 ± 0.4	76
C77144	expressed sequence C77144	C77144	N.C.	-2.1 ± 0.4	N.C.	N.C.	79
AI326092	similar to putative pheromone receptor (Go-VN5) /// similar to putative pheromone receptor (Go-VN5) /// similar to putative pheromone receptor (Go-VN5) /// similar to putative pheromone receptor (Go-VN5) /// hypothetical LOC627111 /// similar to putative pheromone receptor (Go-VN5) /// similar to putative pheromone receptor (Go-VN5) /// similar to putative pheromone receptor (Go-VN5) /// similar to putative pheromone receptor (Go-VN5) /// similar to putative pheromone receptor (Go-VN5) /// similar to putative pheromone receptor (Go-VN5)	LOC195691 /// LOC224552 /// LOC328759 /// LOC433070 /// LOC627111 /// LOC627367 /// LOC627476 /// LOC637382 /// LOC665253 /// LOC665376 /// LOC670484	N.C.	-4.2 ± 0.4	N.C.	N.C.	81
X96606	ovary testis transcribed /// similar to ovary testis transcribed /// similar to ovary testis transcribed /// similar to ovary testis transcribed /// similar to ovary testis transcribed /// similar to ovary testis transcribed	Ott /// LOC434863 /// LOC434864 /// LOC434865 /// LOC666184 /// LOC666260	N.C.	-4.3 ± 0.4	N.C.	N.C.	82
AK007064	RIKEN cDNA 4933425K02 gene	4933425K02Rik	N.C.	-13.1 ± 0.6	N.C.	N.C.	83
AK016560	olfactory receptor 701	Olfr701	N.C.	-2.8 ± 0.4	N.C.	N.C.	84
AK019693	eukaryotic translation initiation factor 4 gamma, 3	Eif4g3	N.C.	-2.2 ± 0.4	N.C.	N.C.	85
AK016918	RIKEN cDNA 4933425L03 gene	4933425L03Rik	N.C.	-2.3 ± 0.4	N.C.	N.C.	86
AK015397	Six6 opposite strand transcript 1	Six6os1	N.C.	-2.9 ± 0.6	N.C.	N.C.	87
AK015086	spermidine/spermine N1-acetyl transferase-like 1	Satl1	N.C.	-2.2 ± 0.5	N.C.	N.C.	88
AK006578	RIKEN cDNA 1700031F05 gene	1700031F05Rik	N.C.	-1.9 ± 0.4	N.C.	N.C.	89
AK014919	RIKEN cDNA 1700022C02 gene	1700022C02Rik	N.C.	-3.2 ± 0.4	N.C.	N.C.	90
AK014833	RIKEN cDNA 4921507H08 gene	4921507H08Rik	N.C.	-2.0 ± 0.4	N.C.	N.C.	91
AK015278	RIKEN cDNA 4930431N21 gene	4930431N21Rik	N.C.	-2.1 ± 0.4	N.C.	N.C.	92
AK016932	RIKEN cDNA 4933426I03 gene	4933426I03Rik	N.C.	-2.2 ± 0.4	N.C.	N.C.	93
