Regulated	GO term	Cluster frequency	Percentage	Sample frequency of use	Percentage	P value
Up-regulated genes	Inflammatory response	64/739	8.66	227/12 441	1.82	8.88E-24
Up-regulated genes	Complement activation	22/739	2.98	33/12 441	0.27	1.02E-16
Up-regulated genes	Innate immune response	24/739	3.25	59/12 441	0.47	9.70E-12
Up-regulated genes	Blood coagulation	25/739	3.38	78/12 441	0.63	1.58E-09
Up-regulated genes	Adaptive immune response	17/739	2.3	43/12 441	0.35	1.46E-07
Up-regulated genes	Response to chemical stimulus	49/739	6.63	326/12 441	2.62	1.83E-06
Up-regulated genes	Circulation	22/739	2.98	99/12 441	0.8	7.16E-05
Up-regulated genes	Hormone metabolism	15/739	2.03	48/12 441	0.39	7.64E-05
Up-regulated genes	Lipid metabolism	64/739	8.66	539/12 441	4.33	8.74E-05
Up-regulated genes	Steroid metabolism	26/739	3.52	135/12 441	1.09	0.0001
Up-regulated genes	Cytolysis	8/739	1.08	15/12 441	0.12	0.00083
Up-regulated genes	Response to xenobiotic stimulus	10/739	1.35	25/12 441	0.2	0.00093
Up-regulated genes	Carboxylic acid metabolism	48/739	6.5	392/12 441	3.15	0.00167
Up-regulated genes	Nitrogen compound metabolism	42/739	5.68	330/12 441	2.65	0.00287
Up-regulated genes	Fibrinolysis	6/739	0.81	9/12 441	0.07	0.00389
Down-regulated genes	Cell division	31/215	14.42	178/12 441	1.43	9.28E-20
Down-regulated genes	Cell cycle	53/215	24.65	675/12 441	5.43	1.97E-18
Down-regulated genes	Chromosome segregation	12/215	5.58	43/12 441	0.35	3.61E-09
Down-regulated genes	Organelle localization	5/215	2.33	13/12 441	0.1	0.00122
Down-regulated genes	Cytoskeleton organization and biogenesis	19/215	8.84	346/12 441	2.78	0.0064
