Symbol	Name	Gene Ontology
Gzmb	C11 encoding T-cell–specific protein CCPI CTLA-1, granzyme B	Apoptosis
Prg2	Proteoglycan 2, esoinophil major basic protein	Apoptosis
Dad1	Defender against cell death 1	Apoptosis
Bnip3l	BCL2/adenovirus E1B 19-kd interacting protein 3-like	Apoptosis
Tial1	Tial1 cytotoxic granule-associated RNA-binding protein-like 1	Apoptosis
Calm	Calmodulin	Calcium binding
Calr	Calreticulin	Calcium binding
Cdkn1a	Cyclin-dependent kinase inhibitor 1A (P21)	Cell cycle
Ppm1g	Protein phosphatase 1G, magnesium-dependent, ? isoform	Cell cycle
LATS1	Large tumor suppressor homolog 1	Cell cycle control
Ran	GTP-binding nuclear protein RAN, member RAS oncogene family	Cell cycle regulator
Mdm2	Transformed mouse 3T3 cell double minute 2	Cell growth and maintenance
Cct5	Chaperonin subunit 5 ?	Chaperone
C1qa	Complement component 1, q subcomponent, ? polypeptide	Complement component
Myo1c	Myosin Ic	Cytoskeleton organization and biogenesis
Ncl	Nucleolin	DNA, RNA binding
Madh5	MAD homolog 5	Embryogenesis and morphogenesis
Mt1	Metallothionein1	Heavy metal binding
Elavl3	ELAV-like 3 (Hu antigen C)	Histogenesis and organogenesis
Igj	Immunoglobulin joining chain	Humoral defense mechanism
Ppia	Peptidylprolyl isomerase A	Immune response
Scya19	Small inducible cytokine A19	Inflammatory response
Itgb7	Integrin ? 7	Integrin receptor signal signaling pathway
Emp3	Epithelial membrane protein 3	Membrane fraction
Vasp	Vasodilator-stimulated phosphoprotein	Mineralcorticoid metabolism
Ada	Adenosine deaminase	Nucleic acid metabolism
Ubb	Ubiquitin B	Nucleus
Gnas	Guanine nucleotide binding protein, ? stimulating	Protein ADP-ribosylation
DHPS	Deoxyhypusine synthase	Protein biosynthesis
Eef1a1	Elongation factor 1-alpha (EF 1-?)	Protein biosynthesis
Ptpn11	Protein tyrosine phosphatase, nonreceptor type 11	Protein tyrosine phosphatase
Impdh2	IMP dehydrogenase	Purine nucleotide biosynthesis
Various	Ribosomal proteins L3, L4, L5, L6, L7, L10, L11, L13, L23a, L29	Ribosome biogenesis
Various	Ribosomal proteins S3, S4, S6, S7, S12, S14, S16, S17, S19, S20	Ribosome biogenesis
Fgfr4	Fibroblast growth factor receptor 4	Signal transduction
Nsp3	SH2-containing protein 3	Signal transduction
Rgl2	Ral guanine nucleotide dissociation stimulator-like 2	Signal transduction
Mint	Msx2-interacting nuclear target protein	Transcription factor
Mtf2	Metal response element binding transcription factor 2	Transcription factor
Bteb3	Basic transcription element binding protein 3	Transcription from Pol II promoter
Klf9	Kruppel-like factor 9	Transcription regulation
Creg	Cellular repressor of E1A-stimulated genes	Transcription regulation
Rb1	Retinoblastoma 1	Transcription regulation
