Gene symbol	Gene name	Fold change	P	FDR	Expression
HLA-DRB4	mMajor histocompatibility complex, class II, DR ? 4	4.53	0.003	0.048	Up-regulated in stage IA/IB
WIF1	WNT inhibitory factor 1	4.41	< .001	< .001	Up-regulated in stage IA/IB
CD207	CD207 antigen, langerin	3.63	< .001	< .001	Up-regulated in stage IA/IB
FCGBP	Fc fragment of IgG binding protein	2.87	< .001	0.017	Up-regulated in stage IA/IB
MATN4	Matrilin 4	2.79	< .001	< .001	Up-regulated in stage IA/IB
HLA-DQB2	Major histocompatibility complex, class II, DQ ? 2	2.74	< .001	< .001	Up-regulated in stage IA/IB
CD1A	CD1A antigen, a polypeptide	2.6	< .001	< .001	Up-regulated in stage IA/IB
FCER1A	Fc fragment of IgE, high affinity I, receptor for ? polypeptide	2.45	< .001	0.029	Up-regulated in stage IA/IB
S100B	S100 calcium-binding protein ? (neural)	2.17	< .001	0.017	Up-regulated in stage IA/IB
KRT18	Keratin 18	2.06	0.003	0.047	Up-regulated in stage IA/IB
LAMC3	Laminin ? 3	2.05	0.002	0.043	Up-regulated in stage IA/IB
CTSG	Cathepsin G	2.04	< .001	< .001	Up-regulated in stage IA/IB
CMA1	Chymase 1, mast cell	2.03	< .001	< .001	Up-regulated in stage IA/IB
GSTT1	Glutathione S-transferase ? 1	2.03	< .001	0.029	Up-regulated in stage IA/IB
HLF	Hepatic leukemia factor	2	0.002	0.039	Up-regulated in stage IA/IB
CD1C	CD1C antigen, c polypeptide	1.94	0.002	0.043	Up-regulated in stage IA/IB
FRZB	Frizzled-related protein	1.94	< .001	0.029	Up-regulated in stage IA/IB
KRT15	Keratin 15	1.86	0.001	0.036	Up-regulated in stage IA/IB
MMP27	Matrix metalloproteinase 27	1.85	0.003	0.044	Up-regulated in stage IA/IB
PADI2	Peptidyl arginine deiminase, type II	1.78	< .001	0.017	Up-regulated in stage IA/IB
SCEL	Sciellin	1.78	0.002	0.043	Up-regulated in stage IA/IB
TCF7L1	Tanscription factor 7-like 1 (T-cell specific, HMG-box)	1.73	< .001	0.023	Up-regulated in stage IA/IB
LTBP4	Latent transforming growth factor ?–binding protein 4	1.7	< .001	0.033	Up-regulated in stage IA/IB
CTNNBIP1	Catenin ? interacting protein 1	1.68	0.003	0.046	Up-regulated in stage IA/IB
COL21A1	Collagen, type XXI ? 1	1.67	0.003	0.047	Up-regulated in stage IA/IB
KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	1.66	< .001	< .001	Up-regulated in stage IA/IB
S100A1	S100 calcium-binding protein A1	1.64	< .001	< .001	Up-regulated in stage IA/IB
NFIB	Nuclear factor I/B	1.6	0.002	0.039	Up-regulated in stage IA/IB
IL11RA	Interleukin-11 receptor ?	1.59	< .001	< .001	Up-regulated in stage IA/IB
MATN2	Matrilin 2	1.53	< .001	0.017	Up-regulated in stage IA/IB
AIM2	Absent in melanoma 2	4.62	< .001	< .001	Up-regulated in stage IIA/III
LAG3	Lymphocyte-activation gene 3	4.42	< .001	< .001	Up-regulated in stage IIA/III
APOBEC3B	Apolipoprotein B mRNA–editing enzyme, catalytic polypeptide-like 3B	3.37	< .001	0.023	Up-regulated in stage IIA/III
SH2D1A	SH2 domain protein 1A, Duncan disease (lymphoproliferative syndrome)	3.04	0.002	0.039	Up-regulated in stage IIA/III
TNIP3	TNFAIP3 interacting protein 3	2.75	< .001	0.023	Up-regulated in stage IIA/III
