GenBank Acc. no.	Gene symbol	Gene description	Gr. IV: Gr. I Ratio	P	Gr. IV: Gr. II Ratio	P	Gr. IV: N.B. Ratio	P	Function
M15856	LPL	Lipoprotein lipase	4.3	0	1.5	0.828	16.2	0	Lipid metabolism
J02611	APOD	Apolipoprotein D	2.8	0	1.5	0.197	2.3	0.143	Carrier proteins
X63741	EGR3	Early growth response 3	3.3	0.008	2.6	0.197	0.7	0.046	Transcription/translation regulation
Z19002	ZNF145	Zinc finger protein 145 (Kruppel-like)	2.7	0	1.9	0.098	1.5	0.277	Transcription/translation regulation
V01512	FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog	2.1	0.005	2.9	0.01	3.2	0.011	Transcription/translation regulation
M99436	TLE2	Transducin-like enhancer of split 2	2.1	0.003	2.1	0	2.1	0.008	Transcription/translation regulation
M92843	ZFP36	Zinc finger protein homologous to Zfp-36 in mouse	2.1	0.006	2.7	0.01	2.6	0.015	Transcription/translation regulation
D43638	CBFA2T1	Core-binding factor, runt domain, ? subunit 2	2	0.004	0.6	0.024	0.5	0.023	Transcription/translation regulation
U68019	MADH3	Smad3	2	0.001	2	0.042	1.9	0.048	Transcription/translation regulation
U33447	GPR17	G protein-coupled receptor 17	4.8	0	4.8	0.03	4.8	0.059	Receptors and signal transduction
S76475	NTRK3	Neurotrophic tyrosine kinase, receptor, type 3	3.9	0	1.6	0.206	1.4	0.468	Receptors and signal transduction
U16306	CSPG2	Chondroitin sulfate proteoglycan 2 (versican)	3.1	0	2.1	0.034	20.5	0	Receptors and signal transduction
L20971	PDE4B	Phosphodiesterase 4B, cAMP-specific	3.1	0	3.2	0.006	3.7	0.001	Receptors and signal transduction
L14542	KLRC3	Killer cell lectin-like receptor subfamily C, member 3	3	0.001	1.8	0.467	3.4	0	Receptors and signal transduction
U46744	DTNA	Dystrobrevin, ?	2.9	0.001	2.7	0.046	2.5	0.117	Receptors and signal transduction
L20814	GRIA2	Glutamate receptor, ionotropic, AMPA 2	2.8	0	0.8	0.373	0.8	0.276	Receptors and signal transduction
U02566	TYRO3	TYRO3 protein tyrosine kinase	2.6	0.001	2	0.222	1.1	0.66	Receptors and signal transduction
M84349	CD59	CD59 antigen	2.5	0	1.6	0.005	3.5	0	Receptors and signal transduction
X54867	KLRC1	Killer cell lectin-like receptor subfamily C, member 1	2.3	0.002	2.1	0.158	3.6	0	Receptors and signal transduction
L13738	ACK1	Activated p21cdc42Hs kinase	2.3	0	1	0.565	1.7	0.171	Receptors and signal transduction
M90657	TM4SF1	Transmembrane 4 superfamily member 1	2.2	0.006	2.2	0.001	2.2	0	Receptors and signal transduction
U18934	TYRO3	TYRO3 protein tyrosine kinase	2.2	0.001	1.5	0.355	0.9	0.396	Receptors and signal transduction
X75756	PRKCM	Protein kinase C, ?	2.2	0	1.7	0.015	3.4	0	Receptors and signal transduction
Y10032	SGK	Serum/glucocorticoid regulated kinase	2.1	0.001	1.9	0.03	1.4	0.108	Receptors and signal transduction
U59877	RAB31	RAB31, memberRAS oncogene family	2.1	0.001	1.9	0.144	5	0	Receptors and signal transduction
X64878	OXTR	Oxytocin receptor	2.1	0	2.3	0.009	3.4	0	Receptors and signal transduction
M61906	PIK3R1	Phosphoinositide-3-kinase, regulatory subunit	2	0.001	0.8	0.355	1.1	0.952	Receptors and signal transduction
M34181	PRKACB	Protein kinase, cAMP-dependent, catalytic, ?	2	0	1.1	0.831	0.5	0.002	Receptors and signal transduction
M17783	PN1	Nexin, glia-derived	2.9	0	2	0.108	3.4	0.002	Protein degradation regulation
U76456	TIMP4	Tissue inhibitor of metalloproteinase 4	2.3	0	3.4	0.002	12.4	0	Protein degradation regulation
M13690	C1NH	Complement component 1 inhibitor	2.2	0.001	3.6	0	7.7	0	Protein degradation regulation
D87258	PRSS11	Protease, serine, 11	2.1	0	2.1	0.031	3.3	0	Protein degradation regulation
M69203	SCYA4	Small inducible cytokine A4	4.9	0	4.8	0.068	2.6	0.13	Cytokine
M23178	SCYA3	Small inducible cytokine A3	3.8	0	3.1	0.154	2.6	0.104	Cytokine
X04500	IL1B	Interleukin 1, ?	2.3	0.002	4.1	0.009	1.6	0.231	Cytokine
X54412	COL9A1	Collagen, type IX, ?1	5.6	0	3.4	0.007	9.2	0.007	ECM or ECM-associated proteins
X73608	SPOCK	Testican	4.4	0	2.3	0.04	1.8	0.453	ECM or ECM-associated proteins
X96753	CSPG4	Chondroitin sulfate proteoglycan 4	4.3	0.001	5.9	0.023	5.9	0	ECM or ECM-associated proteins
L41162	COL9A3	Collagen, type IX, ?3	3.1	0	2.5	0.02	3.9	0.014	ECM or ECM-associated proteins
X58079	S100A1	S100 calcium-binding protein A1	2.5	0.001	1.6	0.652	1.2	0.693	ECM or ECM-associated proteins
U65932	ECM1	ECM protein 1	2.1	0.001	3.9	0.002	4.6	0	ECM or ECM-associated proteins
Z19585	THBS4	Thrombospondin 4	2.1	0.004	8	0.007	11.4	0	ECM or ECM-associated proteins
X68277	DUSP1	Dual specificity phosphatase 1	2.1	0	3	0.002	2.8	0.006	Stress response proteins
U46901	SNCA	Synuclein, ? (non A4 component of amyloid precursor)	2	0	0.7	0.474	0.2	0	Amyloid related
D31883	ABLIM	Actin-binding LIM protein	2.4	0	1.4	0.283	2	0.009	Cytoskeleton
M77016	TMOD	Tropomodulin	2.1	0.002	1.6	0.175	3.5	0.005	Cytoskeleton
U96769	CHAD	Chondroadherin	8	0	8	0.012	8	0.001	Cell adhesion/aggregation
M55172	AGC1	Aggrecan 1	2.7	0	2.7	0.044	2.7	0.001	Cell adhesion/aggregation
U52840	SEMA5A	Semaphorin 5A	2.7	0	2.8	0.01	6.4	0	Cell adhesion/aggregation
L10373	TM4SF2	Transmembrane 4 superfamily member 2	2.6	0	1.1	0.992	0.8	0.539	Cell adhesion/aggregation
U79251	OPCML	Opioid-binding protein/cell adhesion molecule-like	2.5	0	1.8	0.139	1.4	0.497	Cell adhesion/aggregation
X16841	NCAM1	Neural cell adhesion molecule 1	2.4	0	1.3	0.363	1.3	0.245	Cell adhesion/aggregation
U52100	EMP2	Epithelial membrane protein 2	2	0	2.5	0.001	4	0	Cell adhesion/aggregation
