Probe Set	Gene Symbol	Description	Relative Expression	P value
40435_AT	SLC25A6	ADP/ATP translocase, clone pHAT8.	3.28	0.0001
2053_AT	CDH2	cadherin 2, type 1, N-cadherin	-0.97	0.0001
41854_AT	MYB	v-myb myeloblastosis viral oncogene	-1.24	0.0001
920_AT		cyclophilin-Related Protein	-0.85	0.0003
41178_AT	RPL11	ribosomal protein L11	3.25	0.0003
39969_AT	HIST1H4C	histone H4	1.69	0.0004
37610_AT	FLJ10803	hypothetical protein FLJ10803	-1.18	0.0006
1652_AT	PIM-2	pim-2 oncogene	-1.1	0.0008
32750_R_AT	FLNA	filamin A, alpha (actin-binding protein 280)	2.72	0.001
32647_AT	VT12	vesicle-associated soluble NSF attachment protein receptor	-1.26	0.0015
32618_AT	BLVRA	biliverdin reductase A	-0.87	0.0016
31774_AT	OSP	oligodendrocyte-specific protein	1.11	0.0018
603_AT	NR2C1	nuclear receptor subfamily 2, group C, member 1	-0.79	0.0018
32440_AT	RPL17	ribosomal protein L17	2.98	0.0018
1920_S_AT	CCNG1	cyclin G1	-0.86	0.002
34620_AT	PAX5	paired box gene 5 (B-cell lineage-specific activator protein)	1.09	0.0023
32551_AT	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1	0.92	0.0023
34570_AT	RPS27A	ribosomal protein S27a	2.72	0.0023
32170_G_AT	FBXO21	F-box only protein 21	-0.85	0.0024
32391_G_AT	FMO3	flavin-containing monooxygenase 3	1.2	0.0028
34613_AT	KIAA1086	KIAA1086 protein	1.05	0.0029
34699_AT	CD2AP	CD2-associated protein	-0.71	0.0029
32297_S_AT	KLRC2	killer cell lectin-like receptor subfamily C, member 2	1.34	0.0029
41597_S_AT	SEC22L1	SEC22 vesicle trafficking protein-like 1	-1.78	0.0031
32658_AT	SACM2L	SAC2 suppressor of actin mutations 2-like	-2.91	0.0031
1130_AT	MAP2K1/MEK	mitogen-activated protein kinase kinase 1	3.28	0.0031
34035_AT	SLC10A1	solute carrier family 10 (sodium/bile acid cotransporter family)	1.01	0.0031
40460_S_AT	ACOX1	acyl-coenzyme A oxidase 1, palmitoyl	-0.91	0.0034
39997_AT	PFC	properdin P factor, complement	1.63	0.0035
41452_AT	ZFP95	zinc finger protein 95 homolog (mouse)	1.04	0.0036
37950_AT	PREP	prolyl endopeptidase	-1.16	0.0038
31506_S_AT	DEFA3	defensin, alpha 3, neutrophil-specific	-0.7	0.0039
40157_S_AT	MYL1	myosin, light polypeptide 1, alkali; skeletal, f	-0.94	0.0043
33485_AT	RPL4	ribosomal protein L4	2.23	0.0044
35726_AT	S100A2	S100 calcium-binding protein A2	1.01	0.0045
37775_AT	6-Sep	septin 6	-0.93	0.0045
34650_AT	PDE3A	phosphodiesterase 3A, cGMP-inhibited	0.85	0.0046
31948_AT	RPS21	ribosomal protein S21	1.8	0.0047
37853_AT	UCN	urocortin	-1.01	0.005
31488_S_AT	PGK1	phosphoglycerate kinase 1	2.11	0.0051
35961_AT		cDNA DKFZp586O1318	-0.77	0.0051
37943_AT	KIAA0321	KIAA0321 gene	-0.86	0.0054
40014_AT	SEMA6C	sema domain, transmembrane and cytoplasmic domain	1.78	0.0055
34581_S_AT	EPB41	erythrocyte membrane protein band 4.1	0.79	0.0055
34689_AT	TREX1	three prime repair exonuclease 1	1.71	0.0056
35809_G_AT	SFRS6	splicing factor arginine/serine-rich	-2.01	0.0058
31943_G_AT	TULP3	tubby-like protein 3	0.9	0.0058
38545_AT	INHBB	inhibin, beta B	0.84	0.0058
36723_AT	HNF4A	hepatocyte nuclear factor 4a	0.73	0.0059
34892_AT	TNFRSF10B	tumor necrosis factor receptor superfamily, member 10b	-0.73	0.0059
1913_AT	CCNG2	cyclin G2	-1.53	0.0061
38108_AT	PPT2	palmitoyl-protein thioesterase 2, transcript variant 2	-0.87	0.0061
