Acc	Symbol	name	Unigene	LLID	Function	Chromosome	Cytoband	0440gpr MPP vs ST	0462gpr ST vs MPP	4562gpr MPP vs ST	4563gpr ST vs MPP	4582gpr ST vs MPP	4583gpr MPP vs ST	Pass	Fold change	1/fold change	Score(d)	Numerator(r)	Denominator(s+s0)	q-value (%)
AV074733	Igh-6	immunoglobulin heavy chain 6 (heavy chain of IgM)	Mm.351746	16019		12		1.8449	2.5566	1.5481	1.2607	1.9932	1.6774	6	3.662602361	0.273029912	3.862378969	1.813483333	0.469524961	2.163399585
AV017487	Dtx4	deltex 4 homolog (Drosophila)	Mm.247695	207521		19	19 A	1.1011	2.0005	1.4802	1.845	1.4013	1.9099	6	3.154699569	0.316987396	3.756240845	1.623	0.43208092	2.163399585
AV315554				NA		NA		1.3075	2.0119	1.8468	1.2914	1.4635	1.106	6	2.910528036	0.343580267	3.478935563	1.504516667	0.432464655	2.163399585
AV109395				NA	solute carrier family 25 (mitochondrial carrier; peroxisomal	NA		1.7874	2.6428	2.2302	1.6628	0.8378	1.9663	6	3.875102038	0.258057721	3.452824063	1.85455	0.537111062	2.163399585
BG070287	Igh-6	immunoglobulin heavy chain 6 (heavy chain of IgM)	Mm.351746	16019		12		2.821	3.0041	2.46	0.8696	2.0055	1.4794	6	4.870369547	0.205323229	3.375038608	2.1066	0.624170638	2.163399585
AV023026	Satb1	special AT-rich sequence binding protein 1	Mm.4381	20230	special AT-rich sequence binding protein 1	17	17 C	1.4937	1.5693	1.5635	1.1844	0.6453	1.3153	6	2.510783967	0.398281976	2.993245115	1.29525	0.432724334	2.163399585
BG073859	Ptger2	prostaglandin E receptor 2 (subtype EP2)	Mm.4630	19217		14		1.5649	2.318	1.8263	0.9325	1.2508	1.0522	6	2.975540406	0.336073406	2.969622281	1.490783333	0.502011095	2.163399585
X12531	Ccl3	chemokine (C-C motif) ligand 3	Mm.1282	20302		11		2.257	2.2323	0.9662	0.7144	1.8958	1.6794	6	3.332918023	0.300037383	2.932556783	1.624183333	0.553845485	2.163399585
AV017127	Notch1	Notch gene homolog 1 (Drosophila)	Mm.330072	18128		2		1.811	1.9653	1.2425	0.6856	1.5452	1.1192	6	2.746492644	0.364100739	2.891991702	1.3948	0.482297373	2.163399585
BG067743	Blnk	B-cell linker	Mm.9749	17060		19		2.3577	2.0516	1.5749	2.0253	0.8205	0.7385	6	3.292592058	0.303712085	2.816464038	1.59475	0.566224166	2.163399585
AA059687	St6gal1	beta galactoside alpha 2,6 sialyltransferase 1	Mm.149029	20440; 385641		16		1.3019	1.7625	1.543	1.3963	0.9213	0.6204	6	2.472627707	0.404428049	2.735435682	1.257566667	0.459731762	2.163399585
AV019967				NA	AA470251 EST:heart:Mus musculus	NA		1.0084	1.8258	1.0904	1.1635	1.8532	0.7568	6	2.538132027	0.393990537	2.70973675	1.283016667	0.473483879	2.163399585
AA153963	Lck	lymphocyte protein tyrosine kinase	Mm.293753	16818		4		1.1045	1.261	1.1102	0.5026	1.031	1.2785	6	2.098614688	0.476504813	2.589295434	1.047966667	0.404730435	2.163399585
BG069829	Satb1	special AT-rich sequence binding protein 1	Mm.4381	20230		17	17 C	2.4504	1.5713	1.524	0.4581	0.9174	1.8549	6	3.032163278	0.329797543	2.545370205	1.462683333	0.574644635	2.163399585
AV087690	Sdc1	syndecan 1	Mm.2580	20969		12		1.4455	1.4852	1.3889	0.5767	0.7899	0.9297	6	2.211198239	0.452243486	2.467241539	1.10265	0.446916114	3.549327443
AA155094	Mpeg1	macrophage expressed gene 1	Mm.3999	17476		19	19 A	2.1129	1.8876	0.8835		1.1807	1.8426	5	2.787343644	0.358764518	2.441687675	1.380943333	0.565569195	3.549327443
AI841308	Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide	Mm.4550	11931		1		1.2284	1.0436	0.7772	0.7361	0.9784	0.6754	6	1.891870333	0.528577452	2.41273419	0.906516667	0.375721731	3.549327443
AA185030				NA		NA		1.2064		1.055	0.6265	0.6566	1.4498	5	1.872868214	0.533940398	2.27452	0.963071667	0.423417542	3.549327443
AV028879				NA	G-protein coupled receptor 26	NA		0.7058	1.5003	1.7622	0.4755	1.1808	0.9016	6	2.229629247	0.44850506	2.229463	1.0877	0.487875331	4.938194704
AA154832	Ccl9	chemokine (C-C motif) ligand 9	Mm.2271	20308		11		1.235	2.1953	0.987	0.3266	1.3413	1.0741	6	2.468163256	0.405159585	2.225561508	1.193216667	0.536141851	4.938194704
AI847831	D430026P16Rik	RIKEN cDNA D430026P16 gene	Mm.169755	320183		10	10 D2	1.1663	1.1884	0.7866	0.9285	0.3687	1.1459	6	1.942613786	0.514770361	2.223940026	0.930733333	0.41850649	4.938194704
BG075800	St6gal1	beta galactoside alpha 2,6 sialyltransferase 1	Mm.149029	20440; 385641		16		1.3679	1.2802	1.0032	1.6643	0.2097	0.9898	6	2.221011534	0.450245298	2.208221824	1.08585	0.49173049	4.938194704
http://genome-www4.stanford.edu/cgi-bin/SMD/source/sourceResult?choice=Gene&option=Name&criteria=								1.1957	1.9162	1.7958	1.3496	0.2069	0.7581	6	2.488466162	0.401853967	2.18233177	1.203716667	0.551573635	4.938194704
BF658702	Ccr9	chemokine (C-C motif) receptor 9	Mm.42258	NA		NA		2.6663	2.4246	1.8107	1.1408	0.0655	0.8655	6	3.383061282	0.295590271	2.158203212	1.495566667	0.692968418	4.938194704
AV140128	Cnn3	calponin 3, acidic	Mm.275555	71994		3	3 G1	2.0059	2.0916	1.6555	-0.1976	1.118	1.4977	6	2.8825501	0.346915046	2.153264847	1.36185	0.632458196	4.938194704
