Gene name	GenBank accession no.	P value ttest paired	Regulation
Tissue inhibitor of metalloproteinase-3, complete cds.	U67195	0.0046	Down-regulated
40S ribosomal protein S27 isoform	NM_015920	0.0055	Up-regulated
Cytochrome b-245, ? polypeptide (CYBA)	NM_000101	0.0074	Down-regulated
Immunoglobulin kappa-chain VK-1 (IgK)	M85256	0.0081	Down-regulated
Consensus incl.: Homo sapiens mRNA for immunoglobulin heavy chain variable region	AJ239383	0.011	Down-regulated
Human (clone HSY3RR) neuropeptide Y receptor (NPYR)	L01639	0.0115	Down-regulated
Consensus incl.:Homo sapiens partial mRNA for human Ig? light chain variable region,clone MB91 (331 bp)	AJ249377	0.0121	Down-regulated
Consensus incl.:Human rearranged immunoglobulin heavy chain	AB035175	0.0125	Down-regulated
Consensus incl.: transmembrane 4 superfamily member 1	AI346835	0.0126	Up-regulated
Consensus incl.: colony stimulating factor 2	BF002659	0.013	Down-regulated
FK506 binding protein precursor (LOC51303)	NM_016594	0.0134	Down-regulated
Damage-specific DNA binding protein 2 (48kD) (DDB2)	NM_000107	0.0138	Up-regulated
Human immunoglobulin rearranged mu-chain gene VH3-D2110-JH2	L34164	0.0143	Down-regulated
SH3 domain-binding protein SNP70	AF118023	0.0184	Down-regulated
Tropomyosin 2 (?) (TPM2)	NM_003289	0.0203	Up-regulated
Consensus incl.:Human rearranged immunoglobulin heavy chain	BG340548	0.0212	Down-regulated
Prostate differentiation factor (MIC1)	AF003934	0.0216	Up-regulated
Cyclin-dependent kinase inhibitor 1A (p21, Cip1) (CDKN1A)	NM_000389	0.0243	Up-regulated
Consensus incl.: human HLA class II associated protein I	BE560202	0.0266	Down-regulated
Consensus incl.: NS1-associated protein 1	AI472757	0.0279	Down-regulated
T cell-specific protein (RANTES)	M21121	0.0283	Down-regulated
Ribonucleotide reductase M1 polypeptide (RRM1)	NM_001033	0.0331	Up-regulated
Hemoglobin, ? 1 (HBA1)	NM_000558	0.0344	Up-regulated
Consensus incl.:H.sapiens cDNA FLJ13302 fis	AI189753	0.0346	Up-regulated
Consensus incl.: insulin-like growth factor binding protein 3	BF340228	0.0349	Down-regulated
Matrix metalloproteinase 9 (gelatinase B, MMP9)	NM_004994	0.0352	Down-regulated
Hemoglobin, ? 2, MGC:14541	BC005931	0.0355	Up-regulated
Consensus incl.:rearranged immunoglobulin heavy chain A1VH3 gene	U92706	0.0357	Down-regulated
? chemokine Exodus-3 mRNA	U88321	0.0374	Down-regulated
Cluster incl. U88964:Human HEM45	U88964	0.039	Down-regulated
Forkhead box M1 (FOXM1)	NM_021953	0.0392	Up-regulated
Ferredoxin reductase (FDXR), transcript variant 2	NM_004110	0.0398	Up-regulated
Consensus incl.: partial IGKV gene for immunoglobulin kappa chain variable region, clone 30	AW404894	0.0423	Down-regulated
Consensus incl.: Human V108 gene encoding an immunoglobulin kappa orphan	X51887	0.0429	Down-regulated
Ubiquitin carrier protein (E2-EPF)	NM_014501	0.0429	Down-regulated
Consensus incl.:protein phosphatase 3, (calcineurin A ?)	AA911231	0.0447	Down-regulated
Adipose differentiation-related protein, clone MGC:10598	BC005127	0.0478	Up-regulated
