Symbol	hNCC tpm	HES3 tpm	HES4 tpm
AATF	20	5	5
ABL1	59	10	33
ABL2	20	10	10
ACACA	20	5	5
ACIN1	59	102	5
ACP1	20	5	5
ACTB	436	5	5
ACTG1	20	15	19
ACTN1	20	5	10
ACTN4	20	5	14
ACVR1B	20	15	5
ADAM10	59	5	5
ADAM15	119	10	19
ADAMTS1	40	15	29
ADAR	59	5	5
ADFP	40	19	91
ADM	20	5	14
ADRA2A	20	5	14
ADRBK1	59	5	14
AFF1	20	15	48
AHCY	59	205	153
AK2	20	5	5
AK3L1	20	34	10
AKAP12	20	5	5
AKAP13	198	10	14
AKT1	139	5	5
AKT2	20	68	5
AKT3	20	5	10
ALDH1A1	20	15	5
AMACR	20	10	5
ANAPC5	20	93	43
ANP32A	40	5	5
ANXA1	59	19	76
ANXA11	20	24	10
ANXA2	20	5	19
ANXA7	20	15	19
APBB1	40	29	53
APBB2	20	10	5
APC	20	5	5
APOE	20	24	10
APP	20	5	5
APRIN	20	19	24
ARAF	59	34	5
ARD1A	99	58	43
ARF1	20	15	5
ARHGAP5	20	5	5
ARHGEF1	20	19	24
ARHGEF2	20	5	14
ARID3A	59	10	19
ARL1	59	19	24
ARL3	20	24	10
ARRB2	20	5	478
ATF2	20	10	19
ATF3	20	5	10
ATF4	40	5	5
ATF5	99	263	201
ATM	20	10	29
ATP5B	733	10	10
ATP5F1	20	243	5
ATP5G1	40	166	100
ATP5G2	20	15	5
ATP6AP1	20	29	24
ATPIF1	20	5	5
AXL	40	5	5
B4GALT2	40	44	57
B4GALT7	40	10	19
BAMBI	20	10	5
BAP1	40	63	5
BARD1	40	10	5
BAX	20	5	10
BCAR1	158	54	38
BCAR3	20	5	5
BCAT1	79	5	5
BCL10	20	10	33
BCL2L1	20	5	14
BCL2L11	20	15	5
BCR	79	5	10
BID	20	78	29
BIN1	99	5	19
BIRC4	20	5	19
BIRC5	20	5	5
BIRC6	20	5	5
BLM	40	5	14
BMP7	40	10	24
BMPR1A	20	5	33
BMPR2	59	10	5
BRD4	20	10	5
BRF2	20	15	10
BSG	515	5	167
BTG1	59	34	53
BTG2	40	15	10
BTG3	20	1641	478
BTRC	20	5	5
BUB1B	20	5	19
BUB3	59	5	5
C19ORF10	20	58	5
C1QBP	20	15	5
C5ORF13	20	5	5
C6ORF108	40	34	24
C6ORF66	20	88	5
C9ORF78	20	5	5
CABLES1	20	5	10
CACNA2D2	40	19	19
CALM1	20	112	5
CALM3	40	58	5
CALR	455	273	119
CAMKK2	40	5	5
CAPN1	59	200	53
CAPNS1	139	10	10
CAPZA1	59	5	24
CASC3	20	68	5
CASP2	40	29	5
CASP3	20	10	100
CAST	20	5	5
CAV1	20	5	5
CBFB	20	5	10
CBLB	59	5	5
CBX1	139	127	5
CCDC6	20	15	5
CCNA2	20	44	5
CCNB1	59	19	10
CCND1	20	19	10
CCND2	20	24	5
CCNF	20	5	38
CCNG1	40	19	5
CCNI	20	151	5
CCNL2	20	5	5
CCT2	257	5	5
CCT3	20	278	292
CCT5	297	195	311
CCT7	158	443	454
CD24	20	5	14
CD44	20	5	5
CD46	59	24	67
CD47	20	5	29
CD63	218	253	5
CD81	20	10	5
CD99	416	5	162
CDC16	20	29	19
CDC2	158	68	62
CDC25B	40	15	5
CDC27	20	15	5
CDC2L1	20	5	5
CDC2L5	20	15	5
CDC2L6	20	5	5
CDC37	178	117	43
CDC42	20	5	24
CDC42BPB	20	29	29
CDCA4	20	5	5
CDCA7	20	15	29
CDH2	40	5	5
CDH4	40	5	5
CDK10	40	5	53
CDK2	40	29	29
CDK2AP1	178	5	14
CDK3	59	5	5
CDK4	158	5	153
CDK5	20	5	5
CDK6	40	5	10
CDK7	20	44	5
CDK9	40	44	24
CDKN1A	139	5	14
CDKN1B	40	15	5
CDKN1C	178	5	5
CDKN3	20	73	14
CDT1	59	15	10
CEBPB	40	19	19
CENPF	59	5	10
CFDP1	178	24	33
CFL1	40	5	5
CHEK1	20	5	5
CHERP	40	10	5
CHKA	20	5	19
CIRBP	20	5	5
CITED2	20	5	10
CKLF	40	10	29
CKS1B	59	5	5
CKS2	218	234	5
CLCN7	20	49	5
CLK1	99	24	10
CLN3	20	341	5
CLTC	79	5	5
CLU	40	5	139
CNN1	99	19	33
CNOT7	20	5	5
CNOT8	20	5	10
CNP	20	15	5
CNTFR	20	1641	5
COL18A1	79	68	62
COL1A1	20	5	14
COL2A1	119	19	14
COL4A1	20	10	5
COL4A2	20	63	48
COL6A1	40	78	29
COL6A2	59	10	10
COL6A3	59	5	48
COPE	20	15	5
COPS5	20	93	53
CORT	20	10	5
COX17	40	5	81
CPSF4	59	5	5
CRABP2	317	317	124
CREB1	20	5	5
CREBBP	20	5	19
CREM	20	15	5
CRIP2	20	10	5
CRK	238	44	86
CSDA	40	10	43
CSE1L	119	112	5
CSF1R	20	10	5
CSNK1D	40	19	5
CSNK1E	20	5	5
CSNK2A1	20	5	10
CSNK2A2	20	29	38
CSNK2B	79	185	5
CSPG2	20	5	5
CST3	218	5	53
CTBP1	40	15	10
CTBP2	20	10	24
CTDSPL	40	5	5
CTGF	59	88	48
CTNNA1	40	19	5
CTNNB1	99	156	57
CTNNBIP1	20	10	14
CTSB	59	5	10
CTSC	20	297	10
CTSD	594	355	201
CTSL	20	63	48
CTSL2	20	141	119
CUL1	59	112	5
CUL3	20	5	10
CUL4A	20	34	5
CUL5	20	10	14
CUL7	40	29	10
CUTL1	20	5	5
CXCL12	20	15	5
CYP20A1	40	10	5
CYR61	20	97	14
DAP	20	5	5
DAP3	99	5	5
DAXX	59	10	38
DBN1	20	5	24
DCBLD2	158	5	14
DCHS1	20	5	10
DCTN2	59	127	5
DDB1	119	5	5
DDR1	59	15	5
DDX11	40	5	14
DDX21	59	10	5
DDX3X	178	5	10
DDX5	20	5	5
DDX56	59	5	5
DERL2	20	93	57
DGKZ	40	29	29
DHCR7	40	54	5
DHFR	20	15	5
DHPS	40	44	53
DIABLO	20	19	10
DICER1	40	5	5
DIRAS1	20	15	5
DKC1	20	5	72
DKK3	119	5	33
DLG1	20	5	5
DLG5	59	49	29
DLG7	20	5	14
DLL1	40	15	19
DMTF1	20	15	29
DNAJA1	317	161	124
DNAJA2	40	5	5
DNAJA3	59	5	5
DNAJB1	178	5	57
DNAJB2	99	19	5
DNAJB6	20	127	105
DNM2	178	5	5
DOK1	20	5	14
DPH1	20	29	24
DSCR1	20	15	5
DSP	59	10	5
DTYMK	40	107	119
DUSP1	79	10	5
DUSP22	20	10	5
DUSP6	59	10	10
DVL1	158	88	72
DYNC1H1	20	1641	478
DYRK1B	59	19	5
E2F1	40	10	5
E2F3	40	5	5
E2F4	20	5	19
E2F7	20	10	5
EBNA1BP2	20	127	105
EDF1	40	15	10
EDG4	20	39	33
EDNRB	59	5	14
EEF1D	238	93	53
EEF1E1	59	5	10
EEF2K	40	5	14
EFEMP2	79	15	5
EFNB1	40	10	5
EFNB3	20	15	5
EGLN3	20	5	10
EGR1	20	29	72
EI24	79	141	72
EIF1AY	20	5	10
EIF2AK1	40	68	86
EIF2C2	20	15	10
EIF3S2	59	15	10
EIF4A1	337	716	10
EIF4B	20	15	5
EIF4E	20	58	62
EIF4EBP1	79	93	110
EIF4G2	139	5	5
EIF5A	99	5	10
ELAVL1	99	5	5
ELK1	20	5	38
ELL	40	5	5
EMP3	40	5	19
ENO1	20	10	10
EP300	20	5	19
EPB41L3	40	10	19
EPHA2	20	5	5
EPHB2	20	5	10
EPHB3	20	10	14
EPHB4	20	24	10
EPS15	20	5	5
ERBB2	79	5	5
ERBB3	99	5	10
ERCC3	79	5	5
ERF	139	83	5
ESPL1	20	15	5
ESRRA	40	44	24
ETFB	40	19	33
ETS1	337	5	14
ETS2	20	5	19
ETV6	20	5	5
EWSR1	139	5	72
EXTL3	40	29	33
EZH2	119	63	48
F11R	257	5	158
F2R	79	5	10
FADD	79	19	53
FADS1	257	5	24
FADS2	317	15	5
FANCA	20	15	5
FANCL	20	10	5
FASN	59	5	33
FBLN1	59	10	5
FBN2	119	5	10
FBXW11	20	29	5
FDXR	20	39	62
FGFR1	20	146	5
FGFR1OP	20	5	5
FGFR2	20	5	5
FGFR3	20	5	67
FGFRL1	40	5	5
FHIT	20	5	19
FKBP1A	20	5	14
FKBP1B	40	107	100
FKBP4	40	15	10
FLOT1	79	5	10
FN1	20	5	5
FOS	59	15	5
FOXA2	79	39	10
FOXM1	20	5	5
FOXO1A	20	19	5
FOXO3A	20	10	5
FRS2	20	5	5
FSCN1	40	34	14
FTH1	20	15	5
FTL	40	44	5
FURIN	40	58	43
FXN	40	5	10
FYN	20	5	5
FZD3	20	19	14
G6PD	20	54	10
GABARAP	20	10	220
GADD45GIP1	99	5	5
GAK	20	19	5
GAP43	40	5	5
GAS1	59	34	14
GAS6	40	19	24
GBF1	139	34	24
GCNT1	20	5	19
GDF11	20	19	10
GDF15	20	15	14
GFM1	59	5	19
GFRA1	20	10	5
GGA1	20	5	5
GGA2	40	5	10
GIPC1	20	29	24
GJA1	40	5	153
GLI2	20	5	14
GLI3	99	5	5
GLMN	20	5	5
GMEB1	20	5	10
GNA11	79	5	24
