Gene symbol	Gene title
—	EST
ERO1L	ERO1-like (Saccharomyces cerevisiae)
PGRMC1	Progesterone receptor membrane component 1
HN1	Hematologic and neurologic expressed 1
HN1	Hematologic and neurologic expressed 1
CDC34	Cell division cycle 34
C14orf151	Chromosome 14 open reading frame 151
—	EST
ZNF135	Zinc finger protein 135 (clone pHZ-17)
RHOBTB3	Rho-related BTB domain containing 3
TRGV9	T-cell receptor gamma variable 9
FCRH3	Fc receptor-like protein 3
CST7	Cystatin F (leukocystatin)
TOP1	Topoisomerase (DNA) I
—	EST
TRA?	T cell receptor ? locus
—	Olfactory receptor, family 7, subfamily A, member 126 pseudogene
CAMTA1	Calmodulin-binding transcription activator 1
