Score	“Hub” genes	Functions
24	Myc	Cellular transformation and proliferation
24	Bcl2, Ran	Apoptosis, RNA splicing, nucleocytoplasmic transport
24	Ccnd1, Bcl1, Cul1	Stem cell factor ubiquitin ligase complex
24	Fn1	Cell adhesion
24	Egfr, small nuclear riboproteins	DNA synthesis, cell proliferation
24	Mapk7, Mapk14, Titf1	Cytokine production, transcription termination
24	Rb1	Tumor suppression, epigenetic transcriptional regulation, cell cycle control
24	H-Ras	Cellular transformation
24	Vim, Agt	Cell morphology and integrity
24	Il10, Chuk	Cytokine synthesis, modulation of NF-ÊÂ complex
24	Erbb2	Growth factor receptor production
24	NF-?? ia, Tnfaip3, Ikbkg, Traf2	Cell adhesion, immune and proinflammatory responses, apoptosis, differentiation and growth
24	Crebbp, Ncoa2, Ncoa3	Nuclear receptor coactivation
24	Cepb, Eif, Pabpc1	Regulation of immune/inflammatory responses, mRNA metabolism
24	Cdkn1b, Cops, Eif, Psmd1	Cell cycle arrest, regulation of transcription and ubiquitin ligase, proteasome
24	Bcl2l1, Cycs, Casp8/Casp9, Bax	Apoptosis
24	Egr1, Nr5a1, Fbl, Exosc	Proliferation, pre-RNA processing (exosome complex)
24	App, Nfatc1	T-cell activation, apoptosis, inhibition of notch signaling
24	Grb2, Rala, Sumo2, Ncl	Epidermal growth factor/platelet-derived growth factor signaling and Ras signaling, posttranslational modification, chromatin decondensation
24	Creb1, Sumo1, Hdac	Histone deacetylation, transcription regulation
24	Prkar1a, Cox, Gabpa, Icam1	Tumor suppression, mitochondrial structure, integrin binding
24	Tgfbr2, Smad1, Smad2, Smad3, Smad4, Mmp13	Tumor growth factor signaling, collagen degradation
24	Cdkn2a	Tumor suppression, G1-G2 cell cycle arrest
24	Igf2, Mcm2, Pcaf, Myst2/Myst4	Cell growth, DNA replication, histone acetylation
24	Il15, Polr	Stimulation of T-cell proliferation, transcription
24	Epo, Jak1	Cytokine receptor signal transduction
24	Tpb, Smarc	Transcription initiation, chromatin structure regulation
24	Itgam, Clec11a	Integrin adhesion, stimulation and proliferation of hematopoietic precursors
24	Myb, Sod1, Cdk4	Hematopoietic precursor proliferation, free radical destruction, G1-S cell cycle progression
24	Shh, Cd44, Fgf10	Proliferation signaling, cell differentiation
24	Irf1, Ifnb1, Isg15, Tnfrsf1b	IFN regulation and ubiquitination, apoptosis
24	Tra@, Cd247, Gata3, Parp1	T-cell receptor signaling, excision repair pathway
24	Rhoa, Gnaq, Plcb1, Gnb1	G protein signaling, focal adhesion point and actin fiber formation
24	Mdm2, Pax3	p53, Rb, E2F1 regulation, apoptosis
20	Ywhaz	Apoptosis, T-cell receptor signaling, histone modification
