Gene symbol	Gene name	GeneBank ID	P-value	Function
CDK2	Cyclin-dependent kinase 2	M68520	0.001542	Cell cycle control
ID1	Inhibitor of DNA binding 1	X77956	0.006313	Cell cycle control
CREB2	cAMP responsive element binding 2	AF039081	0.008076	Cell cycle control
RAF 1	v-raf-1 murine leukemia viral oncogene	X06409	0.007728	Cell cycle control
DMTF1	Cyclind-binding myb-like transcription factor 1	AF052102	0.002852	Cell cycle control
E2F3	E2F transcription factor 3	D38550	0.009677	Cell cycle control
E2F5	E2F transcription factor 5, p130	U31556	0.002985	Cell cycle control
MAPK9	Mitogen-activated protein kinase 9	U09759	0.001344	Signal transduction
MKNK1	MAP kinase-interacting serine/threonine kinase 1	AB000409	0.001259	Signal transduction
AXL	AXL receptor protein tyrosine kinase	M76125	0.003556	Signal transduction
PDAP1	PDGFA-assiciated protein 1	U41745	0.001839	Signal transduction
PTK7	PTK7 protein tyrosine kinase 7	U33635		Signal transduction
ZNF175	Zinc-finger protein 175	D50419	0.006313	Transcription factors
EP300	E1A-binding protein p300	U01877	0.002852	Transcription factors
ZFP36L2	Zinc-finger protein 36L2	U07802	0.008936	Transcription factors
TAF6	TAF6 RNA polymerase II, TATA box binding protein	L25444	0.001205	Transcription factors
TCFL4	Transcription factor-like 4	AW00599	0.002399	Transcription factors
EIF4A2	Eucaryotic translation initiation factor 4A	D30655	0.005664	Transcription factors
RAB2	RAB2, member of RAS oncogene family	M28213	0.006313	Members of RAS oncogene family
RAB1A	RAB1A, member of RAS oncogene	M28209	0.009319	Members of RAS oncogene family
RHEB2	RAS homolog , enriched in brain 2	D78132	0.009826	Members of RAS oncogene family
CDH11	Cadherin11, type 2, OB-cadherin	D21255	0.007121	Cell adhesion
ITGAE	IntegrinE (antigen CD103)	L25851	0.002714	Cell adhesion
ITGB2	Integrin2 (antigen CD18)	M15395	0.006331	Cell adhesion
MTA1	Metastasis-associated 1	U35113	0.009341	Invasion and metastasis
HBXIP	Hepatitis B virus X interacting protein	AF029890	0.002852	Invasion and metastasis
