ProbeSet ID	Gene Name	Fold Change	q (%)
205051_s_at	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	4.2	0
207480_s_at	Meis1, myeloid ecotropic viral integration site 1 homolog 2 (mouse)	3.3	0
226977_at	similar to bovine IgA regulatory protein	3.7	4.5
230000_at	chromosome 17 open reading frame 27	3.1	4.5
212327_at	hypothetical protein	3.5	11.6
200795_at	SPARC-like 1 (mast9, hevin)	3.4	11.6
204115_at	guanine nucleotide binding protein (G protein), gamma 11	3.4	11.6
227354_at	phosphoprotein associated with glycosphingolipid microdomains 1	3.3	11.6
209348_s_at	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	3.3	11.6
210346_s_at	CDC-like kinase 4	3.2	11.6
227131_at	mitogen-activated protein kinase kinase kinase 3	3	11.6
206595_at	cystatin E/M	5.2	11.7
223204_at	chromosome 4 open reading frame 18	4.4	11.7
238067_at	TBC1 domain family, member 8B (with GRAM domain)	4.2	11.7
220940_at	KIAA1641	4.2	11.7
213905_x_at	biglycan /// teashirt family zinc finger 1	4.1	11.7
211458_s_at	GABA(A) receptor.associated protein like 1 /// GABA(A) receptors associated protein like 3	4	11.7
1559060_a_at	KIAA1961 gene	4	11.7
228256_s_at	erythrocyte membrane protein band 4.1 like 4A	4	11.7
204777_s_at	mal, T-cell differentiation protein	4	11.7
1559360_at	Ephrin-A5	3.9	11.7
208791_at	clusterin	3.8	11.7
208792_s_at	clusterin	3.8	11.7
201261_x_at	biglycan	3.8	11.7
233952_s_at	zinc finger protein 295	3.7	11.7
241893_at	Mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N acetyl-glucosaminyltransferase	3.6	11.7
214705_at	InaD-like (Drosophila)	3.6	11.7
225990_at	Boc homolog (mouse)	3.6	11.7
202733_at	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide II	3.6	11.7
229285_at	ribonuclease L (2Åå,5Åå-oligoisoadenylate synthetase.dependent)	3.5	11.7
214246_x_at	misshapen-like kinase 1 (zebrafish)	3.4	11.7
224831_at	cytoplasmic polyadenylation element binding protein 4	3.3	11.7
223681_s_at	InaD-like (Drosophila)	3.3	11.7
225688_s_at	pleckstrin homology-like domain, family B, member 2	3.2	11.7
222154_s_at	DNA polymerase-transactivated protein 6	3.1	11.7
202430_s_at	phospholipid scramblase 1	3.1	11.7
202007_at	nidogen 1	3.1	11.7
218656_s_at	lipoma HMGIC fusion partner	3.1	11.7
218353_at	regulator of G-protein signaling 5	3	11.7
229795_at	Transcribed locus	3	11.7
201865_x_at	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	3	11.7
236313_at	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	3	11.7
225275_at	EGF-like repeats and discoidin I.like domains 3	7	14.3
37170_at	BMP2 inducible kinase	5.8	14.3
229831_at	contactin 3 (plasmacytoma-associated)	4.8	14.3
230869_at	Transcribed locus, moderately similar to NP_775622.1 transmembrane protein 28 [Mus musculus]	4.6	14.3
211675_s_at	MyoD family inhibitor domain containing /// MyoD family inhibitor domain containing	4.4	14.3
201438_at	collagen, type VI, alpha 3	4.3	14.3
212764_at		4.2	14.3
230865_at	Lix1 homolog (mouse)	4	14.3
228067_at	similar to 2010300C02Rik protein	3.9	14.3
223343_at	membrane-spanning 4-domains, subfamily A, member 7	3.8	14.3
224724_at	sulfatase 2	3.8	14.3
206167_s_at	Rho GTPase activating protein 6	3.8	14.3
212328_at	hypothetical protein	3.8	14.3
237001_at	NIK and IKK{beta} binding protein	3.7	14.3
221538_s_at	plexin A1	3.5	14.3
212240_s_at	phosphoinositide-3-kinase, regulatory subunit 1 (p85 alpha)	3.5	14.3
230069_at	sideroflexin 1	3.5	14.3
212980_at	ubiquitin-specific peptidase 34	3.5	14.3
204872_at	transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)	3.5	14.3
212586_at	calpastatin	3.4	14.3
236241_at	Mediator of RNA polymerase II transcription, subunit 31 homolog (Saccharomyces cerevisiae)	3.4	14.3
227955_s_at	CDNA: FLJ22256 fis, clone HRC02860	3.3	14.3
201185_at	HtrA serine peptidase 1	3.3	14.3
206101_at	extracellular matrix protein 2, female organ and adipocyte-specific	3.3	14.3
231853_at	tubulin, delta 1	3.2	14.3
223843_at	scavenger receptor class A, member 3	3.2	14.3
219489_s_at	nucleoredoxin	3.1	14.3
212757_s_at	calcium/calmodulinñdependent protein kinase (CaM kinase) II gamma	3.1	14.3
202878_s_at	CD93 molecule	3.1	14.3
235085_at	homolog of rat pragma of Rnd2	3.1	14.3
224565_at	trophoblast-derived noncoding RNA	3.1	14.3
202086_at	myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)	3.1	14.3
219777_at	GTPase, IMAP family member 6	3	14.3
224837_at	forkhead box P1	3	14.3
224694_at	anthrax toxin receptor 1	3	14.3
