Ratio.3 vs 0	Map	Gene	Description
?5.71	3q12.1	ESDN	Endothelial and smooth muscle cell-derived neuropilin-like protein
?5.55	3q21	MYLK	“Myosin, light polypeptide kinase”
?4.43	3p22-p21.3	CCK	Cholecystokinin
?4.21	3q25.1-q26.1	SMARCA3	“SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin, subfamily a, member 3”
?4.18	3q13	PVRL3	Poliovirus receptor-related 3
?3.38	3p26	BHLHB2	“Basic helix-loop-helix domain containing, class B, 2”
?3.23	3p21-p14	PTPRG	“Protein tyrosine phosphatase, receptor type, G”
?3.17	3p21	SCN5A	“Sodium channel, voltage-gated, type V, ? polypeptide [long (electrocardiographic) QT syndrome 3]”
?3.10	3q23	RBP1	“Retinol binding protein 1, cellular”
?2.65	3q26.2-q26.3	CLDN11	Claudin 11 (oligodendrocyte transmembrane protein)
?2.50	3q26.2	SERPINI1	“Serine (or cysteine) proteinase inhibitor, clade I (neuroserpin), member 1”
?2.44	3p14.3-p14.2	ADAMTS9	“A disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 9”
?2.38	3q21-q23	MRPL3	Mitochondrial ribosomal protein L3
?2.33	3q26	SKIL	SKI-like
?2.18	3q27-q28	SIAT1	“Sialyltransferase 1 (?-galactoside ?-2,6-sialyltransferase)”
?2.17	3q23-q24	CLSTN2	Calsyntenin 2
?2.00	3q21.2	KIAA1237	KIAA1237 protein
