Genbank accession no.	Gene	Annotation	p53Val135/wt/Hraswt/wtvs p53wt/wt/Hraswt/wt(fold)	Function
AW049387	Arl2	ADP ribosylation-like 2	?2.4	Signaling pathways
X80992	Bmp6	Bone morphogenetic protein 6	?2.4	Signaling pathways
Y13439	Mapk12	MAPK 12	?2.2	Signaling pathways
M94632	Prkcz	Protein kinase C, ?	4.8	Signaling pathways
U92068	Rad51l1	RAD51-like 1 (Saccharomyces cerevisiae)	?2.4	Signaling pathways
AF009246	Rasd1	RAS, dexamethasone-induced 1	?5.9	Signaling pathways
AF084466	Rrad	Ras-related associated with diabetes	2.6	Signaling pathways
U61969	Wnt10a	Wingless-related mouse mammary tumor virus integration site 10a	2.4	Signaling pathways
M89797	Wnt4	Wingless-related mouse mammary tumor virus integration site 4	3	Signaling pathways
Y13569	Pik3r2	Phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 2 (p85?)	?2.0	Signaling pathways
AV073804	Barx1	BarH-like homeobox 1	?3.7	Transcription
X56690	Cbx1	Chromobox homologue 1 (Drosophila HP1?)	?3.2	Transcription
AW046220	Cbx2	Chromobox homologue 2 (Drosophila Pc class)	?2.9	Transcription
AI882555	Ets1	E26 avian leukemia oncogene 1	2.3	Transcription
X76858	E4f1	E4F transcription factor 1	?3.0	Transcription
AF049702	Elf5	E74-like factor 5	?4.5	Transcription
U44752	Foxa1	Forkhead box A1	?3.5	Transcription
AI845183	Ing4	Inhibitor of growth family, member 4	?2.2	Transcription
AJ010902	Invs	Inversin	?2.2	Transcription
X57687	Lyl1	Lymphoblastomic leukemia	?2.7	Transcription
X83106	Mad	Max dimerization protein	3.4	Transcription
L04649	Maz	MYC-associated zinc finger protein	?3.0	Transcription
L00039	Myc	Myelocytomatosis oncogene	2.3	Transcription
U60593	Ndr1	N-myc downstream regulated 1	2.1	Transcription
U52073	Ndrl	N-myc downstream regulated-like	2.3	Transcription
U64828	Ncoa1	Nuclear receptor coactivator 1	?2.2	Transcription
U39060	Ncoa2	Nuclear receptor coactivator 2	?2.8	Transcription
AF022992	Per1	Period homologue 1 (Drosophila)	?2.7	Transcription
AF036893	Per2	Period homologue 2 (Drosophila)	?2.3	Transcription
U76371	Smyd1	SET and MYND domain containing 1	?3.8	Transcription
AJ010604	Sox5	SRY box–containing gene 5	?2.1	Transcription
AV246999	Sox6	SRY box–containing gene 6	?3.9	Transcription
U65091	Cited1	CBP/p300-interacting transactivator with Glu/Asp-rich COOH-terminal domain 1	2.6	Transcription
AB021961	Trp53	Transformation-related protein 53	6.4	Apoptosis and cell cycle
AF002823	Bub1	Budding uninhibited by benzimidazole 1 homologue	2.6	Apoptosis and cell cycle
AA681998	Cks2	CDC28 protein kinase regulatory subunit 2	3.2	Apoptosis and cell cycle
M64403	Ccnd1	cyclin D1	2.1	Apoptosis and cell cycle
AB009376	Dffa	DNA fragmentation factor, ? subunit	?2.0	Apoptosis and cell cycle
AJ222580	Gtse1	G-S-phase expressed protein 1	2.2	Apoptosis and cell cycle
AA681520	Gmnn	Geminin	2	Apoptosis and cell cycle
X76066	Igfbp4	Insulin-like growth factor–binding protein 4	3.7	Apoptosis and cell cycle
U20735	Junb	JunB oncogene	2.4	Apoptosis and cell cycle
U83902	Mad2l1	MAD2 (mitotic arrest deficient, homologue)–like 1	2.1	Apoptosis and cell cycle
NM_020275	Tnfrsf10b	Tumor necrosis factor receptor superfamily, member 10b	?3.4	Apoptosis and cell cycle
X66323	Xrcc5	X-ray repair complementing defective repair in Chinese hamster cells 5	2.2	Apoptosis and cell cycle
AF041377	Cideb	Cell death–inducing DNA fragmentation factor, ? subunit-like effector B	2.3	Apoptosis and cell cycle
M85151	Htr1b	5-Hydroxytryptamine (serotonin) receptor 1B	2.3	G-protein
U05673	Adora2b	Adenosine A2b receptor	2	G-protein
AB028499	Celsr2	Cadherin, epidermal growth factor LAG seven-pass G-type receptor 2	?4.4	G-protein
U43320	Fzd7	Frizzled homologue 7 (Drosophila)	?2.1	G-protein
AF110818	Gpr49	G-protein-coupled receptor 49	?4.6	G-protein
