FeatureID	Gene	Description	Average logratio	Functional Category	Expression
534886	Ly6a	Lymphocyte antigen 6 complex, locus A	8.70	Receptors/surface molecules	Up-regulatedgenes
582679	Ly6e	Lymphocyte antigen 6 complex, locus E	7.05	Receptors/surface molecules	Up-regulatedgenes
775893	Cd81	CD81 antigen	5.05	Receptors/surface molecules	Up-regulatedgenes
1477073	Msr2	Macrophage scavenger receptor 2	5.50	Receptors/surface molecules	Up-regulatedgenes
1367026	Sema4d	Sema domain, (semaphorin) 4D	3.85	Receptors/surface molecules	Up-regulatedgenes
597157	C1qa	Complement component 1, q subcomponent, alpha polypeptide	4.69	Receptors/surface molecules	Up-regulatedgenes
426010	C1qg	Complement component 1, q subcomponent, gamma polypeptide	2.95	Receptors/surface molecules	Up-regulatedgenes
524391	Axl	AXL receptor tyrosine kinase	3.60	Receptors/surface molecules	Up-regulatedgenes
1382670	H2-DMa	Histocompatibility 2, class II, locus DMa	2.95	Receptors/surface molecules	Up-regulatedgenes
1092081	H2-Eb1	Histocompatibility 2, class II, antigen E beta 1	2.70	Receptors/surface molecules	Up-regulatedgenes
406272	Crabp1	Cellular retinoic acid binding protein I	3.10	Receptors/surface molecules	Up-regulatedgenes
576062	Fegr1	Fe receptor, IgG, high affinity I	4.30	Receptors/surface molecules	Up-regulatedgenes
1446589	Cxcl10	Chemokine (C-X-C motif) ligand 10	4.10	Chemokines	Up-regulatedgenes
832342	Ccl5	Chemokine (C-C motif) ligand 5	2.75	Chemokines	Up-regulatedgenes
573898	Ccl2	Chemokine (C-C motif) ligand 2	2.51	Chemokines	Up-regulatedgenes
1430219	Irf7	Interferon regulatory factor 7	5.40	Transcriptional factors	Up-regulatedgenes
521100	Idb3	Inhibitor of DNA binding 3	3.10	Transcriptional factors	Up-regulatedgenes
1446422	Tbx6	T-box 6	2.90	Transcriptional factors	Up-regulatedgenes
1222882	Hdac6	Histone deacetylase 6	3.20	Transcriptional factors	Up-regulatedgenes
934509	Hist2h2aa1	Histone 2, H2aa1	3.10	Transcriptional factors	Up-regulatedgenes
734101	Tgfbi	Transforming growth factor, beta induced	4.70	Growth factors/miscellaneous	Up-regulatedgenes
