Gene	GenBank ID	JD beta-beta-HE	JD beta-beta-Pax3	JD beta-beta-MyoD	Function
Forkhead box O3a	NM_019740	2.2			Selected differential genes in JDbeta-betaHE
Hypermethylated in cancer 1	NM_010430	1.95	2.43		Selected differential genes in JDbeta-betaHE
Cytidine deaminase	BC022649	1.95			Selected differential genes in JDbeta-betaHE
Heat shock 70-kDa protein 1A	NM_010479	1.87	1.69		Selected differential genes in JDbeta-betaHE
Numb	NM_010949	1.77	2.92		Selected differential genes in JDbeta-betaHE
Homeodomain-interacting protein kinase 3	NM_010434	1.75			Selected differential genes in JDbeta-betaHE
B-cell translocation gene 2	NM_007570	1.61	1.7		Selected differential genes in JDbeta-betaHE
Heat shock protein 2	NM_024441	1.57	1.62		Selected differential genes in JDbeta-betaHE
Huntingtin interacting protein 1	AK011828	1.52			Selected differential genes in JDbeta-betaHE
Deiodinase 3	NM_172119	1.5			Selected differential genes in JDbeta-betaHE
Tribbles homolog 3	NM_175093	-1.67			Selected differential genes in JDbeta-betaHE
Pax3	NM_008781		36.96		Skeletal and muscular development and function
Calpain1	NM_007600		1.97		Skeletal and muscular development and function
Amyloid beta (A4) precursor protein (APP)	M18373		1.94		Skeletal and muscular development and function
Homeobox, msh-like 1 (Msx1)	NM_010835		1.87		Skeletal and muscular development and function
Retinoid X receptor alpha (Rxra)	NM_011305		1.54		Skeletal and muscular development and function
Dynamin 2	NM_007871		1.53		Skeletal and muscular development and function
Placental growth factor	NM_008827		1.52		Skeletal and muscular development and function
Desmin	NM_010043		1.68	1.65	Skeletal and muscular development and function
Interferon activated gene 202B (IFI16)	NM_172648			8.03	Skeletal and muscular development and function
Dyrk1B	NM_010092			2.07	Skeletal and muscular development and function
HoxD10	NM_013554			3.39	Skeletal and muscular development and function
Fibroblast growth factor receptor 1	NM_010206			2.72	Skeletal and muscular development and function
Noggin	NM_008711			2.21	Skeletal and muscular development and function
Gata4	NM_008092			3.64	Skeletal and muscular development and function
Gata6	NM_010258			2.06	Skeletal and muscular development and function
Oxytocin (Oxt)	NM_011025			1.94	Skeletal and muscular development and function
Nerve growth factor receptor (NGFR)	NM_033217			1.62	Skeletal and muscular development and function
Syndecan 3 (Sdc3)	NM_011520			1.51	Skeletal and muscular development and function
CRKL (Crkol)	NM_007764		2.16		Development of embryonic tissue
Mesp2	NM_008589		1.82		Development of embryonic tissue
Activity-regulated cytoskeletal-associated protein (ARC)	NM_018790		1.53		Development of embryonic tissue
Procollagen, type II,  alpha 1 (Col2a1)	NM_031163		1.5	1.51	Development of embryonic tissue
Forkhead box H1	NM_007989			1.8	Development of embryonic tissue
Tbx2	NM_009324			1.79	Development of embryonic tissue
Pax2	NM_011037			1.74	Development of embryonic tissue
HMG box transcription factor TCF7L2 (Tcf4)	NM_009333			-2.28	Development of embryonic tissue
Vascular endothelial growth factor A (VEGFA)	NM_009505		1.5	-1.63	VEGF
VEGFR1 (Flt1)	NM_010228		-1.71	-1.77	VEGF
Rho-associated coiled-coil forming kinase 1 (Rock1)	NM_009071		-2.93		VEGF
