Symbol	Gene name	Function	Human	Expression
Apc	Adenomatosis polyposis coli	Wnt signaling	MM	Up-regulated in Bcl-xl/Myc tumors
Arl4	ADP-ribosylation factor-like 4	Small GTPase-mediated signaling	MM , †,‡	Up-regulated in Bcl-xl/Myc tumors
Bcl11a	B-cell CLL/lymphoma 11A (zinc finger protein)	Transcription, B-cell differentiation	CD2 §	Up-regulated in Bcl-xl/Myc tumors
Ccnd1	Cyclin D1	Cell cycle regulation	MM,  CD1 §	Up-regulated in Bcl-xl/Myc tumors
Ccnd3	Cyclin D3	Cell cycle regulation	CD2 §	Up-regulated in Bcl-xl/Myc tumors
Dtx1	Deltex 1 homologue	Notch signaling	CD2 §	Up-regulated in Bcl-xl/Myc tumors
Fus	Fusion, derived from t(12;16) liposarcoma	RNA processing, transcriptional activator	MM	Up-regulated in Bcl-xl/Myc tumors
Gart	Phosphoribosylglycinamide formyltransferase	Purine nucleotide biosynthesis	MM ‡	Up-regulated in Bcl-xl/Myc tumors
Gsto1	Glutathione S-transferase ?1	Glutathione metabolism	CD2 §	Up-regulated in Bcl-xl/Myc tumors
Myc	Myelocytomatosis oncogene	Transcription, cell proliferation, apoptosis	MM, , ‡CD2 §	Up-regulated in Bcl-xl/Myc tumors
Nasp	Nuclear autoantigenic sperm protein	DNA packaging, histone binding	MM, †CD1 §	Up-regulated in Bcl-xl/Myc tumors
Pkig	Protein kinase inhibitor, ?	Regulation of protein kinase activity	CD2 §	Up-regulated in Bcl-xl/Myc tumors
Shmt1	Serine hydroxymethyl transferase 1	One-carbon compound metabolism	MF §	Up-regulated in Bcl-xl/Myc tumors
Siva	Cd27-binding protein	Induction of apoptosis	CD1 §	Up-regulated in Bcl-xl/Myc tumors
Slc29a1	Solute carrier family 29, member 1	Nucleoside transport	MM	Up-regulated in Bcl-xl/Myc tumors
Stc2	Stanniocalcin 2	Signal transduction, response to nutrients	CD1 §	Up-regulated in Bcl-xl/Myc tumors
Stom	Stomatin	Cytoskeleton	CD1 §	Up-regulated in Bcl-xl/Myc tumors
Tyms	Thymidylate synthase	Nucleotide biosynthesis	MM, , †PR §	Up-regulated in Bcl-xl/Myc tumors
Uchl1	Ubiquitin COOH-terminal hydrolase L1	Ubiquitin cycle	MM	Up-regulated in Bcl-xl/Myc tumors
Vpreb3	Pre-B lymphocyte gene 3	Immune response, B-cell signaling	CD2 §	Up-regulated in Bcl-xl/Myc tumors
