Probe ID	P-value	FC	Symbol	Gene	Gene Expression
204719_at	9.67E?05	6.3989	ABCA8	ATP-binding cassette, sub-family A (ABC1), member 8	increase
205907_s_at	1.84E?04	6.0441	OMD	Osteomodulin	increase
221841_s_at	1.12E?04	5.6157	KLF4	Kruppel-like factor 4 (gut)	increase
211896_s_at	6.57E?05	5.3074	DCN	Decorin	increase
202409_at	2.05E?04	5.3061	C11ORF43	Chromosome 11 open reading frame 43	increase
209335_at	2.45E?04	5.1019	DCN	Decorin	increase
209292_at	1.28E?04	5.0969	ID4	Inhibitor of DNA binding 4	increase
206101_at	1.83E?04	5.07	ECM2	Extracellular matrix protein 2	increase
206373_at	8.05E?05	4.5235	ZIC1	ZIC family member 1	increase
211742_s_at	8.28E?05	4.4841	EVI2B	Ecotropic viral integration site 2B	increase
206100_at	3.58E?05	4.3504	CPM	Carboxypeptidase M	increase
204457_s_at	9.77E?04	4.2875	GAS1	Growth arrest-specific 1	increase
211813_x_at	5.88E?05	4.2649	DCN	Decorin	increase
201893_x_at	3.97E?05	4.2531	DCN	Decorin	increase
213975_s_at	9.53E?04	4.2301	LILRB1 / LYZ	Leukocyte immunoglobulin-like receptor, subfamily B; lysozyme (renal amyloidosis)	increase
205608_s_at	2.48E?07	4.2236	ANGPT1	Angiopoietin 1	increase
218418_s_at	1.60E?06	4.2142	ANKRD25	Ankyrin repeat domain 25	increase
202403_s_at	4.28E?04	4.2031	COL1A2	Collagen, type I, alpha 2	increase
208451_s_at	1.34E?04	4.1915	C4B / C4A	Complement component 4A	increase
203042_at	2.14E?05	4.1637	LAMP2	Lysosomal-associated membrane protein 2	increase
221805_at	3.57E?04	0.0837	NEFL	Neurofilament, light polypeptide 68 kDa	decrease
205825_at	3.40E?04	0.0838	PCSK1	Proprotein convertase subtilisin/kexin type 1	decrease
206935_at	2.05E?05	0.086	PCDH8	Protocadherin 8	decrease
214432_at	2.21E?04	0.1106	ATP1A3	ATPase, NA+/K+ transporting, ?3 polypeptide	decrease
204337_at	4.79E?05	0.1146	RGS4	Regulator of G-protein signaling 4	decrease
203998_s_at	8.59E?04	0.1191	SYT1	Synaptotagmin I	decrease
203000_at	1.18E?04	0.128	STMN2	Stathmin-like 2	decrease
201939_at	2.83E?05	0.133	PLK2	Polo-like kinase 2 (Drosophila)	decrease
206115_at	2.22E?06	0.1342	EGR3	Early growth response 3	decrease
204339_s_at	1.24E?04	0.1399	RGS4	Regulator of G-protein signaling 4	decrease
206552_s_at	4.88E?04	0.1414	TAC1	Tachykinin, precursor 1 (substance K)	decrease
203999_at	4.34E?05	0.142	SYT1	Synaptotagmin I	decrease
220359_s_at	6.21E?05	0.1433	ARPP-21	Cyclic AMP-regulated phosphoprotein, 21 kDa	decrease
206678_at	1.63E?04	0.1443	GABRA1	GABA A receptor, alpha 1	decrease
214230_at	4.53E?05	0.1454	CDC42	Cell division cycle 42 (GTP binding protein, 25 kDa)	decrease
203001_s_at	3.02E?04	0.1476	STMN2	Stathmin-like 2	decrease
201340_s_at	3.92E?04	0.1477	ENC1	Ectodermal-neural cortex	decrease
204035_at	1.68E?04	0.149	SCG2	Secretogranin II (chromogranin C)	decrease
221916_at	1.94E?04	0.1507	NEFL	Neurofilament, light polypeptide 68 kDa	decrease
204722_at	7.20E?05	0.154	SCN3B	Sodium channel, voltage-gated, type III, beta	decrease
