Gene Symbol	72 h p.i (Fold change)	t-test	Gene family
BCL2L13	1.223	0.04933	BCL-2 family
BNIP1	1.551	0.004808	BCL-2 family
BNIP3	1.681	0.03569	BCL-2 family
BNIP3L	1.866	0.004683	BCL-2 family
MOAP1	1.355	5.14E-05	BCL-2 family
CASP1	4.943	0.03705	CASPASE family
CASP4	1.751	0.04116	CASPASE family
CASP7	1.203	0.04043	CASPASE family
CASP8	1.878	0.01167	CASPASE family
CASP8AP2	1.403	0.02365	CASPASE family
BIRC5	1.243	0.03685	IAP family
TANK	1.527	0.01126	TRAF family
BCL10	2.009	0.01016	CARD family
RIPK2	1.228	0.04234	CARD family
ANK2	1.243	0.0417	Death Domain family
CRADD	1.288	0.0336	Death Domain family
NFKB2	1.368	0.0403	Death Domain family
TRADD	1.457	0.0456	Death Domain family
CFLAR	1.408	0.00812	Death Effector Domain family
FADD	1.311	0.03905	Death Effector Domain family
DFFA	1.316	0.0498	CIDE Domain family
GADD45A	2.113	0.0426	p53 pathway
PERP	1.225	0.0431	p53 pathway
TNFRSF5	1.331	0.0022	TNF Receptor family:
TNFRSF6	1.457	0.0376	TNF Receptor family:
TNFRSF6B	1.389	0.0451	TNF Receptor family:
TNFRSF21	2.756	0.04893	TNF Receptor family:
TNFSF9	1.297	0.0238	TNF ligand family:
DATF1	2.204	0.047	Others
DPF2	1.386	0.02862	Others
PDCD4	1.421	0.03849	Others
PDCD6	1.257	0.01409	Others
