Probe Set ID	Survival Association	P value	Gene	Gene Symbol
203623_at	Unfavorable	3.0E-06	likely ortholog of mouse plexin 3	PLXNA3
221249_s_at	Favorable	7.1E-06	C/EBP-induced protein	LOC81558
201989_s_at	Favorable	1.9E-05	cAMP responsive element binding protein-like 2	CREBL2
212640_at	Unfavorable	2.7E-05	protein tyrosine phosphatase-like, member b	PTPLB
214906_x_at	Favorable	3.3E-05	hypothetical gene CG018	CG018
209612_s_at	Favorable	4.0E-05	alcohol dehydrogenase IB (class I), beta polypeptide	ADH1B
204641_at	Unfavorable	4.4E-05	NIMA (never in mitosis gene a)-related kinase 2	NEK2
205945_at	Favorable	4.4E-05	interleukin 6 receptor	IL6R
213107_at	Unfavorable	5.2E-05	Traf2 and NCK interacting kinase	TNIK
204620_s_at	Unfavorable	5.3E-05	chondroitin sulfate proteoglycan 2 (versican)	CSPG2
217820_s_at	Unfavorable	6.0E-05	enabled homolog (Drosophila)	ENAH
202154_x_at	Unfavorable	6.9E-05	tubulin, beta, 4	TUBB4
201226_at	Favorable	7.5E-05	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8	NDUFB8
216251_s_at	Unfavorable	7.5E-05	KIAA0153 protein	KIAA0153
203143_s_at	Favorable	7.7E-05	KIAA0040 gene product	KIAA0040
221731_x_at	Unfavorable	8.2E-05	chondroitin sulfate proteoglycan 2 (versican)	CSPG2
213264_at	Favorable	8.5E-05	mitogen-activated protein kinase kinase kinase 12	MAP3K12
217310_s_at	Unfavorable	9.2E-05	forkhead box J3	FOXJ3
208651_x_at	Unfavorable	9.3E-05	CD24 antigen	CD24
203281_s_at	Favorable	9.7E-05	ubiquitin-activating enzyme E1-like	UBE1L
202345_s_at	Favorable	9.8E-05	fatty acid binding protein 5 (psoriasis-associated)	FABP5
203325_s_at	Unfavorable	1.0E-04	collagen, type V, alpha 1	COL5A1
205899_at	Unfavorable	1.0E-04	cyclin A1	CCNA1
204187_at	Favorable	1.0E-04	guanosine monophosphate reductase	GMPR
214030_at	Favorable	1.1E-04	hypothetical protein DKFZp667G2110	DKFZp667G2110
