UniGene cluster	Gene symbol	Gene name	Alternate name	Function	Fold change
195663	Cdkn1a	Cyclin-dependent kinase inhibitor 1A	p21/Cip1	G1/S checkpoint	-3.7
16110	Ccne1	Cyclin E1		G1/S checkpoint	2.8
35584	Skp2	S-phase kinase-associated protein 2	p45	G1/S checkpoint	2.4
4594	Mybl2	Myeloblastosis oncogene-like 2	B-Myb	G1/S checkpoint	1.7
20912	Cdc6	Cell division cycle 6 homolog		Prereplicative complex	1.6
4502	Mcmd	Mini chromosome maintenance deficient		Prereplicative complex	1.5
2903	Prim1	DNA primase, p49 subunit		DNA synthesis	1.9
1923	Pola1	Polymerase (DNA directed), alpha 1		DNA synthesis	1.5
4352	Col18a1	Procollagen, type XVIII, alpha 1	Endostatin	Antiproliferative	-2.5
290207	Ets2	E26 avian leukemia oncogene 2, 3 domain		Antiproliferative	-2.4
272183	Btg1	B-cell translocation gene 1, antiproliferative		Antiproliferative	-2.1
1626	Tnfrsf6	Tumor necrosis factor receptor superfamily, member 6	Fas	Proapoptotic	-2.6
21109	Gsn	Gelsolin		Proapoptotic	-2.5
141083	Bcl2l11	BCL2-like 11 (apoptosis facilitator)	Bim	Proapoptotic	-2.2
2159	Bnip3	BCL2/adenovirus E1B 19 kDa-interacting protein 1, NIP3		Proapoptotic	-2
84073	Bag3	Bcl2-associated athanogene 3		Antiapoptotic	-2
10737	Cideb	Cell death-inducing DNA fragmentation factor, alpha subunit-like effector B		Proapoptotic	-1.6
24103	Dapk1	Death-associated protein kinase 1		Proapoptotic	-1.5
