Symbol	NxT	GxT	MxT	NxM	GxM
PRPF8	20.6a	12.4	7.74	NAb	NA
	16.6	11.7	NA	NA	NA
XBP1	14.3	8.93	14.6	NA	NA
POLR21	13.3	10.8	10.3	NA	NA
LCK	9.03	NA	NA	NA	NA
BAD	8.21	NA	NA	NA	NA
IGF1R	8.17	NA	NA	NA	NA
MUC6	7.8	9.67	8.91	NA	NA
IGL	7.46	9.97	12.7	NA	NA
TYMS	NA	9.44	NA	NA	7.07
NF1	NA	9.14	NA	NA	NA
	NA	NA	9.34	NA	NA
KRT20	NA	NA	18	?11.7	?7.41
DPH2L1	NA	NA	8.47	NA	NA
CASP7	NA	NA	10.7	NA	NA
TUBB	NA	NA	10.4	?8.44	NA
S100A14	NA	NA	7.41	NA	NA
KRT19	NA	NA	7.71	?8.27	NA
PTSGS2	NA	NA	?8.47	7.25	NA
CDH1	NA	NA	NA	?7.56	NA
KRT17	NA	NA	NA	?8.43	NA
TIMP1	NA	?8.4	NA	NA	NA
HDGF	?7.77	NA	NA	NA	NA
TIMP3	?7.83	?8.26	?8.43	NA	NA
MYC	?7.94	NA	NA	NA	NA
LAMC2	?8.31	NA	NA	NA	NA
SPP1	?8.68	?9.96	?8.34	NA	NA
IGFBP4	?8.82	?8.12	NA	NA	NA
KRT7	?8.94	NA	NA	NA	NA
COL4A2	?9.07	?9.67	?7.54	NA	NA
FOS	?9.35	NA	NA	NA	NA
MMP2	?10.8	?9.96	NA	NA	NA
PCNA	?10.9	NA	NA	NA	NA
LAMA4	?10.9	?8.26	NA	NA	NA
PLS3	?11.4	?10.6	?12.2	NA	NA
DAF	?13.4	?9.57	NA	?7.87	NA
	?14.4	?10.9	NA	NA	NA
VIM	?17.7	?14	NA	NA	NA
FN1	?19.1	?18.1	?15.8	NA	NA
CTSB	?20.6	?15.3	?7.09	?10.2	NA
COL1A2	?20.7	?19.3	?16.1	NA	NA
COL4A1	?33.1	?27.4	?16.7	NA	NA
