Genbank ID	Gene Title	Gene Symbol	5 h FC ± SEM	8 d FC ± SEM	1.5 mos FC ± SEM	6 mos FC ± SEM	Gene sequence
BB538708	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 14	Psmd14	N.C.	-1.8 ± 0.4	N.C.	N.C.	1
AV313813	ubiquitin carboxyl-terminal esterase L5	Uchl5	N.C.	-3.4 ± 0.4	N.C.	N.C.	2
AV114800	ubiquitin specific peptidase 14	Usp14	N.C.	-1.8 ± 0.4	N.C.	N.C.	3
BB349344	Ubiquitin specific peptidase 25	Usp25	N.C.	-2.0 ± 0.4	N.C.	N.C.	4
BB086152	ubiquitin specific peptidase 34	Usp34	N.C.	-1.9 ± 0.4	N.C.	N.C.	5
BG070039	ubiquitin specific peptidase 40	Usp40	N.C.	-1.9 ± 0.4	N.C.	N.C.	6
BG066878	Ubiquitin specific peptidase 53	Usp53	N.C.	-4.5 ± 0.5	N.C.	N.C.	7
BB150699	Ubiquitin specific protease 46	Usp46	-2.1 ± 0.4	N.C.	N.C.	N.C.	8
AK013252	ubiquitin specific protease 21	Usp21	-2.4 ± 0.4	N.C.	N.C.	N.C.	9
NM_011909	ubiquitin specific protease 18	Usp18	-2.0 ± 0.4	N.C.	N.C.	-1.6 ± 0.4	10
BI076835	Enhancer of zeste homolog 2 (Drosophila)	Ezh2	N.C.	-2.8 ± 0.5	N.C.	N.C.	11
BB751763	Cell growth regulator with ring finger domain 1	Cgrrf1	N.C.	-1.9 ± 0.4	N.C.	N.C.	12
AV266743	ubiquitin-activating enzyme E1-like 2	Ube1l2	N.C.	-2.0 ± 0.4	N.C.	N.C.	13
AV351572	thyroid hormone receptor interactor 12	Trip12	N.C.	-2.7 ± 0.4	N.C.	N.C.	14
BB178007	HECT domain containing 2	Hectd2	N.C.	-3.7 ± 0.4	N.C.	N.C.	15
AI747732	Autophagy-related 7 (yeast)	Atg7	N.C.	-1.7 ± 0.4	N.C.	N.C.	16
BB751223	Ubiquitin-conjugating enzyme E2H	Ube2h	N.C.	-1.7 ± 0.4	N.C.	N.C.	17
BB131619	ligand of numb-protein X 1	Lnx1	N.C.	-1.6 ± 0.4	N.C.	N.C.	18
BB205662	Casitas B-lineage lymphoma b	Cblb	N.C.	-1.6 ± 0.4	N.C.	N.C.	19
BB440892	ariadne ubiquitin-conjugating enzyme E2 binding protein homolog 1 (Drosophila)	Arih1	N.C.	-2.5 ± 0.4	N.C.	N.C.	20
AK016093	ubiquitination factor E4B, UFD2 homolog (S. cerevisiae)	Ube4b	-1.7 ± 0.4	N.C.	N.C.	N.C.	21
AV120094	F-box and leucine-rich repeat protein 20	Fbxl20	-1.6 ± 0.4	N.C.	N.C.	N.C.	22
AV257687	RIKEN cDNA 1110018G07 gene	1110018G07Rik	-1.5 ± 0.3	N.C.	N.C.	N.C.	23
AV276781	tripartite motif protein 23	Trim23	-1.6 ± 0.4	-3.1 ± 0.4	N.C.	N.C.	24
AV297651	tripartite motif protein 17 /// histone 3, H2a	Trim17 /// Hist3h2a	-1.5 ± 0.4	N.C.	N.C.	N.C.	25
AV307274	Fizzy/cell division cycle 20 related 1 (Drosophila) /// RIKEN cDNA 4930404N11 gene	Fzr1 /// 4930404N11Rik	-1.8 ± 0.4	N.C.	N.C.	N.C.	26
AW208668	Hect domain and RLD 5	Herc5	-2.2 ± 0.4	N.C.	N.C.	-1.5 ± 0.4	27
AW546409	CDC23 (cell division cycle 23, yeast, homolog)	Cdc23	-2.0 ± 0.4	N.C.	N.C.	N.C.	28
BB134696	membrane-associated ring finger (C3HC4) 1	1-Mar	N.C.	N.C.	-1.6 ± 0.4	N.C.	29
BB360028	Neural precursor cell expressed, developmentally down-regulated gene 4-like	Nedd4l	-2.4 ± 0.5	N.C.	N.C.	N.C.	30
BB446263	Ring finger protein 144	Rnf144	-2.9 ± 0.5	-2.2 ± 0.4	N.C.	N.C.	31
BB451412	Zinc finger, MYND domain containing 11	Zmynd11	-1.7 ± 0.4	N.C.	N.C.	N.C.	32
BB465854	F-box and leucine-rich repeat protein 7	Fbxl7	-3.3 ± 0.4	N.C.	N.C.	N.C.	33
BB706685	F-box protein 30	Fbxo30	-6.5 ± 0.4	N.C.	N.C.	-1.5 ± 0.4	34
BG069815	SUMO/sentrin specific protease 8	Senp8	-26.9 ± 0.5	N.C.	N.C.	N.C.	35
BG070640	HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1	Hace1	-1.5 ± 0.4	N.C.	N.C.	N.C.	36
BG072837	ring finger and KH domain containing 3	Rkhd3	-3.4 ± 0.4	N.C.	N.C.	N.C.	37
BG143677	Ubiquitin-like, containing PHD and RING finger domains 2	Uhrf2	-1.9 ± 0.4	N.C.	N.C.	N.C.	38
BM936291	RIKEN cDNA 2310047C04 gene	2310047C04Rik	-1.8 ± 0.4	N.C.	N.C.	N.C.	39
BQ173933	transformed mouse 3T3 cell double minute 4	Mdm4	-1.5 ± 0.4	-1.9 ± 0.4	N.C.	N.C.	40
NM_019883	ubiquitin A-52 residue ribosomal protein fusion product 1 /// similar to ubiquitin A-52 residue ribosomal protein fusion product 1 /// similar to ubiquitin A-52 residue ribosomal protein fusion product 1 /// similar to ubiquitin A-52 residue ribosomal protein fusion product 1	Uba52 /// LOC666586 /// LOC669193 /// LOC676687	N.C.	-1.6 ± 0.4	N.C.	N.C.	41
BB203106	circadian locomoter output cycles kaput	Clock	N.C.	-1.6 ± 0.4	N.C.	N.C.	42
BC026581	ubiquitin-conjugating enzyme E2M (UBC12 homolog, yeast)	Ube2m	N.C.	-1.7 ± 0.4	N.C.	N.C.	43
BF318721	proteasome (prosome, macropain) subunit, alpha type, 8	Psma8	N.C.	-2.6 ± 0.5	N.C.	N.C.	44
AW120830	ubiquitin-conjugating enzyme E2E 3, UBC4/5 homolog (yeast)	Ube2e3	N.C.	-1.8 ± 0.4	N.C.	N.C.	45
NM_024277	ribosomal protein S27a /// similar to ribosomal protein S27a /// similar to ubiquitin B precursor /// similar to ribosomal protein S27a /// similar to ribosomal protein S27a /// similar to ribosomal protein S27a	Rps27a /// LOC619900 /// LOC625981 /// LOC639567 /// LOC667035 /// LOC677303	N.C.	-1.6 ± 0.4	N.C.	N.C.	46
NM_011664	ubiquitin B /// ubiquitin pseudogene /// gene model 1821, (NCBI) /// similar to polyubiquitin	Ubb /// LOC218963 /// Gm1821 /// LOC667759	N.C.	-1.8 ± 0.4	N.C.	N.C.	47
AK013924	calcyclin binding protein	Cacybp	N.C.	-1.6 ± 0.3	N.C.	N.C.	48
AF184275	F-box protein 18	Fbxo18	-1.6 ± 0.4	N.C.	N.C.	N.C.	49
AF220015	tripartite motif protein 30	Trim30	-2.2 ± 0.4	N.C.	N.C.	-1.6 ± 0.4	50
AF220141	tripartite motif protein 34	Trim34	-2.1 ± 0.4	N.C.	N.C.	N.C.	51
AI462244	c6.1a protein		-1.5 ± 0.4	N.C.	N.C.	N.C.	52
AK004894	ubiquitin-activating enzyme E1-like	Ube1l	-1.8 ± 0.4	N.C.	N.C.	N.C.	53
AK006346	OTU domain, ubiquitin aldehyde binding 2	Otub2	-3.4 ± 0.5	N.C.	N.C.	N.C.	54
AK014408	RIKEN cDNA 3732413I11 gene	3732413I11Rik	-1.6 ± 0.4	N.C.	N.C.	N.C.	55
AK018146	Msx-interacting-zinc finger	Miz1	-2.4 ± 0.4	N.C.	N.C.	N.C.	56
AK018443	ubiquitin protein ligase E3A	Ube3a	-1.8 ± 0.5	N.C.	N.C.	N.C.	57
AV259620	S-phase kinase-associated protein 2 (p45)	Skp2	-2.2 ± 0.5	-1.8 ± 0.4	N.C.	N.C.	58
AV273537	ubiquitin protein ligase E3C	Ube3c	-1.8 ± 0.4	N.C.	N.C.	N.C.	59
AW557823	leucine rich repeat and sterile alpha motif containing 1	Lrsam1	-1.5 ± 0.4	N.C.	N.C.	N.C.	60
BB206482	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 3	Smarca3	-1.5 ± 0.4	N.C.	N.C.	N.C.	61
BB417360	RIKEN cDNA 5730469D23 gene	5730469D23Rik	-2.5 ± 0.4	N.C.	N.C.	N.C.	62
BC003801	Tnf receptor-associated factor 2	Traf2	-1.6 ± 0.3	N.C.	N.C.	N.C.	63
BC004781	RIKEN cDNA 4732452J19 gene	4732452J19Rik	-1.7 ± 0.4	N.C.	N.C.	-1.6 ± 0.4	64
BC010580	tripartite motif protein 21	Trim21	-1.9 ± 0.3	N.C.	N.C.	N.C.	65
BC011492	ring finger protein 186	Rnf186	-2.7 ± 0.3	N.C.	N.C.	N.C.	66
