Probe ID	Genbank	Symbol	Description	Gene ontology	Fold change	ChangeP-value	Expression
 243362_s_at	AA992805	LEF1	Lymphoid enhancer-binding factor 1	Transcription	0.379	0.99923	Downregulated Wnt target genes
 204259_at	NM_002423	MMP7	Matrix metalloproteinase 7 (matrilysin, uterine)	Collagen catabolism	0.66	0.99981	Downregulated Wnt target genes
 208711_s_at	BC000076	CCND1	Cyclin D1 (PRAD1: parathyroid adenomatosis 1)	Cell cycle, cell growth	0.66	0.99998	Downregulated Wnt target genes
 212063_at	BE903880	CD44	CD44 antigen (homing function and Indian blood group system)		0.707	0.99866	Downregulated Wnt target genes
 208381_s_at	NM_003901	SGPL1	Sphingosine-1-phosphate lyase 1	Lipid metabolism, apoptosis	0.109	0.99989	Downregulated genes
 221666_s_at	BC004470	ASC	Apoptosis-associated speck-like protein containing a CARD	Apoptosis, cell cycle	0.233	0.99851	Downregulated genes
 208173_at	NM_002176	IFNB1	Interferon, beta 1, fibroblast	Signal transduction, cell proliferation	0.379	0.9988	Downregulated genes
 214453_s_at	NM_006417	IFI44	Interferon-induced protein 44	Invasive growth	0.406	0.9999	Downregulated genes
 205387_s_at	NM_000737	CGB	Chorionic gonadotropin, beta polypeptide	Apoptosis	0.467	0.99997	Downregulated genes
 217373_x_at	AJ276888	MDM2	Mdm2, transformed 3T3 cell double minute 2, p53 binding protein	Oncogenesis, cell proliferation	0.5	0.99996	Downregulated genes
 202086_at	NM_002462	MX1	Myxovirus resistance 1, interferon-inducible protein p78	Apoptosis	0.536	0.99998	Downregulated genes
 211607_x_at	U48722	EGFR	Epidermal growth factor receptor	Cell proliferation	0.536	0.99979	Downregulated genes
 201508_at	NM_001552	IGFBP4	Insulin-like growth factor binding protein 4	Cell growth, cell proliferation	0.574	0.99969	Downregulated genes
 206665_s_at	NM_001191	BCL2L1	BCL2-like 1	Apoptosis	0.616	0.99938	Downregulated genes
 201641_at	NM_004335	BST2	Bone marrow stromal cell antigen 2	Cell proliferation, cell–cell signaling	0.616	0.99989	Downregulated genes
 209890_at	AF065389	TM4SF9	Transmembrane 4 superfamily member 9	Cell proliferation, cell adhesion	0.66	0.99979	Downregulated genes
 210984_x_at	U95089	EGFR	Epidermal growth factor receptor	Cell proliferation	0.66	0.99994	Downregulated genes
 213816_s_at	AA005141	MET	Met proto-oncogene (hepatocyte growth factor receptor)	Signal transduction, cell proliferation	0.66	0.99979	Downregulated genes
 213979_s_at	BF984434	CTBP1	C-terminal binding protein 1	Cell proliferation	0.66	0.99998	Downregulated genes
 216041_x_at	AK023348	GRN	Granulin	Signal transduction, cell proliferation	0.66	0.99998	Downregulated genes
 215101_s_at	BG166705	CXCL5	Chemokine (C-X-C motif) ligand 5	Signal transduction, cell proliferation	0.66	0.99998	Downregulated genes
 200607_s_at	BG289967	RAD21	RAD21 homolog (S. pombe)	Apoptosis, cell cycle	0.707	0.99976	Downregulated genes
 203148_s_at	NM_014788	TRIM14	Tripartite motif-containing 14	Cell growth	0.707	0.99998	Downregulated genes
 31874_at	Y07846	GAS2L1	Growth arrest-specific 2 like 1	Cell growth	0.707	1	Downregulated genes
 202286_s_at	J04152	TACSTD2	Tumor-associated calcium signal transducer 2	Signal transduction, cell proliferation	0.707	0.99998	Downregulated genes
 209969_s_at	BC002704	STAT1	Signal transducer and activator of transcription 1, 91 kDa	Cell cycle, transcription	0.707	0.99851	Downregulated genes
 201601_x_at	NM_003641	IFITM1	Interferon induced transmembrane protein 1 (9–27)	Cell cycle, cell proliferation	0.707	0.99998	Downregulated genes
 214022_s_at	AA749101	IFITM1	Interferon induced transmembrane protein 1 (9–27)	Cell cycle, cell proliferation	0.707	0.99931	Downregulated genes
 232816_s_at	AW571709	DDX11	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11	Cell cycle, cell proliferation	0.707	0.99923	Downregulated genes
 223121_s_at	AW003584	SFRP2	Secreted frizzled-related protein 2	Development	6208.375	0.00003	Upregulated genes
 213418_at	NM_002155	HSPA6	Heat shock 70 kDa protein 6 (HSP70B)		73.5	0.00002	Upregulated genes
 117_at	X51757	HSPA6	Heat shock 70 kDa protein 6 (HSP70B)		52	0	Upregulated genes
 203844_at	NM_000551	VHL	Von Hippel-Lindau syndrome	Transcription, cell proliferation	7.5	0.00035	Upregulated genes
 215271_at	BF432086	TNN	Tenascin N	Cell growth	6.5	0.00149	Upregulated genes
 223850_at	AF116720	DNAJA2	DnaJ (Hsp40) homolog, subfamily A, member 2	Cell cycle, cell proliferation	6.5	0.0012	Upregulated genes
 208792_s_at	M25915	CLU	Clusterin	Lipid metabolism, apoptosis	5.3	0.00002	Upregulated genes
 202581_at	NM_005346	HSPA1B	Heat shock 70 kDa protein 1B	mRNA catabolism	4.9	0.00002	Upregulated genes
 200800_s_at	NM_005345	HSPA1A	Heat shock 70 kDa protein 1A	mRNA catabolism	4.3	0.00002	Upregulated genes
 208791_at	M25915	CLU	Clusterin	Lipid metabolism, apoptosis	4	0.00013	Upregulated genes
 217911_s_at	NM_004281	BAG3	BCL2-associated athanogene 3	Apoptosis	3.7	0.00002	Upregulated genes
 230031_at	AW052044	HSPA5	Heat shock 70 kDa protein 5 (glucose-regulated protein, 78 kDa)		3.2	0.00002	Upregulated genes
 223919_at	AB045831	P53AIP1	p53-regulated apoptosis-inducing protein 1	Apoptosis	2.8	0.00149	Upregulated genes
 210587_at	BC005161	INHBE	Inhibin, beta E	Cell growth	2.6	0.00035	Upregulated genes
 200799_at	NM_005345	HSPA1A	Heat shock 70 kDa protein 1A	mRNA catabolism	2.3	0.00002	Upregulated genes
 209101_at	M92934	CTGF	Connective tissue growth factor	Cell growth, cell adhesion	2.3	0.00005	Upregulated genes
 228846_at	AW071793	MAD	MAX dimerization protein 1	Transcription, cell proliferation	2.1	0.00055	Upregulated genes
 207978_s_at	NM_006981	NR4A3	Nuclear receptor subfamily 4, group A, member 3	Transcription, cell growth	2	0.00004	Upregulated genes
 225434_at	AW245401	DEDD2	Death effector domain containing 2	Apoptosis	2	0.00002	Upregulated genes
