GenBank	Symbol	Gene/protein	Fold change from nonirradiated 2 h	24 h	72 h	Function
NM_005978.2	S100A2	S100 calcium-binding protein A2	0.34	1.75	1.76	Epidermal differentiation complex, calcium-binding proteins
NM_014624.2	S100A6	S100 calcium-binding protein A6 (calcyclin)	0.79	1.64	4.24	Epidermal differentiation complex, calcium-binding proteins
NM_002963.2	S100A7	S100 calcium-binding protein A7 (psoriasin 1)	0.69	22.43	12.02	Epidermal differentiation complex, calcium-binding proteins
NM_002964.2	S100A8	S100 calcium-binding protein A8 (calgranulin A)	1.32	14.57	12.52	Epidermal differentiation complex, calcium-binding proteins
NM_002965.2	S100A9	S100 calcium-binding protein A9 (calgranulin B)	0.73	22.04	15.19	Epidermal differentiation complex, calcium-binding proteins
NM_005980.1	S100P	S100 calcium-binding protein P	1.3	3.61	3.53	Epidermal differentiation complex, calcium-binding proteins
AF119873.1	SERPINA1	Serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	3.21	7.22	2.19	Serpins (serine proteases inhibitors)
AI554300	SERPINB1	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 1	0.45	3.95	0.99	Serpins (serine proteases inhibitors)
AF169949.1	SERPINB13	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 13	1.03	1.97	2.69	Serpins (serine proteases inhibitors)
BC005224.1	SERPINB3	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 3	0.89	13.11	9.91	Serpins (serine proteases inhibitors)
NM_006665.1	HPSE	Heparanase	0.79	5.12	3.95	Extracellular matrix affecting factors
NM_002421.2	MMP1	Matrix metalloproteinase 1 (interstitial collagenase)	0.18	15.56	2.57	Extracellular matrix affecting factors
NM_002422.2	MMP3	Matrix metalloproteinase 3 (stromelysin 1, progelatinase)	0.1	4.61	1.03	Extracellular matrix affecting factors
NM_003254.1	TIMP1	Tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)	1.22	5.43	3.41	Extracellular matrix affecting factors
L10343	SKALP/PI3	Elafin: neutrophil and pancreatic elastase-specific inhibitor of skin	0.52	21.55	14.19	Extracellular matrix affecting factors
NM_001211.2	BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	1.01	0.63	2.24	Cell cycle
NM_001237.1	CCNA2	Cyclin A2	2.31	1.67	8.5	Cell cycle
NM_004701.2	CCNB2	Cyclin B2	1.46	0.92	5.9	Cell cycle
NM_001759.1	CCND2	Cyclin D2	0.93	1.49	4	Cell cycle
AW134535	CCNG2	Cyclin G2	0.92	2.7	1.05	Cell cycle
AL524035	CDC2	Cell division cycle 2, G1 to S and G2 to M	0.92	0.46	4.19	Cell cycle
NM_001255.1	CDC20	CDC20 cell division cycle 20 homolog (Saccharomyces cerevisiae)	2.29	1.17	6.12	Cell cycle
NM_021873.1	CDC25B	Cell division cycle 25B	1.71	1.36	3.61	Cell cycle
AF213033.1	CDKN3	Cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)	1.7	0.94	5.4	Cell cycle
NM_001826.1	CKS1B	CDC28 protein kinase regulatory subunit 1B	1.42	0.89	2.02	Cell cycle
NM_001953.2	ECGF1	Endothelial cell growth factor 1 (platelet-derived)	1.27	4.4	4.85	Cell cycle
NM_022346.1	HCAP-G	Chromosome condensation protein G	1.05	0.96	2.52	Cell cycle
NM_006101.1	HEC	Highly expressed in cancer, rich in leucine heptad repeats	4.15	3.77	21.36	Cell cycle
NM_002358.2	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	1.66	0.97	3.86	Cell cycle
