Symbol	Description
ACTN2	actinin, alpha 2
APOBEC2	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2
ATP2A2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2
CAMK2B	calcium/calmodulin-dependent protein kinase (CaM kinase) II beta
CKM	creatine kinase, muscle
CRIP2	cysteine-rich protein 2
CSRP3	cysteine and glycine-rich protein 3 (cardiac LIM protein)
HSPB3	heat shock 27kDa protein 3
HSPB7	heat shock 27kDa protein family, member 7 (cardiovascular)
LAMA4	laminin, alpha 4
MASP1	mannan-binding lectin serine peptidase 1
MB	myoglobin
MYBPC3	myosin binding protein C, cardiac
MYH6	myosin, heavy polypeptide 6, cardiac muscle, alpha
MYL3	myosin, light polypeptide 3, alkali; ventricular, skeletal, slow
MYL4	myosin, light polypeptide 4, alkali; atrial, embryonic
MYL7	myosin, light polypeptide 7, regulatory
MYOM1	myomesin 1 (skelemin) 185kDa
PLN	phospholamban
PPP1R12B	protein phosphatase 1, regulatory (inhibitor) subunit 12B
PPP1R14C	protein phosphatase 1, regulatory (inhibitor) subunit 14C
RRAD	Ras-related associated with diabetes
SLC8A1	solute carrier family 8 (sodium/calcium exchanger), member 1
SMPX	small muscle protein, X-linked
SMYD1	SET and MYND domain containing 1
SORBS2	sorbin and SH3 domain containing 2
SRD5A2L2	steroid 5 alpha-reductase 2-like 2
SYNPO2L	synaptopodin 2-like
TMOD1	tropomodulin 1
TNNC1	troponin C type 1 (slow)
TNNT2	troponin T type 2 (cardiac)
TRIM55	tripartite motif-containing 55
TRIM63	tripartite motif-containing 63
UNC45B	unc-45 homolog B (C. elegans)
