probe set	gene	fold change
216405_at	Lectin, galactoside-binding, soluble, 1 (galectin 1)	8.83
201852_x_at	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	8.04
214416_at	Transcribed locus, strongly similar to NP_033799.1 amylase 2, pancreatic [Mus musculus]	6.55
215076_s_at	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	6.45
217683_at	gb:AA115963 /DB_XREF=gi:1670996 /DB_XREF=zm78d11.s1 /CLONE=IMAGE:531765 /FEA=EST /CNT=6 /TID=Hs.323423.0 /TIER=ConsEnd /STK=2 /UG=Hs.323423 /UG_TITLE=ESTs, Moderately similar to B Chain B, Crystal Structure Of Deoxy-Human Hemoglobin Beta6 Glu->trp (H.sapiens)	6.26
222108_at	amphoterin induced gene 2	4.84
216442_x_at	fibronectin 1	4.39
204619_s_at	chondroitin sulfate proteoglycan 2 (versican)	4.34
209312_x_at	major histocompatibility complex, class II, DR beta 1 /// major histocompatibility complex, class II, DR beta 1	4.29
212233_at	Microtubule-associated protein 1B	4.28
211719_x_at	fibronectin 1 /// fibronectin 1	4.26
226084_at	microtubule-associated protein 1B	4.1
239176_at	Nebulin-related anchoring protein	4.1
210926_at	similar to FKSG30	4.07
210495_x_at	fibronectin 1	3.8
224833_at	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	3.78
226535_at	gb:AK026736.1 /DB_XREF=gi:10439657 /FEA=mRNA /CNT=83 /TID=Hs.57664.0 /TIER=Stack /STK=59 /UG=Hs.57664 /UG_TITLE=Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 2005735 /DEF=Homo sapiens cDNA: FLJ23083 fis, clone LNG06541, highly similar to IR2005735 Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 2005735.	3.7
239430_at	insulin growth factor-like family member 1	3.63
233149_at	CDNA clone IMAGE:4750272, containing frame-shift errors	3.57
1552411_at	defensin, beta 106	3.55
201110_s_at	thrombospondin 1	3.47
227140_at	Inhibin, beta A (activin A, activin AB alpha polypeptide)	3.47
