Probeset ID	HUGO ID	Fold regulation CD1 siRNA	CDK4 siRNA	Gene name	Gene function
203967_at	CDC6	?3.4	?4.4	CDC6 cell division cycle 6 homologue	Cell cycle (progression)
228033_at	E2F7	?2.5	?5.4	E2F transcription factor 7	Cell cycle (progression)
213906_at	MYBL1	?2.4	?4.8	Myeloblastosis viral oncogene homologue like 1	Cell cycle (progression)
204825_at	MELK	?2.2	?4.6	Maternal embryonic leucine zipper kinase	Cell cycle (progression)
224428_s_at	CDCA7	?2.0	?2.2	Cell division cycle associated 7	Cell cycle (progression)
204159_at	CDKN2C	?2.4	?3.1	Cyclin-dependent kinase inhibitor 2C	Cell cycle (inhibition)
205235_s_at	MPHOSPH1	?3.4	?5.3	M-phase phosphoprotein 1	Mitosis
218542_at	CEP55	?3.2	?5.5	Centrosomal protein 55 kDa	Mitosis
221520_s_at	CDCA8	?3.0	?8.4	Cell division cycle associated 8	Mitosis
218355_at	KIF4A	?2.8	?5.5	Kinesin family member 4A	Mitosis
204444_at	KIF11	?2.6	?4.7	Kinesin family member 11	Mitosis
222848_at	CENPK	?2.4	?5.9	Centromere protein K	Mitosis
228323_at	CASC5	?2.4	?4.8	Cancer susceptibility candidate 5	Mitosis
210052_s_at	TPX2	?2.4	?4.8	TPX2, microtubule-associated, homologue	Mitosis
208079_s_at	AURKA	?2.4	?4.5	Aurora kinase A	Mitosis
209408_at	KIF2C	?2.3	?3.5	Kinesin family member 2C	Mitosis
226661_at	CDCA2	?2.3	?5.0	Cell division cycle associated 2	Mitosis
212949_at	BRRN1	?2.3	?4.9	Barren homologue 1 (Drosophila)	Mitosis
209891_at	SPBC25	?2.1	?6.5	Spindle pole body component 25 homologue	Mitosis
231772_x_at	CENPH	?2.1	?3.9	Centromere protein H	Mitosis
207828_s_at	CENPF	?2.1	?3.7	Centromere protein F, 350/400ka (mitosin)	Mitosis
218755_at	KIF20A	?2.0	?4.4	Kinesin family member 20A	Mitosis
219703_at	MNS1	?3.2	?4.0	Meiosis-specific nuclear structural 1	Meiosis
213951_s_at	PSMC3IP	?2.4	?4.0	PSMC3 interacting protein	Meiosis
210983_s_at	MCM7	?2.8	?4.0	Minichromosome maintenance deficient 7	DNA replication
204126_s_at	CDC45L	?2.3	?4.9	CDC45 cell division cycle 45-like	DNA replication
203209_at	RFC5	?2.1	?3.5	Replication factor C (activator 1) 5	DNA replication
229551_x_at	ZNF367	?3.5	?9.0	Zinc finger protein 367	Transcription
227787_s_at	THRAP6	?2.5	?3.2	Thyroid hormone receptor associated protein 6	Transcription
204033_at	TRIP13	?2.4	?2.5	Thyroid hormone receptor interactor 13	Transcription
225081_s_at	CDCA7L	?2.3	?5.8	Cell division cycle associated 7-like	Transcription
221677_s_at	DONSON	?2.0	?3.5	Downstream neighbor of SON	Unknown
201726_at	ELAVL1	?2.2	?2.5	Embryonic lethal, abnormal vision-like 1	mRNA processing
224675_at	MESDC2	?3.5	?2.4	Mesoderm development candidate 2	Development
218459_at	TOR3A	?2.5	?2.2	Torsin family 3, member A	Development
224617_at	ROD1	?3.4	?6.0	ROD1 regulator of differentiation 1	Differentiation
218585_s_at	DTL	?3.3	?5.0	Denticleless homologue	Differentiation
209621_s_at	PDLIM3	?3.0	?2.4	PDZ and LIM domain 3	Cytoskeleton org.
213511_s_at	MTMR1	?2.6	?2.8	Myotubularin related protein 1	Cytoskeleton org.
212836_at	POLD3	?2.6	?4.8	Polymerase ? 3, accessory subunit	DNA repair
227059_at	GPC6	?2.2	?4.8	Glypican 6	Cell growth
39248_at	AQP3	?2.1	?2.8	Aquaporin 3 (gill blood group)	Water channel
212573_at	ENDOD1	?3.5	?3.4	Endonuclease domain containing 1	Unknown
228728_at	FLJ21986	?2.9	?2.6	Hypothetical protein FLJ21986	Unknown
228281_at	FLJ25416	?2.7	?5.2	Hypothetical protein FLJ25416	Unknown
226416_at	THEX1	?2.6	?2.8	Three prime histone mRNA exonuclease 1	Unknown
223215_s_at	C14ORF100	?2.5	?2.5	Chromosome 14 open reading frame 100	Unknown
205347_s_at	TMSL8	?2.5	?6.5	Thymosin-like 8	Unknown
238756_at	GAS2L3	?2.5	?4.4	Growth arrest-specific 2 like 3	Unknown
222617_s_at	C10ORF84	?2.3	?2.1	Chromosome 10 open reading frame 84	Unknown
225687_at	FAM83D	?2.2	?2.0	Family with sequence similarity 83, member D	Unknown
218726_at	DKFZP762E131	?2.2	?4.9	Hypothetical protein DKFZp762E1312	Unknown
228559_at	C16ORF60	?2.2	?3.3	Centromere protein N	Unknown
223606_x_at	KIAA1704	?2.2	?2.7	KIAA1704	Unknown
241838_at	LOC644112	?2.1	?3.7	Similar to splicing factor 3b, subunit 4	Unknown
219038_at	MORC4	?2.1	?5.7	MORC family CW-type zinc finger 4	Unknown
231855_at	KIAA1524	?2.1	?4.5	KIAA1524	Unknown
202503_s_at	KIAA0101	?2.1	?3.4	KIAA0101	Unknown
228069_at	FAM54A	?2.1	?4.1	Family with sequence similarity 54, member A	Unknown
221677_s_at	DONSON	?2.0	?3.5	Downstream neighbor of SON	Unknown
