Gene Name	Score(d)
IL1A	8.62
FLJ13611	7.27
ANGEL2	8.13
LOC730245	7.61
CLCA1	7.37
USP6NL	7.8
PIP5K2C	7.07
ASCL3	7.98
PRKCA	7.23
HDGFRP3	7.72
CHFR	7.17
SLC30A6	7.11
SLC39A3	7.54
ZNF33A	7.47
CLSTN3	7.31
NRIP1	7.14
ZNF488	7.19
EXOC6	8.36
MEGF10	7.16
NF1	7.77
PRDM5	7.59
PIK3C3	7.76
PCDHB5	7.92
USP3	7.07
VPS54	7.71
NAV3	7.6
MAML2	7.26
OR12D3	7.2
DMXL2	7.21
GPC5	7.8
FYN	8.23
CXCL5	7.71
FANCF	7.65
PCNXL2	7.57
BCL2L10	8.03
ROCK1	7.83
FTHL17	7.57
SLC25A36	7.61
DNAH5	7.57
PDE3B	7.09
LOC130951	7.14
LOC283075	7.86
KERA	7.41
DEPDC1B	7.2
PCDH20	7.14
SLC30A6	7.18
PCDHB9	7.6
TMEM55B	7.44
ZFP37	7.33
LOC254100	7.26
LRP6	-8.61
U1SNRNPBP	-6.74
LAMB1	-6.73
TRIO	-6.4
ZNF334	-6.91
MYST4	-7.62
ZSCAN5	-7
CHES1	-6.97
ANKFY1	-6.53
MLF1	-7.49
KIAA1160	-7.28
C5orf13	-6.57
CPT1B	-7.44
MYO1E	-7.2
NEO1	-7
DNMT3A	-6.81
CORO7	-6.44
CPT1B	-7
IL6ST	-6.52
HYAL1	-6.66
GABRB2	-6.53
WDR4	-6.51
RAD51L1	-6.64
TARSL2	-7.4
ZNF436	-7.05
HEYL	-6.48
DNAI2	-7
ARHGEF10L	-6.54
HIST2H4A	-6.78
MARCKS	-6.57
PCGF2	-6.47
GKAP1	-6.83
TNK2	-6.48
ZNF174	-7.59
CDK5	-6.57
DUS3L	-6.57
SUSD2	-6.39
CDKN2B	-7.77
KATNB1	-6.9
KCNK5	-6.66
CLCN6	-6.57
UCP2	-7.3
ASCC1	-7.11
GMDS	-6.75
RAB27B	-7.2
HEXDC	-6.85
LTB4DH	-6.59
GPR61	-7.15
FAM62B	-6.7
TRO	-6.96
