Affimetrix probe set	Gene/protein	Expression
202095_s_at	Survivin a	Repressed genes
206504_at	Cytochrome P450, subfamily XXIV	Repressed genes
203438_at	Stanniocalcin 2	Repressed genes
210095_s_at	Insulin-like growth factor binding protein 3	Repressed genes
201839_s_at	Tumor-associated calcium signal transducer 1	Repressed genes
210654_at	Tumor necrosis factor receptor superfamily, member 10d	Repressed genes
200606_at	Desmoplakin (DPI, DPII)	Repressed genes
41660_at	Cadherin, EGF LAG seven-pass G-type receptor 1	Repressed genes
217892_s_at	Epithelial protein lost in neoplasm -actin-cytoskeleton associated	Repressed genes
210538_s_at	Baculoviral IAP repeat-containing 3 (MIHC)	Repressed genes
204115_at	Guanine nucleotide binding protein 11	Repressed genes
201170_s_at	Basic helix–loop–helix domain containing, class B, 2 (BHLHB2)	Repressed genes
203373_at	STAT-induced STAT inhibitor-2	Repressed genes
211804_s_at	Cyclin-dependent kinase 2 (CDK2) a	Repressed genes
202246_s_at	Cyclin-dependent kinase 4 (CDK4)	Repressed genes
202705_at	Cyclin B2	Repressed genes
204237_at	CED-6 protein	Repressed genes
214710_s_at	Cyclin B1 a	Repressed genes
217979_at	Tetraspan NET-6 protein	Repressed genes
201565_s_at	Inhibitor of DNA binding 2	Repressed genes
218854_at	Squamous cell carcinoma antigen recognized by T cell	Repressed genes
210372_s_at	Tumor protein D52-like 1	Repressed genes
203444_s_at	Metastasis-associated 1-like 1	Repressed genes
211559_s_at	Cyclin G2	Repressed genes
202388_at	Regulator of G-protein signalling 2	Repressed genes
207042_at	E2F family transcription factor 2	Repressed genes
202667_s_at	HLA class II region expressed gene KE4	Repressed genes
204947_at	E2F family transcription factor 1 a	Repressed genes
201853_s_at	Cell division cycle 25B (cdc25B) a	Repressed genes
205321_at	Eukaryotic translation initiation factor 2	Repressed genes
219032_x_at	Opsin 3 (encephalopsin, panopsin)	Repressed genes
203209_at	Replication factor C (activator 1) 5	Repressed genes
202437_s_at	Cytochrome P450, subfamily I	Repressed genes
203176_s_at	Transcription factor A, mitochondrial	Repressed genes
201659_s_at	ADP-ribosylation factor-like 1	Repressed genes
201645_at	Tenascin C	Repressed genes
209904_at	Troponin C	Repressed genes
212139_at	GCN1	Repressed genes
201131_s_at	Cadherin 1, type 1, E-cadherin	Repressed genes
203832_at	Small nuclear ribonucleoprotein polypeptide F	Repressed genes
203665_at	Heme oxygenase (decycling) 1	Repressed genes
200734_s_at	ADP-ribosylation factor 3	Repressed genes
201055_s_at	Heterogeneous nuclear ribonucleoprotein A0	Repressed genes
214023_x_at	Tubulin, beta (-tubulin) a	Repressed genes
201475_x_at	Methionine-tRNA synthetase	Repressed genes
