TGF-ß target gene	Description	Regulationb	Dependency
BMP2K	BMP2-inducible kinase	Up	Early (1 h) targets Smad4 dependent
CLU	Clusterin	Up	Early (1 h) targets Smad4 dependent
DLX2	Distal-less homeo box 2	Up	Early (1 h) targets Smad4 dependent
GADD45B	Growth arrest and DNA-damage-inducible, beta	Up	Early (1 h) targets Smad4 dependent
PRKD2	Protein kinase D2	Up	Early (1 h) targets Smad4 dependent
TGM4	Transglutaminase 4	Up	Early (1 h) targets Smad4 dependent
TIEG	TGF-ß-inducible early growth response	Up	Early (1 h) targets Smad4 dependent
COPA	Coatomer protein complex, subunit alpha	Down	Early (1 h) targets Smad4 dependent
LDLR	Low-density lipoprotein receptor	Down	Early (1 h) targets Smad4 dependent
CLC	Cardiotrophin-like cytokine	Up	Early (1 h) target Smad4 independent
EDN1	Endothelin-1	Up	Early (1 h) target Smad4 independent
HES1	Hairy and enhancer of split 1.	Up	Early (1 h) target Smad4 independent
IER3	Immediate-early response 3	Up	Early (1 h) target Smad4 independent
SNAI2 (Slug)c	Snail homolog 2	Up	Early (1 h) target Smad4 independent
MAIL	Molecule possessing ankyrin repeats	Down	Early (1 h) target Smad4 independent
TPD52	Tumor protein D52	Down	Early (1 h) target Smad4 independent
AKT3	v-akt murine thymoma viral oncogene homolog 3	Up	Early (1 h) and late (6 h) targets Smad4 dependent
ATF3	Activating transcription factor 3	Up	Early (1 h) and late (6 h) targets Smad4 dependent
BHLHB2	Basic helix-loop-helix domain containing, class B2	Up	Early (1 h) and late (6 h) targets Smad4 dependent
CXCL11	Chemokine (C-X-C motif) ligand 11	Up	Early (1 h) and late (6 h) targets Smad4 dependent
NEDD9 (Hef1)	Neural precursor developmentally down-regulated 9	Up	Early (1 h) and late (6 h) targets Smad4 dependent
PAI1c	Plasminogen activator inhibitor type 1	Up	Early (1 h) and late (6 h) targets Smad4 dependent
SERTAD4	SERTA domain containing 4	Up	Early (1 h) and late (6 h) targets Smad4 dependent
TGM1	Transglutaminase 1	Up	Early (1 h) and late (6 h) targets Smad4 dependent
CDKN1A (p21)c	Cyclin-dependent kinase inhibitor 1A	Up	Early (1 h) and late (6 h) targets Smad4 independent
c-JUNc	v-jun sarcoma virus 17 oncogene homolog	Up	Early (1 h) and late (6 h) targets Smad4 independent
JUNB	junB proto-oncogene	Up	Early (1 h) and late (6 h) targets Smad4 independent
MADH7 (Smad7)c	MAD, mothers against decapentaplegic homolog 7	Up	Early (1 h) and late (6 h) targets Smad4 independent
PTHLH	Parathyroid hormone-like hormone	Up	Early (1 h) and late (6 h) targets Smad4 independent
RDC1	G protein-coupled receptor	Up	Early (1 h) and late (6 h) targets Smad4 independent
SKIL (sno)	SKI-like	Up	Early (1 h) and late (6 h) targets Smad4 independent
TCF8	Transcription factor 8	Up	Early (1 h) and late (6 h) targets Smad4 independent
TMEPAIc	Transmembrane, prostate androgen-induced RNA	Up	Early (1 h) and late (6 h) targets Smad4 independent
