Gene	Description	Unigene Id	Score(d)	Fold change
SPON1	Spondin 1, (f-spondin) extracellular matrix protein	Hs.5378	1.3506514	6.21778
IGFBP5	Insulin-like growth factor binding protein 5	Hs.380833	1.3047165	5.54292
IGF1	Insulin-like growth factor 1 (somatomedin C)	Hs.308053	1.2779636	3.76439
ANGPTL1	Angiopoietin-like 1	Hs.304398	1.2254871	4.33414
LUM	Lumican	Hs.406475	1.177386	4.36662
DLK1	Delta-like 1 homolog (Drosophila)	Hs.169228	1.1542304	1.47196
KIAA0534	KIAA0534 protein	Hs.407474	1.1386462	4.35136
DKFZP434B044	Hypothetical protein DKFZp434B044	Hs.262958	1.119748	3.99764
CLDN11	Claudin 11 (oligodendrocyte transmembrane protein)	Hs.31595	1.0881825	4.6447
PDK4	Pyruvate dehydrogenase kinase, isoenzyme 4	Hs.8364	1.0838902	3.44589
HNRPU	Heterogeneous nuclear ribonucleoprotein U	Hs.166463	1.0807383	1.56912
PPP2R1B	Protein phosphatase 2, regulatory subunit A (PR 65), beta isoform	Hs.431156	1.0601872	4.15235
SPOCK	Sparc/osteonectin, cwcv and kazal-like domains proteoglycan	Hs.93029	1.0459539	3.97131
PRSS2	Protease, serine, 2 (trypsin 2)	Hs.511525	1.0366911	5.40492
SORL1	Sortilin-related receptor, L(DLR class) A repeats-containing	Hs.438159	1.0286613	4.03677
APOD	Apolipoprotein D	Hs.75736	1.0268499	7.86234
TYROBP	TYRO protein tyrosine kinase binding protein	Hs.9963	1.0154491	3.83288
FLJ20366	Hypothetical protein FLJ20366	Hs.354793	0.9904725	3.7146
SULF1	Sulfatase 1	Hs.409602	0.986583	3.076
ECM1	Extracellular matrix protein 1	Hs.81071	0.9745068	2.14016
MAPT	Microtubule-associated protein tau	Hs.101174	0.9720159	6.59511
SCUBE2	Signal peptide, CUB domain, EGF-like 2	Hs.435861	0.9648591	2.42009
VWF	Von Willebrand factor	Hs.440848	0.9633689	3.89962
IGJ	Immunoglobulin J polypeptide,	Hs.381568	0.9522969	3.26008
RARRES2	Retinoic acid receptor responder (tazarotene induced) 2	Hs.37682	0.9506683	3.05749
EGLN3	Egl nine homolog 3 (C. elegans)	Hs.443906	0.9455161	6.3685
C1QA	Complement component 1, q subcomponent, alpha polypeptide	Hs.9641	0.9451115	2.92682
IGLV	Immunoglobulin lambda variable group	Hs.512116	0.9351256	3.52688
IL15RA	Interleukin 15 receptor, alpha	Hs.12503	0.9346573	3.52773
MX1	Myxovirus (influenza virus) resistance 1	Hs.436836	0.8888529	4.02704
SEMA5A	Sema domain, seven thrombospondin repeats (type 1 and type 1-like)	Hs.27621	0.8863345	2.65311
LR8	LR8 protein	Hs.190161	0.8843536	3.89467
EPB41L3	Erythrocyte membrane protein band 4.1-like 3	Hs.103839	0.8784795	2.59129
CH25H	Cholesterol 25-hydroxylase	Hs.47357	0.8775504	4.22944
TLE3	Transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila)	Hs.287362	0.8687078	2.92431
ISL1	ISL1 transcription factor, LIM/homeodomain (islet-1)	Hs.505	0.8657636	2.47976
GPC5	Glypican 5	Hs.450919	0.8629431	4.71517
AGT	Angiotensinogen	Hs.19383	0.8609486	3.79877
FBLN1	Fibulin 1	Hs.445240	0.860423	2.4642
JDP2	Jun dimerization protein 2	Hs.154095	0.8602472	3.07592
CCL2	Chemokine (C–C motif) ligand 2	Hs.303649	0.8582911	3.4199
SNK	Serum-inducible kinase	Hs.398157	0.8553821	2.68625
WNT9A	Wingless-type MMTV integration site family, member 9A	Hs.149504	0.8548781	2.55467
APM2	Adipose specific 2	Hs.511763	0.8518084	5.85456
PSMF1	Proteasome (prosome, macropain) inhibitor subunit 1 (PI31)	Hs.437495	0.8514397	2.61767
KIAA0534	KIAA0534 protein	Hs.407474	0.850514	4.75186
ISLR	Immunoglobulin superfamily containing leucine-rich repeat	Hs.102171	0.8503522	2.77383
NCF1	Neutrophil cytosolic factor 1	Hs.458275	0.8468407	3.26218
STOM	Stomatin	Hs.439776	0.8408588	3.05601
