Affymetrix probe ID	Gene Symbol	Gene Title	Control fold change	In(Lu) fold change	Functional Category
212914_at	CBX7	Chromobox homolog 7	2.1	3.1	Chromatin assembly / disassembly
208886_at	H1F0	H1 histone family, member 0	4	10	Chromatin assembly / disassembly
204805_s_at	H1FX	H1 histone family, member X	1.3	2.1	Chromatin assembly / disassembly
220936_s_at	H2AFJ	H2A histone family, member J	1.4	1.8	Chromatin assembly / disassembly
208579_x_at	H2BFS	H2B histone family, member S	5.1	2.7	Chromatin assembly / disassembly
214534_at	HIST1H1B	Histone cluster 1, H1b	5.8	1.6	Chromatin assembly / disassembly
214537_at	HIST1H1D	Histone cluster 1, H1d	10	4.5	Chromatin assembly / disassembly
208553_at	HIST1H1E	Histone cluster 1, H1e	8.8	3.9	Chromatin assembly / disassembly
214522_x_at	HIST1H2AD	Histone cluster 1, H2ad	6.2	3.8	Chromatin assembly / disassembly
208569_at	HIST1H2AE	Histone cluster 1, H2ae	5	2	Chromatin assembly / disassembly
214469_at	HIST1H2AE	Histone cluster 1, H2ae	15.5	8.9	Chromatin assembly / disassembly
208547_at	HIST1H2BB	Histone cluster 1, H2bb	13.7	18.1	Chromatin assembly / disassembly
222067_x_at	HIST1H2BD	Histone cluster 1, H2bd	4.5	1.7	Chromatin assembly / disassembly
208490_x_at	HIST1H2BG	Histone cluster 1, H2bg	4.2	2	Chromatin assembly / disassembly
209806_at	HIST1H2BK	Histone cluster 1, H2bk	1.8	1.4	Chromatin assembly / disassembly
208577_at	HIST1H3A	Histone cluster 1, H3a	9.3	3.5	Chromatin assembly / disassembly
214646_at	HIST1H3J	Histone cluster 1, H3j	8.6	4.4	Chromatin assembly / disassembly
208046_at	HIST1H4A	Histone cluster 1, H4a	6.7	28.2	Chromatin assembly / disassembly
208551_at	HIST1H4G	Histone cluster 1, H4g	2.3	1.4	Chromatin assembly / disassembly
208181_at	HIST1H4H	Histone cluster 1, H4h	6.1	2.8	Chromatin assembly / disassembly
214634_at	HIST1H4I	Histone cluster 1, H4i	3.6	5	Chromatin assembly / disassembly
219672_at	AHSP	Alpha hemoglobin stabilising protein	1.6	2.6	Heme / globin synthesis
218487_at	ALAD	Aminolevulinate, delta-, dehydratase	1.5	2.4	Heme / globin synthesis
218489_s_at	ALAD	Aminolevulinate, delta-, dehydratase	2	3	Heme / globin synthesis
211560_s_at	ALAS2	Aminolevulinate, delta-, synthase 2 (sideroblastic/hypochromic anemia)	3	6.2	Heme / globin synthesis
216063_at	HBBP1	Hemoglobin, beta pseudogene 1	2.8	6.7	Heme / globin synthesis
205919_at	HBE1	Hemoglobin, epsilon 1	1.8	2.5	Heme / globin synthesis
204848_x_at	HBG1	Hemoglobin, gamma A	2.5	4.1	Heme / globin synthesis
206647_at	HBZ	Hemoglobin, zeta	5.2	34.1	Heme / globin synthesis
222074_at	UROD	Uroporphyrinogen decarboxylase	1.5	1.9	Heme / globin synthesis
