Gene Symbol	Gene Description	Gene Cluster ID	Fold Changes (ATC/ATN)	Function
ARGN	Agrin	Hs.273330	2.18	Adhesion/ECM
CDH24	Caderhrin-like 24	Hs.155912	2.84	Adhesion/ECM
CENTB1	Centaurin, beta 1	Hs.337242	2.43	Adhesion/ECM
CENTG1	Centaurin ,gamma 1	Hs.302435	2.25	Adhesion/ECM
VTN	vitronectin	Hs.2257	2.16	Adhesion/ECM
BGN	biglycan	Hs.821	0.34	Adhesion/ECM
DNM2	dynamin 2	Hs.211463	0.45	Adhesion/ECM
DSTN	destrin (actin depolymerizing factor)	Hs.304192	0.44	Adhesion/ECM
FGA	fibrinogen alpha chain	Hs.351593	0.48	Adhesion/ECM
FGL1	fibrinogen-like 1	Hs.491143	0.44	Adhesion/ECM
FGL2	fibrinogen-like 2	Hs.520989	0.34	Adhesion/ECM
HSPG2	heparan sulfate proteoglycan 2 (perlecan)	Hs.555874	0.44	Adhesion/ECM
LAMA5	laminin, alpha 5	Hs.244352	0.45	Adhesion/ECM
NIN	ninein (GSK3B interacting protein)	Hs.310429	0.45	Adhesion/ECM
PRG4	proteoglycan 4	Hs.432458	0.34	Adhesion/ECM
SDC1	syndecan 1	Hs.224607	0.37	Adhesion/ECM
SDC3	syndecan 3 (N-syndecan)	Hs.158287	0.42	Adhesion/ECM
CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	Hs.370771	2.72	Cell Cycle control
CCRK	cell cycle related kinase	Hs.522274	0.38	Cell Cycle control
CDCA3	cell division cycle associated 3	Hs.524216	0.49	Cell Cycle control
CDCA5	cell division cycle associated 5	Hs.434886	0.37	Cell Cycle control
CDC16	cell division cycle 16 homolog	Hs.374127	0.44	Cell Cycle control
CDK2	cyclin-dependent kinase 2	Hs.19192	0.52	Cell Cycle control
CDK2AP1	CDK2-associated protein 1	Hs.433201	0.62	Cell Cycle control
CDK5	cyclin-dependent kinase 5	Hs.166071	0.42	Cell Cycle control
CDKL5	cyclin-dependent kinase-like 5	Hs.435570	0.47	Cell Cycle control
APC	adenomatosis polyposis coli	Hs.158932	2.27	Malignancy
TIMP1	tissue inhibitor of metalloproteinase 1	Hs.522632	2.12	Malignancy
TIMP2	tissue inhibitor of metalloproteinase 2	Hs.104839	2.72	Malignancy
TIMP3	tissue inhibitor of metalloproteinase 3	Hs.297324	2.33	Malignancy
ELK1	ELK1, member of ETS oncogene family	Hs.181128	0.46	Malignancy
FAP	fibroblast activation protein, alpha	Hs.516493	0.33	Malignancy
MLANA	Melan-A	Hs.154069	0.49	Malignancy
MSP	transmembrane protease, serine 13	Hs.266308	0.42	Malignancy
RRAD	Ras-related associated with diabetes	Hs.1027	0.47	Malignancy
APOA1	apolipoprotein A-I	Hs.93194	2.00	Transport
APOC1	apolipoprotein C-I	Hs.110675	2.26	Transport
HP	haptoglobin	Hs.513711	0.44	Transport
PLTP	phospholipid transfer protein	Hs.439312	2.13	Transport
NFKBIE	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon	Hs.458276	2.11	Transcription/ Translation
EIF3S10	eukaryotic translation initiation factor 3, subunit 10 theta	Hs.523299	0.45	Transcription/ Translation
HIST1H3H	histone 1, H3h	Hs.70937	0.34	Transcription/ Translation
HIST2H2BE	histone 2, H2be	Hs.2178	0.23	Transcription/ Translation
PCAF	P300/CBP-associated factor	Hs.533055	0.42	Transcription/ Translation
POU5F1	POU domain, class 5, transcription factor 1	Hs.249184	0.46	Transcription/ Translation
SPDEF	SAM pointed domain containing ets transcription factor	Hs.485158	0.24	Transcription/ Translation
SFPQ	splicing factor proline/glutamine rich	Hs.355934	0.50	Transcription/ Translation
TCF4	transcription factor 4	Hs.200285	0.42	Transcription/ Translation
TIP120A	Cullin-associated and neddylation-dissociated 1	Hs.546407	0.42	Transcription/ Translation
MST4	Mst3 and SOK1-related kinase	Hs.444247	1.77	Signal Transduction
PRKACA	protein kinase, cAMP-dependent, catalytic, lpha	Hs.194350	1.74	Signal Transduction
PTPN2	protein tyrosine phosphatase, non-receptor type 2	Hs.123352	2.39	Signal Transduction
RAB3-GAP150	RAB3 GTPase-activating protein, non-catalytic subunit	Hs.558471	1.86	Signal Transduction
DKFZp566C0424	Putative MAPK activating protein	Hs.252967	0.45	Signal Transduction
EGR1	early growth response protein 1	Hs.326035	0.41	Signal Transduction
FGF20	fibroblast growth factor 20	Hs.199905	0.31	Signal Transduction
G3BP	Ras-GTPase-activating protein SH3-domain-binding protein	Hs.3353	0.30	Signal Transduction
GRLF1	glucocorticoid receptor DNA binding factor 1	Hs.509447	0.52	Signal Transduction
HIPK2	homeodomain interacting protein kinase 2	Hs.397465	0.25	Signal Transduction
IER3	immediate early response 3	Hs.76095	0.46	Signal Transduction
IGFBP1	insulin-like growth factor binding protein 1	Hs.401316	0.59	Signal Transduction
MAP3K14	mitogen-activated protein kinase kinase kinase 14	Hs.404183	0.53	Signal Transduction
MAP3K8	mitogen-activated protein kinase kinase kinase 8	Hs.432453	0.50	Signal Transduction
MAPK3	mitogen-activated protein kinase 3	Hs.861	0.42	Signal Transduction
MED28	Mediator of RNA polymerase II transcription, subunit 28	Hs.434075	0.44	Signal Transduction
PDE2A	phosphodiesterase 2A, cGMP-stimulated	Hs.503163	0.43	Signal Transduction
PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1	Hs.132225	0.35	Signal Transduction
PLA2R1	phospholipase A2 receptor 1, 180kDa	Hs.410477	0.45	Signal Transduction
PMVK	phosphomevalonate kinase	Hs.30954	0.66	Signal Transduction
PTPRF	Protein tyrosine phosphatase, receptor type, f polypeptide	Hs.530749	0.40	Signal Transduction
PPP2R5C	protein phosphatase 2, regulatory subunit B (B56)	Hs.368264	0.47	Signal Transduction
PRKAR1A	Protein kinase, cAMP-dependent, regulatory, type I, alpha	Hs.280342	0.37	Signal Transduction
SGK2	serum/glucocorticoid regulated kinase 2	Hs.472793	0.42	Signal Transduction
SIPA1L2	signal-induced proliferation-associated 1 like 2	Hs.268774	0.44	Signal Transduction
SLA	Src-like-adaptor	Hs.75367	0.63	Signal Transduction
STAT2	signal transducer and activator of transcription 2	Hs.530595	0.36	Signal Transduction
STAT3	signal transducer and activator of transcription 3	Hs.463059	0.48	Signal Transduction
STAT6	signal transducer and activator of transcription 6	Hs.524518	0.48	Signal Transduction
STK24	serine/threonine kinase 24	Hs.403917	0.42	Signal Transduction
CASP3	caspase 3, apoptosis-related cysteine protease	Hs.141125	2.47	Apoptosis
CIDEB	Cell death-inducing DFFA-like effector b	Hs.448590	1.88	Apoptosis
DDX48	DEAD (Asp-Glu-Ala-Asp) box polypeptide 48	Hs.389649	2.31	Apoptosis
DDX6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6	Hs.408461	2.81	Apoptosis
NK4	Interleukin 32	Hs.943	2.21	Apoptosis
TNFRSF12A	tumor necrosis factor receptor superfamily, member 12A	Hs.355899	2.42	Apoptosis
TP53I11	tumor protein p53 inducible protein 11	Hs.554791	2.32	Apoptosis
DNCL12	Dynein, cytoplasmic, light intermediate polypeptide 2	Hs.369068	2.0	Structural
KPNB1	Karyopherin (importin) beta 1	Hs.532793	0.43	Structural
PRH1	Proline-rich protein Hae III subfamily I	Hs.558369	0.50	Structural
ZZANK1	Mindbomb homolog 2 (Drosophila)	Hs.135805	2.1	Structural
ENPP7	Ectonucleotide pyrophosphate/phosphodiesterase 7	Hs.114084	2.52	Metabolism
GSTPI	Glutathione S-transferase pi	Hs.523836	2.51	Metabolism
NDUFA11	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 11, 14.7 kDa	Hs.406062	2.27	Metabolism
PCSK2	Proprotein convertase subtilisin kexin type 2	Hs.315186	2.17	Metabolism
PDHA1	Pyruvate dehydrogenase (lipoamide) alpha 1	Hs.530331	2.14	Metabolism
PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase	Hs.195471	3.29	Metabolism
PGM2	Phosphoglucomutase	Hs.23363	2.25	Metabolism
SELK	Selenoprotein K	Hs.58471	2.59	Metabolism
COMT	Catechol-O-methyl transferase	Hs.370408	0.42	Metabolism
COX7A2	Cytochrome c oxidase subunit VIIa polypeptide 2	Hs.70312	0.42	Metabolism
CYP3A7	Cytochrome P450, family 3, subfamily A, polypeptide 7	Hs.111944	0.49	Metabolism
CYP11B1	Cytochrome P450, family 11, subfamily B, polypeptide 1	Hs.184927	0.24	Metabolism
DEGS1	Degenerative spermatocyte homolog 1, lipid desaturase	Hs.299878	0.46	Metabolism
HEXB	Hexosaminidase B (beta polypeptide)	Hs.69293	0.47	Metabolism
LYZL6	Lysozyme-like 6	Hs.97477	0.49	Metabolism
NDUFS8	NADH dehgydrogenase (ubiquinone) Fe-S protein 8	Hs.90443	0.23	Metabolism
NPEPL1	Aminopeptidase-like 1	Hs.528513	0.50	Metabolism
NUDT14	Nudix (nucleoside diphosphate linked moiety X)-type motif 14	Hs.526432	0.35	Metabolism
PGK1	Phosphoglycerate kinase 1	Hs.78771	0.49	Metabolism
