Gene symbol	Gene name	dscore
MGC5576	Hypothetical protein MGC5576	?4.7
TTC3	Tetratricopeptide repeat domain 3	?4.3
C9orf154	Chromosome 9 open reading frame 154	?4.2
FLJ13615	Hypothetical protein FLJ13615	?4.1
GPSM1	G-protein signaling modulator 1 (AGS3-like,Caenorhabditis elegans)	?4.0
PPP3CA	Protein phosphatase 3, catalytic subunit, ? isoform	?3.9
MGC:13379	HSPC244	?3.9
GPSM1	G-protein signaling modulator 1 (AGS3-like, C. elegans)	?3.9
TCEA2	Transcription elongation factor A (SII), 2	?3.8
KIAA1223	KIAA1223 protein	?3.8
CD99	CD99 antigen	?3.7
PPA2	Inorganic pyrophosphatase 2	?3.7
SMARCA1	SWI/SNF related, matrix-associated, actin-dependent regulator of chromatin, subfamily A, member 1	?3.7
LAMB2	Laminin ?2 (laminin S)	?3.6
SEC15L	SEC15 (S. cerevisiae)-like	?3.6
