Component	Gene Symbol	Fold
CM1-HT0762-309-F07	LCN2	-12.4490399
QV4-UM0094-136-E11	ACSL5	-7.66965323
CM0-FN0044-384-G02	TJP2	-6.734062266
RC3-CI0043-013-G06	PPHLN1	-4.417086673
PM0-AN0087-011-G10	C15orf48	-4.303376744
PM3-LT0032-001-A04	DPP4	-4.082418851
QV3-HT0513-125-F06	GSN	-4.0553893
RC0-HT0771-031-D04	PIM1	-3.424922486
MR4-RT0048-012-B02	HLA-F	-3.414108744
RC2-BN0405-011-E10	FES	-3.382321302
RC1-BT0254-013-C12	UGCGL2	-3.331317885
QV1-DT0068-072-H01	CHMP2A	-3.306270996
MR4-HT1052-003-C03	SPINT2	-3.293572276
QV0-EN0059-444-F03	F11R	-3.289723611
QV3-HT0636-306-C12	FOSL2	-3.263674907
QV3-FT0209-455-G06	TMEM38A	-3.166804986
CM2-BT0306-034-H10	CRYL1	-3.100663772
MR2-EN0092-002-F04	TAF12	-3.080646813
PM3-FT0024-004-C07	CITED2	-3.075713932
RC1-BN0014-011-A12	RBM41	-2.900430789
QV1-FT0037-241-G06	IRF7	-2.869305963
QV0-CT0224-029-D06	ETHE1	-2.823156435
MR0-HT0241-011-F12	GNAL	-2.822931859
PM0-NN1173-003-F01	TOM1L2	-2.77425029
RC3-CT0254-210-C04	RNF141	-2.753189135
QV3-NN1023-169-C11	ALG9	-2.71057664
CM2-BT0753-162-C12	CDK6	-2.684319876
QV0-CT0225-086-A08	KIAA1522	-2.662795735
MR4-NT0141-201-A12	SOD2	-2.619909096
QV3-HT0461-103-E08	CD97	-2.60129772
QV0-CT0225-198-B03	PXDN	-2.585729692
RC0-BN0050-031-D12	GCNT1	-2.5340952
QV2-OT0034-289-C07	NPEPL1	-2.520699588
RC3-CT0254-028-H07	GPR35	-2.516709425
RC0-LT0070-011-A03	TCHP	-2.468450075
RC1-MT0159-021-H07	KIAA1949	-2.464127097
MR4-UM0021-008-E09	PLTP	-2.455097918
CM1-TN0136-437-F11	CLIC1	-2.438177944
MR0-GN0176-201-C01	FAM32A	-2.409508917
IL0-HT0198-126-C07	AGPAT4	-2.361084765
QV1-BT0259-021-D05	CD276	-2.321617331
MR3-ET0251-001-D07	EFHD1	-2.272652742
QV1-DT0069-067-E02	SORBS3	-2.247064104
QV1-HT0638-200-A03	P4HB	-2.224092202
CM0-HT1297-785-D02	PHF17	-2.191936811
QV3-OT0065-264-E12	UBE2L6	-2.112815096
QV1-ET0178-525-E08	TRADD	-2.096777445
MR3-ST0203-024-F08	CDKN1B	-2.071703044
CM3-LT0079-120-E11	ERGIC3	-2.068936677
MR1-HT1068-009-F04	KIAA1462	-2.032631176
MR3-ST0203-208-C01	SCYL2	2.028320152
QV2-CI0106-609-F08	ENC1	2.069377894
QV2-LT0051-097-F09	ZDHHC3	2.078642277
PM0-HT1166-002-E09	THOC1	2.104127113
QV3-DT0045-063-F01		2.152972498
RC0-CT0323-011-C02	RP11-311P8.3	2.18246228
PM0-HT0346-002-A08	HAT1	2.20319048
CM1-BT0738-205-G06		2.221055312
CM0-UT0005-536-B08	NRP1	2.237994987
QV0-HT0366-087-A05	LOC51136	2.247704748
RC2-FN0094-018-G10	BTBD6	2.25662704
QV0-CI0197-500-A06	SH3BP4	2.259128959
RC0-CT0317-031-B07	EHHADH	2.284345073
MR0-BN0070-007-E07	SEL1L	2.370036787
CM3-HT0511-085-D09	TGFB2	2.400118996
CM1-NN1006-154-D12		2.419336804
RC4-CI0167-011-H03	VRK2	2.432226217
QV1-DT0069-067-F01	ELN	2.517585401
PM0-CT0325-002-A09		2.562655608
RC2-CI0089-013-G11	USP1	2.609089157
QV1-LT0037-100-D07	HSPH1	2.73006568
RC1-IT0013-022-C08		2.825360134
MR3-SN0009-107-B03	USP38	2.878124334
MR4-ST0240-027-C01	ARS2	3.21970947
CM1-UM0031-169-B08	OSR2	3.235715865
QV0-HT0368-181-C05	EIF5B	3.371993178
CM0-CT0507-544-H10		3.681175157
QV1-EN0042-233-E06	DYNC1H1	4.120698388
RC1-PT0027-011-D07	SYP	4.16445218
