Gene names	Accession Numbers	Monocytes	Macrophages	Immature DCs	MatureDCs
Acid phosphatase 5, tartrate resistant	AI680145	-2.20	1.97	-0.27	-0.04
Apolipoprotein C-I	AI096741	-1.40	2.44	-0.76	-0.27
EST similar to phospholipase D3	BE743194	-1.29	1.47	-0.60	-0.87
chitinase 3-like 1 (cartilage glycoprotein 39)	BF343234	-0.74	1.98	-0.96	-0.90
complement C2	NM_000063	-1.40	1.05	-0.39	-0.05
TNF superfamily, member 13	R16934	-0.93	1.49	-1.01	0.45
galectin 3	BF183078	-1.11	1.03	-0.03	0.08
Cathepsin D	M11233	-0.93	1.17	-0.73	-0.97
Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 898037	AI683265	-1.00	0.95	-0.63	-0.88
cathepsin K/O	X82153	-0.45	1.31	-0.62	-0.23
ATPase, H+ transporting, lysosomal (vacuolar proton pump) 21 kD	BE407238	-0.83	0.93	-0.05	-0.15
chromosome 8 open reading frame 2	AI968377	-0.53	1.16	-0.05	-0.60
ESTs	AA743411	-0.76	0.92	-0.27	-0.43
CGI-81 protein	H98662	-0.53	1.12	-0.68	0.10
BCL-related protein A1	NM_004049	0.19	1.39	-1.52	-0.00
neutrophil cytoslic factor 2	M32011	-0.72	0.73	-0.22	-0.23
hypothetical protein FLJ2072	AI276944	-0.28	1.06	-0.51	-0.27
desmoglein-2 (desmosomal cadherin subfamily)	NM_001943	-0.11	1.17	-0.53	-0.53
EST	BE219082	0.03	1.29	0.19	-1.13
four and a half LIM domains 3	BF220053	0.05	1.31	0.03	-1.39
basement-induced gene	AF044896	-0.13	1.13	-0.23	-0.76
TRAM-like protein	NM_012288	0.06	1.26	-0.13	-1.20
CD11c	M81695	-0.55	0.59	-0.57	-0.91
lipoma HMGIC fusion partner-like 2	D86961	-0.38	0.74	-0.36	-0.19
EST	AI689677	-0.40	0.67	-0.34	-0.61
ILT1/LIR7	U82275	-0.19	0.86	0.02	-0.65
KIAA1052 protein	AA523268	-0.40	0.60	-0.34	-0.54
