LocusLink	Name
90	Activin A receptor, type I
308	Annexin A5
329	Baculoviral IAP repeat-containing 2
444	Aspartate beta-hydroxylase
498	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1, cardiac muscle
501	Aldehyde dehydrogenase 7 family, member A1
714	Complement component 1, q subcomponent, gamma polypeptide
819	Calcium modulating ligand
959	CD40 ligand (TNF superfamily, member 5, hyper-IgM syndrome)
983	Cell division cycle 2, G1 to S and G2 to M
1022	Cyclin-dependent kinase 7 (MO15 homolog, Xenopus laevis, cdk-activating kinase)
1066	Carboxylesterase 1 (monocyte/macrophage serine esterase 1)
1073	Cofilin 2 (muscle)
1193	Chloride intracellular channel 2
1266	Calponin 3, acidic
1301	Collagen, type XI, alpha 1
1347	Cytochrome c oxidase subunit VIIa polypeptide 2 (liver)
1370	Carboxypeptidase N, polypeptide 2, 83kD
1408	Cryptochrome 2 (photolyase-like)
1595	Cytochrome P450, family 51, subfamily A, polypeptide 1
1635	DCMP deaminase
1666	2,4-dienoyl CoA reductase 1, mitochondrial
1825	Desmocollin 3
1902	Endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2
1911	Polyhomeotic-like 1 (Drosophila)
1977	Eukaryotic translation initiation factor 4E
2060	Epidermal growth factor receptor pathway substrate 15
2115
2487	Frizzled-related protein
2590	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2)
2669	GTP binding protein overexpressed in skeletal muscle
2710	Glycerol kinase
2745	Glutaredoxin (thioltransferase)
2869	G protein-coupled receptor kinase 5
2887	Growth factor receptor-bound protein 10
2913	Glutamate receptor, metabotropic 3
2919	Chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)
2922	Gastrin-releasing peptide
2926	G-rich RNA sequence binding factor 1
2936	Glutathione reductase
3028	Hydroxyacyl-Coenzyme A dehydrogenase, type II
3195	T-cell leukemia, homeobox 1
3267	HIV-1 Rev binding protein
3356	5-hydroxytryptamine (serotonin) receptor 2A
3364	HUS1 checkpoint homolog (S. pombe)
3597	Interleukin 13 receptor, alpha 1
3600	Interleukin 15
