Score	FDR	Fold change	Description	Gene ID
32.45	0.0041	2.24	Immediate early response 3	201631_s_at
29.7	0.0041	2.13	Pleckstrin homology-like domain, family A, member 2	209803_s_at
26.36	0.0041	2.53	High-mobility group protein isoform I-C	208025_s_at
25.15	0.0041	2.21	Dual-specificity phosphatase 5	209457_at
25.05	0.0041	2.5	Transforming growth factor, ?	205016_at
24.94	0.0041	4.19	Dual specificity phosphatase 6	208892_s_at
24.89	0.0041	2.3	V-jun sarcoma virus 17 oncogene homologue (avian)	201464_x_at
23.06	0.0041	3.64	Dual-specificity phosphatase 4	204014_at
20.8	0.0041	2.36	Putative lymphocyte G0G1 switch gene	213524_s_at
20.32	0.0041	2.14	EphA2	203499_at
20	0.0041	2.26	CYR61	210764_s_at
19.78	0.0041	3.05	FOS-like antigen-1	204420_at
16.77	0.0041	2.38	Cyclin D1	208712_at
15.36	0.0041	2.08	Vascular endothelial growth factor	210512_s_at
14.82	0.0041	2.5	Interleukin 11	206924_at
14.77	0.0041	2.1	CX3C chemokine precursor	823_at
14.16	0.0041	2.94	Coagulation factor III	204363_at
11.63	0.0041	2.58	Novel MAFF-like protein	36711_at
