Affymetrix ID	Fold Induction	Common name	Description
1384247_at	0.199		Transcribed sequences
1380198_at	0.22		Transcribed sequence with weak  similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1379034_at	0.252		Transcribed sequences
1393783_at	0.274		UI-R-AD1-zl-c-01-0-UI.s1 UI-R-AD1 Rattus norvegicus cDNA clone UI-R-AD1-zl-c-01-0-UI 3, mRNA sequence.
1391146_at	0.276		Transcribed sequence with moderate similarity to protein ref:NP_286085.1 (E. coli)  beta-D-galactosidase [Escherichia coli O157:H7 EDL933]
1396289_at	0.287		Similar to MAM domain containing glycosylphosphatidylinositol anchor 1; glycosyl-phosphatidyl-inositol-MAM (LOC309659), mRNA
1397975_at	0.311		Transcribed sequences
1385607_at	0.317	Gng5	G protein gamma-5 subunit
1396237_at	0.324		Transcribed sequences
1387809_at	0.337	Map2k6	mitogen-activated protein kinase kinase 6
1383257_at	0.341		Similar to hypothetical protein (LOC302920), mRNA
1373023_at	0.341		Similar to RIKEN cDNA 2010200I23 (LOC300857), mRNA
1391908_at	0.348		Similar to Rxrip110 protein (LOC361209), mRNA
1395134_at	0.348		UI-R-C0-iy-g-02-0-UI.s1 UI-R-C0 Rattus norvegicus cDNA clone UI-R-C0-iy-g-02-0-UI 3, mRNA sequence.
1382319_at	0.353		Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1397361_x_at	0.359		Transcribed sequence with moderate similarity to protein pir:S12207 (M.musculus) S12207 hypothetical protein
1392246_at	0.36		Similar to RA175 (LOC363058), mRNA
1373218_at	0.367		Transcribed sequences
1384614_at	0.368		Transcribed sequence with moderate similarity to protein pir:S12207 (M.musculus) S12207 hypothetical protein
1376424_at	0.372		Transcribed sequences
1373333_at	0.375		Similar to Microsomal signal peptidase 23 kDa subunit (SPase 22 kDa subunit) (SPC22/23) (LOC317409), mRNA
1376562_at	0.379		Similar to misshapen/NIK-related kinase isoform 2; GCK family kinase MINK; serine/threonine protein kinase (LOC294917), mRNA
1374775_at	0.379		Similar to Ki-67 (LOC291234), mRNA
1377528_at	0.382		Transcribed sequences
1393508_at	0.384		Transcribed sequences
1385235_at	0.385		Similar to hypothetical protein (LOC302920), mRNA
1371412_a_at	0.387		Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1368078_at	0.392	Esm1	endothelial cell-specific molecule 1
1379741_at	0.392		Transcribed sequences
1398050_at	0.396		Transcribed sequences
1391072_at	0.397		EST238361 Normalized rat placenta, Bento Soares Rattus sp. cDNA clone RPLDH93 3 end, mRNA sequence.
1385053_at	0.407		UI-R-CA0-axg-g-06-0-UI.s1 UI-R-CA0 Rattus norvegicus cDNA clone UI-R-CA0-axg-g-06-0-UI 3, mRNA sequence.
1368570_at	0.413	Lrat	lecithin-retinol acyltransferase
1392401_s_at	0.415	Myh7	myosin heavy chain, polypeptide 7
1394324_at	0.415		Transcribed sequences
1372268_at	0.417		Transcribed sequences
1378288_at	0.42		Similar to RIKEN cDNA D630035O19 (LOC303879), mRNA
1383130_at	0.421		Similar to hypothetical protein (LOC302920), mRNA
1379092_at	0.422		Transcribed sequences
1397227_at	0.424		Similar to RIKEN cDNA 9030603L14 (LOC308134), mRNA
1381311_at	0.424		Similar to cell surface glycoprotein (LOC316137), mRNA
1375728_at	0.432		UI-R-C2p-oj-d-06-0-UI.s1 UI-R-C2p Rattus norvegicus cDNA clone UI-R-C2p-oj-d-06-0-UI 3, mRNA sequence.
1381591_at	0.439		Transcribed sequences
1392769_at	0.44		Transcribed sequences
1385082_at	0.44		UI-R-BS1-azt-h-02-0-UI.s1 UI-R-BS1 Rattus norvegicus cDNA clone UI-R-BS1-azt-h-02-0-UI 3, mRNA sequence.
1371756_at	0.44		Ultraviolet B radiation-activated UV103 mRNA, partial sequence
1377587_at	0.442		Similar to chromosome 20 open reading frame 86 (LOC296417), mRNA
1376693_at	0.444		Transcribed sequence with weak  similarity to protein ref:NP_060124.1 (H.sapiens)  hypothetical protein FLJ20073 [Homo sapiens]
1379307_at	0.444	Sap1	sodium channel associated protein 1
1397760_at	0.445		Transcribed sequences
1392778_at	0.447		Transcribed sequences
1380180_at	0.447		Transcribed sequences
1396997_at	0.45		Transcribed sequences
1378111_at	0.453		Transcribed sequences
1381556_at	0.455		Transcribed sequences
1375155_at	0.459		UI-R-CA1-bjr-b-06-0-UI.s1 UI-R-CA1 Rattus norvegicus cDNA clone UI-R-CA1-bjr-b-06-0-UI 3, mRNA sequence.
1382546_at	0.459		Similar to CLLL8 protein; chromosome 13 open reading frame 4 (LOC305931), mRNA
1369543_s_at	0.463	Gs3	putative regulation protein GS3
1395455_at	0.463		Transcribed sequences
1385637_at	0.464		Similar to polydom protein (LOC313191), mRNA
1385123_at	0.466		Similar to Ik protein (LOC291659), mRNA
1377592_at	0.467		Similar to zinc finger protein, multitype 2 (LOC362904), mRNA
1370342_at	0.468	Kcnk2	potassium channel, subfamily K, member 2
1396930_x_at	0.471		Transcribed sequence with weak  similarity to protein pdb:1JZ5 (E. coli) B Chain B, E. Coli
1387112_at	0.471	Plp	proteolipid protein
1381273_at	0.472		UI-R-BS0-amp-f-04-0-UI.s1 UI-R-BS0 Rattus norvegicus cDNA clone UI-R-BS0-amp-f-04-0-UI 3, mRNA sequence.
1394589_at	0.475		Transcribed sequences
1378722_at	0.476		Transcribed sequences
1383343_at	0.476		Transcribed sequences
1393156_at	0.479	Masp2	UI-R-CW0-bwd-c-08-0-UI.s1 UI-R-CW0 Rattus norvegicus cDNA clone UI-R-CW0-bwd-c-08-0-UI 3, mRNA sequence.
1387461_at	0.479	Oprm1	opioid receptor, mu 1
1385320_at	0.479		Similar to Pdz-containing protein (LOC317379), mRNA
1392886_a_at	0.48		UI-R-A0-ad-c-10-0-UI.s1 UI-R-A0 Rattus norvegicus cDNA clone UI-R-A0-ad-c-10-0-UI 3, mRNA sequence.
1379779_at	0.48		Transcribed sequence with moderate similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1385239_at	0.48		Transcribed sequences
1374832_at	0.481		Transcribed sequences
1398440_at	0.481		Similar to SR rich protein (LOC297942), mRNA
1392962_at	0.481		Transcribed sequences
1380376_at	0.482		Transcribed sequence with moderate similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1381350_at	0.487	Idb4	inhibitor of DNA binding 4
1391330_at	0.488		Similar to axonemal dynein heavy chain 7 (LOC306232), mRNA
1378565_at	0.488		Transcribed sequences
1379494_at	0.488		Similar to hypothetical protein BC008207 (LOC306387), mRNA
1396175_at	0.492		Transcribed sequence with weak  similarity to protein sp:P35789 (H.sapiens) ZN93_HUMAN Zinc finger protein 93
1390096_at	0.492		Transcribed sequences
1389768_at	0.493		Similar to RIKEN cDNA 5031409J19 (LOC301266), mRNA
1379931_at	0.493		Transcribed sequences
1379297_at	0.495		Similar to myelin basic protein expression factor 2, repressor (LOC362207), mRNA
1393686_at	0.496		Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1389341_at	0.497		Similar to plexin D1; KIAA0620 protein (LOC312652), mRNA
1381787_at	0.498	Myh7	myosin heavy chain, polypeptide 7
1390783_at	0.5		Similar to ATP-binding cassette transporter sub-family A member 8a (LOC303638), mRNA
1386509_x_at	0.501		EST228044 Normalized rat embryo, Bento Soares Rattus sp. cDNA clone REMDJ04 3 end, mRNA sequence.
1394448_at	0.502		Transcribed sequence with moderate similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1392887_at	0.504		Transcribed sequences
1398881_at	0.505	Ddb1	damage-specific DNA binding protein 1
1393592_at	0.505		Transcribed sequences
1385597_at	0.505		Transcribed sequence with weak  similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1398627_at	0.506		Transcribed sequences
1382604_at	0.508		Transcribed sequences
1372434_at	0.509	Cip98	CASK-interacting protein CIP98
1398407_at	0.509		Transcribed sequences
1383079_at	0.509		Transcribed sequence with weak  similarity to protein ref:NP_497897.1 (C.elegans)  RNA binding protein [Caenorhabditis elegans]
1395553_at	0.51		Similar to KRAB-containing zinc-finger protein KRAZ2 (LOC304337), mRNA
1376648_at	0.51	Mycn	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)
1382913_at	0.511	Cbp90	brain specific cortactin-binding protein CBP90
1376363_at	0.512		Similar to ARP10 actin-related protein 10 homolog (LOC299121), mRNA
1380045_at	0.513		Transcribed sequences
1375496_at	0.515		Transcribed sequences
1386437_at	0.515		UI-R-C0-iw-g-10-0-UI.s1 UI-R-C0 Rattus norvegicus cDNA clone UI-R-C0-iw-g-10-0-UI 3, mRNA sequence.
1368698_at	0.517	Atp2b2	ATPase, Ca++ transporting, plasma membrane 2
1389721_at	0.517		Transcribed sequences
1368432_a_at	0.519	Ros1	v-ros UR2 sarcoma virus oncogene homolog 1 (avian)
1391976_at	0.519		Transcribed sequences
1392637_at	0.52		Transcribed sequences
1388469_at	0.52		Rat insulin-like growth factor I mRNA, 3 end of mRNA
1374546_at	0.52		Transcribed sequences
1369530_at	0.521	Isl2	insulin related protein 2
1390159_at	0.522		Similar to RAS guanyl releasing protein 3 (calcium and DAG-regulated); guanine nucleotide exchange factor for Rap1 (LOC313874), mRNA
1370344_at	0.522	Hspa4	heat shock 70 kDa protein 4
1397167_at	0.522		UI-R-C4-alm-d-12-0-UI.s1 UI-R-C4 Rattus norvegicus cDNA clone UI-R-C4-alm-d-12-0-UI 3, mRNA sequence.
1382399_at	0.523		Similar to hypothetical protein DKFZp434K1421 (LOC303346), mRNA
1393339_at	0.523		Transcribed sequences
1379887_at	0.523		Similar to chromosome 2 open reading frame 3; transcription factor 9 (binds GC-rich sequences) (LOC312474), mRNA
1389034_at	0.523		Transcribed sequence with weak  similarity to protein sp:Q9UMW8 (H.sapiens) UBPI_HUMAN Ubiquitin carboxyl-terminal hydrolase 18
1387197_at	0.524	Omd	osteomodulin (osteoadherin)
1379534_at	0.524		Transcribed sequences
1389079_at	0.525		Similar to DKFZP566O084 protein (LOC287411), mRNA
1390489_at	0.526		Transcribed sequences
1386042_at	0.527		Transcribed sequences
1381930_at	0.527	Cct5	chaperonin containing TCP1, subunit 5 (epsilon)
1368737_at	0.527	Smr2	SMR2
1377950_at	0.528		Transcribed sequences
1382255_at	0.528		UI-R-BJ1-avd-e-09-0-UI.s1 UI-R-BJ1 Rattus norvegicus cDNA clone UI-R-BJ1-avd-e-09-0-UI 3, mRNA sequence.
1380672_at	0.529		Transcribed sequences
1368924_at	0.53	Ghr	growth hormone receptor
1396214_at	0.531	Kitl	kit ligand
1378371_at	0.531		Transcribed sequences
1385051_at	0.532		Similar to Gbp3 protein (LOC310917), mRNA
1391861_at	0.533		Similar to muscle-derived protein MDP77 variant 1 (LOC308622), mRNA
1392128_at	0.533		Transcribed sequences
1368865_at	0.534	Synpr	synaptorin
1381243_at	0.534		Transcribed sequences
1381860_at	0.535	Add2	UI-R-BJ2-bpw-e-05-0-UI.s1 UI-R-BJ2 Rattus norvegicus cDNA clone UI-R-BJ2-bpw-e-05-0-UI 3, mRNA sequence.
1368712_at	0.536	Znf386	zinc finger protein 386 (Kruppel-like)
1391580_at	0.537		Similar to Nit protein 2 (LOC288174), mRNA
1368992_a_at	0.537	Sfrs5	splicing factor, arginine/serine-rich 5
1389561_at	0.537		Similar to RIKEN cDNA 1810021J13 (LOC300516), mRNA
1393540_at	0.538		UI-R-A1-dr-b-09-0-UI.s3 UI-R-A1 Rattus norvegicus cDNA clone UI-R-A1-dr-b-09-0-UI 3, mRNA sequence.
1387226_at	0.538	Inexa	synonyms: Ina, Nf66, Intlaa; internexin neuronal intermediate filament protein alpha; Rattus norvegicus internexin, alpha (Inexa), mRNA.
1377612_at	0.539		Similar to N-terminal aceyltransferase 1 (LOC310399), mRNA
1381085_at	0.539		Transcribed sequences
1374244_at	0.539		Transcribed sequences
1377036_at	0.54		UI-R-BT1-aql-e-07-0-UI.s1 UI-R-BT1 Rattus norvegicus cDNA clone UI-R-BT1-aql-e-07-0-UI 3, mRNA sequence.
1376232_at	0.54		Transcribed sequences
1387618_at	0.54	Bcl2l10	BCL2-like 10 (apoptosis facilitator)
1371015_at	0.54	Mx1	myxovirus (influenza virus) resistance
1383021_at	0.54	T13	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 13
