Unigene	Gene name	Description	Map	Avg tumor/avg mucosa
Hs.272789	MS4A12	membrane-spanning 4-domains, subfamily A, member 12 (MS4A12), mRNA.	11q12	0.122010737
Hs.3068	SMARCA3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 3 (SMARCA3), transcript variant 1, mRNA.	3q25.1-q26.1	0.136500137
Hs.232165	PRV1	polycythemia rubra vera 1 (PRV1), mRNA.	19q13.2	0.143864192
Hs.5462	SLC4A4	solute carrier family 4, sodium bicarbonate cotransporter, member 4 (SLC4A4), mRNA.	4q21	0.175100683
Hs.389311	MGC13057	hypothetical protein MGC13057 (MGC13057), mRNA.	2q32.2	0.228206298
Hs.370036	CCR7	chemokine (C-C motif) receptor 7 (CCR7), mRNA.	17q12-q21.2	0.242718447
Hs.370140	HELZ	Hypothetical protein LOC284019	17q24.2	0.25503698
Hs.460499	ATXN2L	ataxin 2-like (ATXN2L), transcript variant F, mRNA.	16p11	0.264900662
Hs.120949	CD36	CD36 antigen (collagen type I receptor, thrombospondin receptor) (CD36), transcript variant 3, mRNA.	7q11.2	0.272182907
Hs.408730	CNTNAP1	contactin associated protein 1 (CNTNAP1), mRNA.	17q21	0.291630213
Hs.462492	USP22	PREDICTED: ubiquitin specific protease 22 (USP22), mRNA.	17	0.294464075
Hs.15154	SRPX	sushi-repeat-containing protein, X-linked (SRPX), mRNA.	Xp21.1	0.294724433
Hs.275775	SEPP1	selenoprotein P, plasma, 1 (SEPP1), mRNA.	5q31	0.3066544
Hs.534115	ADAMTS1	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1 (ADAMTS1), mRNA.	21q21.2	0.315258512
Hs.516994	TP53INP2	tumor protein p53 inducible nuclear protein 2 (TP53INP2), mRNA.	20q11.22	0.322372663
Hs.191334	UNG	uracil-DNA glycosylase (UNG), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.	12q23-q24.1	0.335683115
Hs.288771	DKFZP586A0522	DKFZP586A0522 protein (DKFZP586A0522), mRNA.	12q13.12	0.344946533
Hs.311193	LOC199800	PREDICTED: hypothetical protein LOC199800 (LOC199800), mRNA.	19	0.346860909
Hs.7353	APG4C	APG4 autophagy 4 homolog C (S. cerevisiae)	1p31.3	0.350508237
Hs.511425	SRP9	signal recognition particle 9kDa (SRP9), mRNA.	1q42.12	0.355998576
Hs.505705	MYL6	myosin, light polypeptide 6, alkali, smooth muscle and non-muscle (MYL6), transcript variant 2, mRNA.	12q13.2	0.358166189
