Gene	Unigene accession	Gene symbol	Fold change
Fibroblast growth factor 18	Hs.49585	FGF18	21.11
Urotensin 2	Hs.162200	UTS2	13
FBJ murine osteosarcoma viral oncogene homologue B	Hs.75678	FOSB	12.13
Homeobox A9	Hs.127428	HOXA9	6.5
Homeobox A5	Hs.37034	HOXA5	4.92
CD44-Human CD44 antigen precursor	Hs.285173	CD44	4.92
CD69 (p60, early T-cell activation antigen)	Hs.82401	CD69	4.59
H2B histone family, member A	Hs.352109	H2BFA	4
Piccolo (presynaptic cytomatrix protein)	Hs.12376	PCLO	4
Phospholipase A2, group IVA	Hs.211587	PLA2G4A	3.73
Cell division cycle 2-like 5	Hs.59498	CDC2L5	3.73
DEAD/H box polypeptide 17 (72 kDa)	Hs.349121	DDX17	3.73
Homeobox B5	Hs.22554	HOXB5	3.48
KIAA1110 protein	Hs.22479	KIAA1110	3.48
Serine/arginine repetitive matrix 1	Hs.18192	SRRM1	3.25
Rabconnectin-3	Hs.13264	RC3	3.25
Protease, serine 23	Hs.25338	SPUVE	3.03
Pre-B-cell leukemia transcription factor	Hs.294101	PBX3	3.03
Pim-1 oncogene	Hs.81170	PIM1	3.03
RNA-binding protein gene with multiple splicing	Hs.80248	RBPMS	3.03
Testis specific protein 1	Hs.2042	TPX1	3.03
Heterogeneous nuclear ribonucleoprotein A1	Hs.249495	HNRPA1	3.03
Insulin-like growth factor binding protein 4	Hs.1516	IGFBP4	2.83
Spinocerebellar ataxia 7	Hs.108447	SCA7	2.83
Protein kinase, lysine deficient 1	Hs.184592	PRKWNK1	2.83
Bullous pemphigoid antigen 1	Hs.198689	BPAG1	2.83
Sex determining region Y (SRY)-box 4	Hs.83484	SOX4	2.83
Polymerase II polypeptide B	Hs.296014	POLR2B	2.83
H2A histone family member O	Hs.795	H2AFO	2.83
Nuclear receptor interacting protein 1	Hs.155017	NR1P1	2.64
Hepatic leukemia factor	Hs.250692	HLF	2.64
Interleukin-1, ?	Hs.1722	IL1A	2.64
Homeobox A6	Hs.248073	HOXA6	2.64
Signal transducer and activator of transcription 1	Hs.21486	STAT1	2.64
Protein tyrosine phosphatase, nonreceptor type 13	Hs.211595	PTPN13	2.46
Hematopoietic PBX-interacting protein	Hs.8068	HPIP	2.46
Eukaryotic translation initiation factor 4 ?, 3	Hs.25732	EIF4G3	2.3
Rab6 GTPase activating protein	Hs.55099	GAPCENA	2.3
Myeloid/lymphoid or mixed-lineage leukemia; t(3)	Hs.404	MLLT3	2.3
Leptin receptor	Hs.226627	LEPR	2.3
IFN-stimulated transcription factor 3, ?	Hs.1706	ISGF3G	2.14
3-Hydroxy-3-methylglutaryl-CoenzymeA synthase 1	Hs.77910	HMGCS1	2.14
Adducin 3 (?)	Hs.324470	ADD3	2.14
Homeobox A7	Hs.355540	HOXA7	2.14
Runt-related transcription factor 1	Hs.129914	RUNX1	2.14
Aldehyde dehydrogenase 1 family, member A1	Hs.76392	ALDH1A1	2.14
Meis1	Hs.170177	MEIS1	2
Interleukin-7	Hs.72927	IL7	2
Dual specificity phosphatase 1	Hs.171695	DUSP1	1.87
BCL2-associated X protein	Hs.159428	BAX	1.87
CCAAT/enhancer binding protein ?	Hs.76171	CEBPA	?1.87
CD9 (p24)	Hs.1244	CD9	?2.00
Platelet/endothelial cell adhesion molecule (CD31 antigen)	Hs.78146	PECAM1	?2.00
Metallothionein 1G	Hs.334409	MT1G	?2.14
Metallothionein 1X	Hs.278462	MT1X	?2.14
Metallothionein 2A	Hs.118786	MT2A	?2.14
S100 calcium binding protein A8	Hs.100000	S100A8	?2.64
Wingless-type MMTV integration site family, member 5B	Hs.306051	WNT5B	?2.64
Hemoglobin, ?1	Hs.272572	HBA1	?2.83
Hemoglobin, ?2	Hs.347939	HBA2	?3.03
Hemoglobin, ?1	Hs.117848	HBE1	?3.25
Hemoglobin, ?A	Hs.266959	HBG1	?4.00
Hemoglobin, ?	Hs.36977	HBD	?4.59
Hemoglobin, ?	Hs.155376	HBB	?4.92
Platelet factor 4	Hs.81564	PF4	?8.00
