Symbol	2^-deltaCt AMSC (Test)	2^-deltaCt  BMSC (control)	p value	Fold Change
ABCG2	4.40E-11	5.23E-11	0.401817	-1.18
ACTC	4.40E-09	5.94E-10	0.054867	7.4
ADAR	1.10E-08	1.10E-08	0.972501	-1
AGC1	1.30E-08	1.99E-08	0.144442	-1.59
ALDH1A1	1.80E-10	3.00E-11	0.000104	5.9
ALDH2	1.00E-08	3.44E-09	0.000168	2.9
APC	5.40E-09	5.69E-09	0.809078	-1.05
AXIN1	9.80E-10	6.84E-10	0.151154	1.43
BGLAP	3.70E-10	3.13E-10	0.597156	1.2
BMP1	5.80E-09	7.25E-09	0.349542	-1.25
BMP2	1.30E-10	2.91E-11	4.60E-06	4.52
BTRC	3.50E-09	3.82E-09	0.597288	-1.08
CCNA2	1.30E-09	1.00E-09	0.16866	1.31
CCND1	6.00E-08	5.43E-08	0.630021	1.1
CCND2	1.80E-09	3.67E-10	0.00195	4.83
CCNE1	9.70E-10	8.84E-10	0.787594	1.1
CD4	3.50E-11	5.21E-10	9.89E-07	-15.03
CD44	1.30E-07	7.03E-08	0.005127	1.89
CDC2	8.70E-10	5.61E-10	0.247642	1.54
CDC42	9.90E-08	6.71E-08	0.042367	1.48
CDH1	1.70E-10	5.20E-11	0.040259	3.22
CDH2	4.40E-08	2.15E-08	0.005685	2.03
COL1A1	6.60E-06	5.53E-06	0.318607	1.2
CTNNA1	8.30E-08	6.93E-08	0.30144	1.2
CXCL12	6.00E-08	1.81E-07	1.19E-05	-3.03
DTX2	5.30E-10	2.45E-10	0.013607	2.17
DVL1	5.50E-11	2.99E-11	0.026924	1.83
EP300	5.80E-09	4.92E-09	0.25316	1.18
FGF1	1.30E-09	2.20E-09	0.09228	-1.69
FGF2	1.60E-08	3.92E-09	0.000242	4.07
FGFR1	2.00E-08	1.80E-08	0.526709	1.11
FRAT1	2.30E-10	7.10E-11	0.005555	3.26
FZD1	1.40E-08	7.37E-09	0.002134	1.85
GCN5L2	3.40E-09	1.56E-09	0.004052	2.19
GJA1	5.90E-08	1.14E-07	0.002927	-1.94
GJB1	3.00E-11	2.91E-11	0.340893	1.04
GJB2	1.00E-10	3.01E-11	0.033705	3.47
HDAC2	7.10E-09	3.10E-09	0.006715	2.28
HSPA9B	4.10E-08	1.93E-08	0.005576	2.13
IGF1	6.20E-09	9.70E-10	0.000224	6.36
IPF1	2.90E-11	2.93E-11	0.150413	-1.01
ISL1	2.90E-11	2.95E-11	0.340893	-1.01
JAG1	7.10E-10	3.61E-09	0.006516	-5.07
MME	6.70E-08	2.44E-09	3.15E-05	27.54
MSX1	2.40E-09	2.20E-10	3.37E-05	10.84
MYC	8.60E-09	5.09E-09	0.010741	1.7
MYST1	2.50E-09	1.08E-09	0.004387	2.27
MYST2	4.60E-09	3.63E-09	0.122224	1.27
NCAM1	6.20E-11	5.69E-11	0.833545	1.1
NOTCH1	2.80E-10	2.07E-10	0.207195	1.33
NOTCH2	3.00E-08	5.77E-08	1.00E-05	-1.95
NUMB	2.30E-08	1.78E-08	0.080695	1.3
OPRS1	2.50E-08	1.75E-08	0.027725	1.45
PARD6A	4.30E-11	5.14E-11	0.475899	-1.2
PPARD	2.00E-08	1.48E-08	0.018122	1.33
RB1	1.30E-10	1.44E-10	0.241382	-1.13
S100B	4.90E-11	3.38E-11	0.309325	1.46
T	4.70E-11	3.17E-11	0.00527	1.49
