Symbol	Fold	Gene description
SPP1	30.19	Secreted phosphoprotein 1 (osteopontin)
COL11A1	19	Collagen,type XI, alpha 1
COL1A1	13.68	Collagen, type I, alpha 1
IBSP	12.48	Bone sialoprotein
COL5A2	9.62	Collagen, type V, alpha 2
MMP9	9.18	Matrix metalloproteinase 9
COL1A2	9.03	Collagen, type 1, alpha 2
CTSK	8.39	Cathepsin K
SMA4	7.14	SMA4
CaMKIIN	6.73	Calmodulin-dependent protein kinase I
SPARC	6.25	Osteonectin
POSTN	6.21	Periostin, osteoblast-specific factor
CKS2	6.05	CDC28 protein kinase regulatory subunit 2
WNT5A	6.05	Wingless-type MMTV integration site family
AR	5.84	Androgen receptor
FN1	5.8	Fibronectin 1
CSPG2	5.52	Chondroitin sulfate proteoglycan 2
DPT	5.52	Dermatopontin
COL3A1	5.43	Collagen, type III, alpha 1
AKR1C3	5.27	Aldo-keto reductase family 1, member C3
NRIP3	4.93	Nuclear receptor-interacting protein 3
LUM	4.84	Lumican
ASPN	4.82	Asporin
LRRC15	4.81	Leucine-rich repeat containing 15
DDIT4	4.65	DNA-damage-inducible transcript 4
COL6A3	4.53	Collagen, type VI, alpha 3
ENPP2	4.4	Pyrophosphatase/phosphpodiesterase 2
NNMT	4.36	Nicotinamide N-methyltransferase
THBS2	4.32	Thrombospondin 2
OLFML2B	4.2	Olfactomedin-like 2B
CMKOR1	3.9	Chemokine orphan receptor 1
SERPINF	3.87	Serine (or cysteine) proteinase inhibitor
APOE	3.79	Apolipoprotein E
KIAA0220	3.78	Phosphatidyinositol 3-kinase–related kinase SMG-1-like
COL4A1	3.73	Collagen, type IV, alpha 1
SULF1	3.51	Sulfatase 1
UGT2B15	3.45	UDP glycosyltransferase 2, B15
LAMB1	3.44	Laminin, beta 1
SERPINE	3.39	Serine (or cysteine) proteinase inhibitor
AKR1C2	3.36	Aldo-keto reductase family 1, member C2
COL5A1	3.31	Collagen, type V, alpha 1
DCN	3.31	Decorin
TOP2A	3.28	Topoisomerase (DNA) II alpha 170 kDa
GPNMB	3.27	Glycoprotein (transmembrane) nmb
PLOD2	3.16	Procollagen-lysine, 2-oxogluturate 5-dioxy
AKR1C1	3.14	Aldo-keto reductase family 1, member C1
CDH11	3.11	Cadherin 11, type 2, OB-cadherin
FBN1	2.97	Fibrillin 1
CENPF	2.96	Centromere protein F, 350/400ka
RACGAP	2.95	Rac GTPase activating protein 1
RAB31	2.92	RAB31, member RAS oncogene family
NARG1	2.9	NMDA receptor–regulated 1
HSPA1B	2.89	Heat shock 70 kDa protein 1B
ADAMTS	2.85	A disintegrin-like and metalloprotease
ACTR2	2.85	ARP2 actin-related protein 2 homologue
CDKN3	2.8	Cyclin-dependent kinase inhibitor 3
KPNA2	2.78	Karyopherin alpha 2 (importin alpha)
HSPC163	2.76	HSPC163 protein
ZWINT	2.74	ZW10 interactor
HOXC6	2.71	Homeo box C6
PLS3	2.71	Plastin 3 (T isoform)
OMD	2.7	Osteomodulin
LAMA4	2.66	Laminin, alpha 4
CCNB1	2.63	Cyclin B1
MELK	2.61	Maternal embryonic leucine zipper kinase
KIF20A	2.6	Kinesin family member 20A
EIF2S3	2.58	Eukaryotic translation initiation factor 2
OLFML3	2.57	Olfactomedin-like 2B
SDC2	2.57	Syndecan 2
KIF4A	2.56	Kinesin family member 4A
TNFAIP6	2.56	Tumor necrosis factor alpha-induced protein6
LAPTM5	2.51	Lysosomal multispanning membrane protein
CFHL1P	2.5	Complement factor H-related 1 pseudogene
MRC1	2.5	Mannose receptor C type 1
PTTG1	2.5	Pituitary tumor-transforming1
MAP4K4	2.49	Mitogen-activated protein kinase kinase kinase kinase 4
RAFTLIN	2.48	Raft-linking protein
HPRT1	2.46	Hypoxanthine phosphoribosylatransferase 1
PHTF2	2.45	Putative homeodomain transcription factor 2
EZH2	2.44	Enhancer of zeste homologue 2
TRA2A	2.44	Transformer-2 alpha
E2F3	2.37	E2F transcription factor 3
LAMC1	2.37	Laminin, gamma 1
DDX39	2.35	DEAD box polypeptide 39
ATM	2.34	Ataxia telangiectasia mutated
CHN1	2.33	Chimerin 1
IFI30	2.29	IFN, gamma-inducible protein 30
CDC20	2.28	CDC20 cell division cycle 20 homologue
NEK2	2.28	NIMA (never in mitosis)–related kinase 2
