Component	Gene Symbol	Fold
QV4-HT0691-186-E11	TMEM16A	-4.951924622
CM0-BT0794-408-E03	FLJ20105	-4.382630779
CM0-BT0794-408-A04	XAB1	-3.94390214
PM2-CI0111-001-A09	SPATA20	-3.366157805
MR1-HT1064-015-G05	ST3GAL5	-3.344238232
CM0-NN1156-629-D12	JPH4	-2.940243507
QV2-NN0045-425-B11	RTN1	-2.736235104
MR2-HT0788-006-F06		-2.641408497
PM0-HT1076-001-A12		-2.592784688
MR0-CT0454-001-E04	HSPA9B	-2.477606889
MR2-NT0135-013-G06	ARHGAP22	-2.465552518
RC5-HT0218-011-C02		-2.427195508
MR3-UT0050-007-G04	HIVEP2	-2.343983579
RC4-HT1088-012-A12	RPA2	-2.291197144
QV3-OT0065-231-H11		-2.279902157
MR1-RT0038-003-D10	ARHGEF17	-2.268526707
PM0-CT0263-005-E08		-2.250653854
PM0-HN0073-012-F06	HSPA12A	-2.21750787
RC4-OT0071-014-G04	SGK	-2.171701668
RC2-IT0047-011-E11	LIG3	-2.157029545
QV3-BT0815-350-D01	C6orf136	-2.043804724
MR2-NT0138-008-B02	ERCC5	2.001388416
QV0-NN1142-429-H04		2.039652013
QV1-BT0679-135-C06	CPNE3	2.061052576
QV3-BN0095-154-C01	EFNB2	2.063924414
RC3-BN0036-015-E10	PELI1	2.079530591
CM3-FN0769-196-D10	SPRR3	2.106846833
RC4-ST0316-011-C11	ANKZF1	2.10932187
CM0-BN0106-293-G07	TMCO3	2.120466454
RC3-CT0369-011-C05	YIPF5	2.130385633
QV2-BN0030-073-F10	CALR	2.130513003
QV1-ET0008-250-B06	SEC14L1	2.135501276
QV0-ET0028-242-C04	HELZ	2.213093619
MR3-NN0217-010-A04	TACC1	2.213450436
CM1-MT0245-624-C02		2.217846715
CM0-HT0283-090-B05	LOXL3	2.235864327
CM1-AN0080-523-E02	C4orf20	2.28756323
PM0-HT1076-004-C04	DARS	2.290128305
PM0-OT0019-005-C07	ACAT2	2.292701382
MR4-BT0358-006-B06	RBL2	2.298930575
RC4-MT0161-011-C09	MTPN	2.348198952
CM0-AN0007-490-C02		2.362080073
QV4-ET0120-503-D01	DDEF2	2.393358217
CM1-BN0117-183-D10	B4GALT1	2.394457902
QV2-PT0012-185-C03		2.440116706
MR4-GN0192-002-C05	CEP350	2.454724888
PM0-BN0081-001-H08	KRT5	2.479062937
CM3-HT0629-161-E05	TMEM181	2.484505002
MR2-HT1163-006-E01		2.51367796
PM2-CT0265-014-H10		2.516002095
QV4-EN0032-215-E01	OSBPL8	2.518518071
PM3-CN0153-002-C12	C6orf85	2.528960328
CM0-NN1005-289-D01	SDCCAG8	2.556424756
MR4-TN0112-202-G07	CCNI	2.56014357
RC0-NT0015-021-D08	DDX24	2.58863922
PM3-HT0605-002-H09		2.607000611
QV3-HT0636-203-D10	AQP3	2.62447165
MR4-ST0118-012-B01	WAC	2.680493854
PM2-CN0030-003-H11		2.85601041
MR0-BN0070-010-C01	HSP90B1	3.094295992
RC0-SN0046-011-D02		3.183687956
PM3-BN0085-006-B08	RAB2	3.221215883
MR2-EN0091-008-A07	CD82	3.373349914
MR3-CI0184-002-E12	PCDH1	3.511838473
MR1-GN0172-005-G10	ADAM12	3.581101284
CM0-GN0163-615-D09		3.610803424
CM0-CN0160-803-F09	REXO1	3.667576659
MR0-HT0160-005-A01	ERRFI1	3.781130318
PM0-CT0248-001-A05	ST6GALNAC2	3.861158385
QV3-ET0196-372-A04	NUP62	4.025867707
QV3-HT1016-474-G03	S100A9	4.206274678
MR3-OT0007-207-D03	NGDN	4.220335203
CM1-ET0192-668-G04	MAPRE2	4.255279231
CM1-CT0638-683-C04		4.407277279
CM2-HT0176-017-A04	EXTL2	4.457959705
CM1-HT0950-432-G03	IL1R2	4.479607536
MR0-NN0087-003-A04	RG9MTD3	4.586362009
QV3-HT1016-480-G08	PI3	4.72445935
MR4-ET0140-011-C05		4.743780482
QV2-BT0682-171-G07		4.865733034
MR1-SN0060-002-B11	SPATA13	4.911697437
CM0-NT0133-614-A08	JPH3	5.78432799
MR0-BN0115-011-B02	NUP50	5.887367958
CM0-PT0049-140-B06	LDHA	5.941020707
MR3-GN0187-016-C08	EGFR	6.002857333
QV3-HT0514-119-G04	CMTM4	6.422200724
RC2-ET0019-016-F08	KLK2	6.423430522
CM1-HT0878-453-E10		6.430811136
RC2-FN0200-017-E05	FAM102A	7.022357939
QV2-NN0045-516-B04	PPTC7	7.070830223
PM3-TN0104-003-D04		7.080718203
PM0-HT1167-002-E08	ZNF395	7.312663747
PM0-ET0254-001-H03	NDRG1	7.516953592
MR4-UT0051-003-E05	CNNM3	7.667679098
MR1-ET0145-003-E05	MRPS17	8.509618195
QV4-GN0144-434-G10	CMIP	8.654651408
RC0-CT0323-011-C02	RP11-311P8.3	8.849681803
QV0-CT0581-419-C04	FLJ13137	37.39707338
